Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,221.5,5.313e-06,4.714285714285714e-06
0.0015,252.3,7.411e-06,6.575865128660159e-06
0.002,280.3,9.29e-06,8.243123336291039e-06
0.0025,305.9,1.1e-05,9.760425909494231e-06
0.003,329.7,1.257e-05,1.1153504880212954e-05
0.004,370.5,1.543e-05,1.3691215616681454e-05
0.005,407.5,1.8e-05,1.5971606033717835e-05
0.006,441.5,2.035e-05,1.805678793256433e-05
0.007,472.9,2.254e-05,2e-05
0.008,501.8,2.459e-05,2.18189884649512e-05
0.009,528.8,2.653e-05,2.354037267080745e-05
0.01,554.2,2.838e-05,2.518189884649512e-05
0.0125,605.0,3.269e-05,2.9006211180124223e-05
0.015,648.8,3.667e-05,3.25377107364685e-05
0.0175,687.3,4.041e-05,3.585625554569654e-05
0.02,721.7,4.396e-05,3.900621118012422e-05
0.0225,752.5,4.735e-05,4.201419698314108e-05
0.025,780.0,5.061e-05,4.490683229813665e-05
0.0275,804.7,5.377e-05,4.771073646850045e-05
0.03,826.9,5.683e-05,5.042590949423248e-05
0.035,865.5,6.274e-05,5.566992014196983e-05
0.04,897.6,6.841e-05,6.070097604259095e-05
0.045,923.8,7.39e-05,6.557231588287489e-05
0.05,944.4,7.925e-05,7.031943212067436e-05
0.055,960.0,8.449e-05,7.496894409937888e-05
0.06,971.1,8.967e-05,7.956521739130435e-05
0.065,978.5,9.48e-05,8.411712511091393e-05
0.07,982.7,9.99e-05,8.864241348713399e-05
0.075,984.0,0.000105,9.316770186335404e-05
0.08,983.0,0.0001101,9.76929902395741e-05
0.085,979.9,0.0001152,0.0001022182786157
0.09,975.0,0.0001203,0.000106743566992
0.095,968.6,0.0001254,0.0001112688553682
0.1,961.1,0.0001306,0.000115882874889
0.125,911.7,0.0001573,0.0001395740905057
0.15,854.8,0.0001856,0.0001646850044365
0.175,798.9,0.0002158,0.0001914818101153
0.2,747.8,0.0002482,0.000220230700976
0.225,702.3,0.0002827,0.000250842945874
0.25,662.2,0.0003194,0.0002834072759538
0.275,627.1,0.0003582,0.0003178349600709
0.3,596.2,0.0003991,0.0003541259982253
0.35,545.4,0.0004869,0.000432031943212
0.4,504.9,0.0005823,0.0005166814551907
0.45,471.5,0.0006849,0.0006077196095829
0.5,443.2,0.0007943,0.0007047914818101
0.55,416.8,0.0009106,0.0008079858030168
0.6,392.4,0.001034,0.0009174800354924
0.65,370.2,0.001166,0.0010346051464063
0.7,350.3,0.001304,0.0011570541259982
0.75,332.5,0.001451,0.0012874889086069
0.8,316.6,0.001605,0.0014241348713398
0.85,302.4,0.001767,0.0015678793256433
0.9,289.7,0.001936,0.0017178349600709
0.95,278.3,0.002112,0.0018740017746228
1.0,268.1,0.002295,0.002036379769299
1.25,229.0,0.003308,0.0029352262644188
1.5,200.9,0.004476,0.0039716060337178
1.75,179.6,0.005795,0.0051419698314108
2.0,162.7,0.007259,0.0064409937888198
2.25,149.1,0.008866,0.0078669032830523
2.5,137.7,0.01061,0.0094143744454303
2.75,128.2,0.0125,0.0110913930789707
3.0,120.0,0.01451,0.0128748890860692
3.5,106.6,0.01894,0.0168056787932564
4.0,96.1,0.02389,0.0211978704525288
4.5,87.66,0.02935,0.0260425909494232
5.0,80.7,0.0353,0.0313220940550133
5.5,74.85,0.04173,0.0370275066548358
6.0,69.86,0.04865,0.043167701863354
6.5,65.55,0.05605,0.0497338065661047
7.0,61.78,0.06391,0.0567080745341614
7.5,58.46,0.07223,0.0640905057675244
8.0,55.51,0.08101,0.0718811002661934
8.5,52.87,0.09024,0.0800709849157054
9.0,50.49,0.09992,0.0886601597160603
9.5,48.34,0.11,0.0976042590949423
10.0,46.37,0.1206,0.1070097604259095
12.5,38.7,0.1799,0.1596273291925465
15.0,33.36,0.2497,0.2215616681455191
17.5,29.42,0.3297,0.2925465838509317
20.0,26.38,0.4196,0.372315882874889
25.0,21.99,0.6282,0.5574090505767524
27.5,20.34,0.7465,0.6623779946761313
30.0,18.95,0.8739,0.7754214729370009
35.0,16.73,1.155,1.0248447204968945
40.0,15.02,1.471,1.3052351375332742
45.0,13.66,1.821,1.6157941437444543
50.0,12.56,2.203,1.9547471162378
55.0,11.64,2.617,2.32209405501331
60.0,10.87,3.062,2.716947648624667
65.0,10.21,3.537,3.1384205856255547
70.0,9.634,4.041,3.5856255545696545
75.0,9.133,4.575,4.059449866903283
