Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,226.2,5.41e-06,0.0045083333333333
0.0015,259.9,7.455e-06,0.0062125
0.002,290.1,9.274e-06,0.0077283333333333
0.0025,317.5,1.092e-05,0.0091
0.003,342.9,1.243e-05,0.0103583333333333
0.004,382.8,1.519e-05,0.0126583333333333
0.005,419.4,1.768e-05,0.0147333333333333
0.006,453.0,1.997e-05,0.0166416666666666
0.007,483.8,2.211e-05,0.018425
0.008,511.4,2.412e-05,0.0201
0.009,536.6,2.603e-05,0.0216916666666666
0.01,560.0,2.785e-05,0.0232083333333333
0.0125,608.2,3.212e-05,0.0267666666666666
0.015,648.6,3.61e-05,0.0300833333333333
0.0175,683.7,3.985e-05,0.0332083333333333
0.02,714.8,4.343e-05,0.0361916666666666
0.0225,742.4,4.686e-05,0.03905
0.025,766.7,5.017e-05,0.0418083333333333
0.0275,788.1,5.338e-05,0.0444833333333333
0.03,807.2,5.652e-05,0.0471
0.035,840.8,6.258e-05,0.05215
0.04,870.1,6.843e-05,0.057025
0.045,894.7,7.409e-05,0.0617416666666666
0.05,914.3,7.962e-05,0.06635
0.055,929.1,8.504e-05,0.0708666666666666
0.06,939.7,9.039e-05,0.075325
0.065,946.9,9.569e-05,0.0797416666666666
0.07,951.1,0.000101,0.0841666666666666
0.075,952.7,0.0001062,0.0885
0.08,952.2,0.0001115,0.0929166666666666
0.085,949.7,0.0001167,0.09725
0.09,945.5,0.000122,0.1016666666666666
0.095,940.0,0.0001273,0.1060833333333333
0.1,933.4,0.0001326,0.1105
0.125,888.4,0.00016,0.1333333333333333
0.15,834.8,0.0001891,0.1575833333333333
0.175,780.8,0.00022,0.1833333333333333
0.2,730.4,0.0002531,0.2109166666666667
0.225,687.6,0.0002885,0.2404166666666667
0.25,651.1,0.0003258,0.2715
0.275,619.2,0.0003652,0.3043333333333333
0.3,590.8,0.0004066,0.3388333333333334
0.35,541.9,0.000495,0.4125
0.4,500.9,0.0005911,0.4925833333333334
0.45,465.7,0.0006947,0.5789166666666667
0.5,435.1,0.0008058,0.6715
0.55,408.3,0.0009245,0.7704166666666667
0.6,385.0,0.001051,0.8758333333333335
0.65,364.7,0.001184,0.9866666666666668
0.7,346.8,0.001325,1.1041666666666667
0.75,330.7,0.001473,1.2275
0.8,316.4,0.001627,1.3558333333333334
0.85,303.4,0.001789,1.4908333333333337
0.9,291.5,0.001957,1.6308333333333334
0.95,280.6,0.002132,1.776666666666667
1.0,270.6,0.002313,1.9275
1.25,230.8,0.003317,2.764166666666667
1.5,202.3,0.004477,3.730833333333334
1.75,180.7,0.005787,4.8225
2.0,163.6,0.007244,6.036666666666667
2.25,149.8,0.008843,7.3691666666666675
2.5,138.3,0.01058,8.816666666666668
2.75,128.6,0.01246,10.383333333333336
3.0,120.4,0.01447,12.058333333333335
3.5,106.9,0.01888,15.733333333333336
4.0,96.3,0.02382,19.85
4.5,87.79,0.02927,24.39166666666667
5.0,80.79,0.03521,29.34166666666667
5.5,74.9,0.04164,34.7
6.0,69.89,0.04856,40.46666666666667
