Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,243.8,4.827e-06,5.246739130434782e-06
0.0015,278.1,6.732e-06,7.317391304347826e-06
0.002,309.2,8.436e-06,9.169565217391304e-06
0.0025,337.7,9.982e-06,1.085e-05
0.003,364.2,1.141e-05,1.2402173913043478e-05
0.004,408.1,1.4e-05,1.5217391304347825e-05
0.005,448.2,1.633e-05,1.775e-05
0.006,485.0,1.847e-05,2.007608695652173e-05
0.007,519.0,2.047e-05,2.225e-05
0.008,549.9,2.234e-05,2.4282608695652173e-05
0.009,578.5,2.411e-05,2.6206521739130435e-05
0.01,605.3,2.58e-05,2.8043478260869563e-05
0.0125,659.0,2.975e-05,3.233695652173913e-05
0.015,704.6,3.341e-05,3.631521739130435e-05
0.0175,744.4,3.686e-05,4.006521739130435e-05
0.02,779.7,4.014e-05,4.363043478260869e-05
0.0225,811.0,4.329e-05,4.705434782608696e-05
0.025,838.7,4.632e-05,5.034782608695652e-05
0.0275,863.2,4.925e-05,5.3532608695652166e-05
0.03,885.1,5.211e-05,5.664130434782608e-05
0.035,923.0,5.764e-05,6.265217391304347e-05
0.04,954.7,6.296e-05,6.843478260869564e-05
0.045,980.5,6.813e-05,7.405434782608695e-05
0.05,1001.0,7.318e-05,7.954347826086957e-05
0.055,1016.0,7.813e-05,8.492391304347825e-05
0.06,1026.0,8.303e-05,9.025e-05
0.065,1032.0,8.789e-05,9.553260869565216e-05
0.07,1036.0,9.272e-05,0.0001007826086956
0.075,1036.0,9.755e-05,0.0001060326086956
0.08,1035.0,0.0001024,0.000111304347826
0.085,1031.0,0.0001072,0.0001165217391304
0.09,1025.0,0.0001121,0.0001218478260869
0.095,1018.0,0.000117,0.0001271739130434
0.1,1010.0,0.0001219,0.0001325
0.125,957.1,0.0001473,0.0001601086956521
0.15,896.2,0.0001743,0.0001894565217391
0.175,836.2,0.0002032,0.0002208695652173
0.2,780.5,0.0002341,0.0002544565217391
0.225,730.6,0.0002672,0.0002904347826086
0.25,686.3,0.0003026,0.0003289130434782
0.275,647.3,0.0003401,0.0003696739130434
0.3,612.9,0.0003798,0.0004128260869565
0.35,555.5,0.0004656,0.0005060869565217
0.4,509.6,0.0005597,0.0006083695652173
0.45,472.1,0.0006617,0.0007192391304347
0.5,440.8,0.0007714,0.0008384782608695
0.55,414.1,0.0008885,0.0009657608695652
0.6,390.8,0.001013,0.0011010869565217
0.65,370.5,0.001144,0.0012434782608695
0.7,352.4,0.001283,0.0013945652173913
0.75,336.3,0.001428,0.0015521739130434
0.8,321.7,0.00158,0.0017173913043478
0.85,308.6,0.001739,0.0018902173913043
0.9,296.6,0.001904,0.0020695652173913
0.95,285.6,0.002076,0.0022565217391304
1.0,275.5,0.002254,0.00245
1.25,235.1,0.00324,0.0035217391304347
1.5,206.1,0.004379,0.0047597826086956
1.75,184.1,0.005664,0.0061565217391304
2.0,166.8,0.007093,0.0077097826086956
2.25,152.7,0.008661,0.0094141304347826
2.5,141.1,0.01037,0.0112717391304347
2.75,131.3,0.0122,0.0132608695652173
3.0,122.8,0.01417,0.0154021739130434
3.5,109.1,0.0185,0.0201086956521739
4.0,98.35,0.02334,0.0253695652173913
4.5,89.7,0.02867,0.0311630434782608
5.0,82.57,0.03448,0.0374782608695652
5.5,76.57,0.04078,0.0443260869565217
6.0,71.46,0.04754,0.0516739130434782
6.5,67.05,0.05477,0.0595326086956521
7.0,63.19,0.06245,0.0678804347826086
7.5,59.79,0.07059,0.0767282608695652
8.0,56.77,0.07918,0.0860652173913043
8.5,54.07,0.0882,0.0958695652173913
9.0,51.63,0.09767,0.1061630434782608
9.5,49.42,0.1076,0.1169565217391304
