Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,141.4,9.857e-06,0.0080465306122448
0.0015,165.1,1.31e-05,0.0106938775510204
0.002,185.5,1.595e-05,0.0130204081632653
0.0025,203.8,1.852e-05,0.0151183673469387
0.003,220.6,2.088e-05,0.0170448979591836
0.004,250.7,2.512e-05,0.0205061224489795
0.005,277.6,2.891e-05,0.0236
0.006,302.1,3.236e-05,0.0264163265306122
0.007,324.8,3.555e-05,0.0290204081632653
0.008,346.0,3.853e-05,0.0314530612244898
0.009,366.0,4.134e-05,0.0337469387755102
0.01,385.0,4.4e-05,0.0359183673469387
0.0125,422.4,5.019e-05,0.0409714285714285
0.015,455.2,5.588e-05,0.0456163265306122
0.0175,484.3,6.12e-05,0.0499591836734693
0.02,510.6,6.623e-05,0.0540653061224489
0.0225,534.3,7.101e-05,0.0579673469387755
0.025,555.8,7.56e-05,0.0617142857142857
0.0275,575.5,8.002e-05,0.0653224489795918
0.03,593.4,8.43e-05,0.0688163265306122
0.035,624.6,9.25e-05,0.0755102040816326
0.04,650.6,0.0001003,0.0818775510204081
0.045,672.1,0.0001079,0.0880816326530612
0.05,689.7,0.0001152,0.0940408163265306
0.055,703.8,0.0001224,0.0999183673469387
0.06,714.9,0.0001295,0.1057142857142857
0.065,723.3,0.0001364,0.1113469387755102
0.07,729.3,0.0001433,0.1169795918367346
0.075,733.3,0.0001501,0.1225306122448979
0.08,735.5,0.0001569,0.1280816326530612
0.085,736.0,0.0001637,0.1336326530612245
0.09,735.2,0.0001705,0.1391836734693877
0.095,733.2,0.0001773,0.144734693877551
0.1,730.1,0.0001842,0.1503673469387755
0.125,703.8,0.000219,0.1787755102040816
0.15,668.0,0.0002554,0.2084897959183673
0.175,629.8,0.000294,0.24
0.2,592.8,0.0003349,0.2733877551020408
0.225,558.9,0.0003783,0.3088163265306122
0.25,528.4,0.0004244,0.3464489795918367
0.275,501.1,0.000473,0.3861224489795918
0.3,476.7,0.0005241,0.4278367346938775
0.35,435.3,0.000634,0.5175510204081633
0.4,401.5,0.0007538,0.6153469387755103
0.45,373.6,0.000883,0.7208163265306122
0.5,350.1,0.001021,0.833469387755102
0.55,330.0,0.001169,0.9542857142857142
0.6,312.3,0.001324,1.0808163265306123
0.65,296.7,0.001489,1.2155102040816328
0.7,282.6,0.001661,1.3559183673469388
0.75,270.1,0.001842,1.5036734693877551
0.8,258.9,0.002032,1.6587755102040815
0.85,248.6,0.002229,1.819591836734694
0.9,239.3,0.002434,1.986938775510204
0.95,230.8,0.002646,2.16
1.0,222.9,0.002867,2.340408163265306
1.25,191.2,0.004082,3.332244897959184
1.5,168.3,0.005479,4.472653061224491
1.75,150.9,0.007051,5.755918367346939
2.0,137.1,0.008792,7.177142857142857
2.25,125.8,0.0107,8.73469387755102
2.5,116.5,0.01276,10.416326530612244
2.75,108.6,0.01499,12.236734693877551
3.0,101.8,0.01737,14.179591836734694
3.5,90.68,0.02258,18.43265306122449
4.0,81.97,0.02839,23.17551020408164
4.5,74.92,0.03478,28.39183673469388
5.0,69.09,0.04173,34.06530612244898
5.5,64.17,0.04925,40.204081632653065
6.0,59.97,0.05731,46.78367346938776
6.5,56.33,0.06592,53.81224489795919
7.0,53.15,0.07506,61.27346938775511
7.5,50.33,0.08474,69.17551020408163
8.0,47.83,0.09493,77.49387755102042
8.5,45.59,0.1056,86.20408163265306
9.0,43.57,0.1169,95.42857142857144
9.5,41.73,0.1286,104.97959183673468
10.0,40.06,0.1408,114.9387755102041
12.5,33.51,0.2094,170.9387755102041
15.0,28.94,0.2899,236.6530612244898
17.5,25.55,0.382,311.8367346938776
20.0,22.94,0.4855,396.3265306122449
25.0,19.15,0.7252,592.0
27.5,17.73,0.8609,702.7755102040817
30.0,16.53,1.007,822.0408163265306
35.0,14.6,1.33,1085.7142857142858
40.0,13.12,1.691,1380.4081632653065
45.0,11.94,2.091,1706.9387755102043
50.0,10.99,2.528,2063.673469387755
55.0,10.19,3.001,2449.795918367347
60.0,9.517,3.509,2864.4897959183672
65.0,8.942,4.052,3307.755102040816
70.0,8.443,4.628,3777.959183673469
75.0,8.006,5.236,4274.285714285715
80.0,7.62,5.876,4796.734693877552
85.0,7.277,6.548,5345.30612244898
90.0,6.97,7.25,5918.367346938776
95.0,6.693,7.983,6516.734693877551
100.0,6.443,8.744,7137.95918367347
125.0,5.475,12.97,10587.755102040815
150.0,4.816,17.86,14579.591836734691
175.0,4.338,23.34,19053.0612244898
200.0,3.976,29.37,23975.510204081635
225.0,3.691,35.9,29306.1224489796
250.0,3.462,42.9,35020.4081632653
275.0,3.275,50.33,41085.71428571428
300.0,3.118,58.16,47477.551020408166
350.0,2.871,74.9,61142.85714285715
400.0,2.687,92.93,75861.22448979593
450.0,2.544,112.1,91510.20408163263
500.0,2.431,132.2,107918.36734693876
550.0,2.34,153.2,125061.22448979592
600.0,2.266,174.9,142775.51020408166
650.0,2.203,197.3,161061.22448979595
700.0,2.151,220.3,179836.73469387757
750.0,2.107,243.7,198938.77551020408
800.0,2.069,267.7,218530.612244898
850.0,2.037,292.1,238448.9795918368
900.0,2.008,316.8,258612.2448979592
950.0,1.984,341.8,279020.4081632653
1000.0,1.963,367.2,299755.10204081633
1500.0,1.85,631.1,515183.6734693878
2000.0,1.82,904.1,738040.8163265307
2500.0,1.818,1179.0,962448.9795918368
3000.0,1.828,1454.0,1186938.775510204
4000.0,1.861,1996.0,1629387.755102041
5000.0,1.898,2528.0,2063673.4693877555
6000.0,1.934,3050.0,2489795.918367347
7000.0,1.967,3563.0,2908571.4285714286
8000.0,1.998,4067.0,3320000.0
9000.0,2.026,4564.0,3725714.285714286
10000.0,2.052,5054.0,4125714.285714286
