Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,89.29,1.563e-05,3.920240782543266e-06
0.0015,103.8,2.077e-05,5.209430649611236e-06
0.002,116.3,2.532e-05,6.350639578630549e-06
0.0025,127.4,2.942e-05,7.378981690494106e-06
0.003,137.6,3.32e-05,8.327062954602458e-06
0.004,155.9,4.001e-05,1.00351141208929e-05
0.005,172.3,4.611e-05,1.1565086531226485e-05
0.006,187.2,5.167e-05,1.2959618760973164e-05
0.007,201.0,5.682e-05,1.4251316779533484e-05
0.008,213.9,6.164e-05,1.546024579884625e-05
0.009,226.1,6.619e-05,1.6601454727865563e-05
0.01,237.7,7.05e-05,1.7682468021068472e-05
0.0125,260.7,8.052e-05,2.019563581640331e-05
0.015,280.9,8.975e-05,2.251065964384249e-05
0.0175,298.9,9.837e-05,2.4672686230248306e-05
0.02,315.2,0.0001065,2.671181339352897e-05
0.0225,330.0,0.0001143,2.8668171557562075e-05
0.025,343.6,0.0001217,3.052420366190118e-05
0.0275,356.0,0.0001288,3.230499122146977e-05
0.03,367.4,0.0001357,3.403561575119137e-05
0.035,387.5,0.000149,3.737145723601705e-05
0.04,404.5,0.0001616,4.053172811637823e-05
0.045,418.8,0.0001737,4.356659142212189e-05
0.05,430.8,0.0001855,4.652621018309506e-05
0.055,440.8,0.000197,4.941058439929772e-05
0.06,449.0,0.0002082,5.221971407072987e-05
0.065,455.7,0.0002193,5.500376222723852e-05
0.07,460.9,0.0002302,5.773764735390018e-05
0.075,464.9,0.000241,6.044645096563832e-05
0.08,467.8,0.0002517,6.313017306245297e-05
0.085,469.7,0.0002624,6.581389515926761e-05
0.09,470.8,0.000273,6.847253574115877e-05
0.095,471.2,0.0002836,7.113117632304992e-05
0.1,470.9,0.0002942,7.378981690494105e-05
0.125,462.7,0.0003477,8.72084273890143e-05
0.15,447.9,0.0004026,0.000100978179082
0.175,430.7,0.0004595,0.0001152495610734
0.2,413.3,0.0005187,0.0001300978179082
0.225,397.0,0.0005805,0.0001455981941309
0.25,381.9,0.0006447,0.0001617005267118
0.275,367.9,0.0007114,0.0001784298971657
0.3,354.9,0.0007806,0.0001957863054928
0.35,331.4,0.0009265,0.0002323802357662
0.4,310.9,0.001082,0.0002713819914722
0.45,292.8,0.001248,0.0003130173062452
0.5,276.8,0.001424,0.0003571607725106
0.55,262.5,0.001609,0.0004035615751191
0.6,249.7,0.001805,0.0004527213443691
0.65,238.3,0.00201,0.0005041384499623
0.7,228.1,0.002224,0.0005578128918986
0.75,218.8,0.002448,0.0006139954853273
0.8,210.4,0.002681,0.000672435415099
0.85,202.8,0.002923,0.0007331326812139
0.9,195.8,0.003174,0.0007960872836719
0.95,189.4,0.003434,0.000861299222473
1.0,183.4,0.003702,0.000928517682468
1.25,159.0,0.005171,0.0012969651366942
1.5,141.0,0.006844,0.0017165788813644
1.75,127.1,0.008714,0.0021856032104339
2.0,116.0,0.01077,0.002701279157261
2.25,106.9,0.01302,0.0032656132430398
2.5,99.33,0.01545,0.0038750940556809
2.75,92.85,0.01805,0.0045272134436919
3.0,87.26,0.02083,0.0052244795585653
3.5,78.07,0.0269,0.0067469275144218
4.0,70.82,0.03364,0.0084374216202658
4.5,64.94,0.04102,0.0102884374216202
5.0,60.05,0.04903,0.0122974667669927
5.5,55.93,0.05766,0.0144620015048908
6.0,52.38,0.06691,0.0167820416353147
6.5,49.31,0.07675,0.0192500627037873
7.0,46.61,0.08718,0.0218660647103085
7.5,44.22,0.0982,0.0246300476548783
8.0,42.08,0.1098,0.0275395033860045
8.5,40.17,0.122,0.0305994482066716
9.0,38.44,0.1347,0.0337848006019563
9.5,36.86,0.148,0.037120642086782
10.0,35.43,0.1618,0.0405818911462252
12.5,29.77,0.2391,0.0599699021820918
15.0,25.8,0.3296,0.0826686731878605
17.5,22.85,0.4328,0.1085527965889139
20.0,20.56,0.5483,0.137521946325558
25.0,17.23,0.8151,0.2044394281414597
27.5,15.98,0.9659,0.2422623526460998
30.0,14.91,1.128,0.2829194883370955
35.0,13.2,1.485,0.3724604966139955
40.0,11.88,1.885,0.472786556308001
45.0,10.83,2.326,0.5833960371206421
50.0,9.977,2.808,0.7042889390519187
55.0,9.265,3.328,0.8347128166541259
60.0,8.662,3.887,0.9749184850764986
65.0,8.145,4.482,1.1241534988713318
70.0,7.696,5.114,1.2826686731878605
75.0,7.303,5.781,1.4499623777276147
80.0,6.956,6.483,1.6260346124905942
85.0,6.647,7.219,1.8106345623275648
90.0,6.37,7.987,2.003260596940055
95.0,6.12,8.789,2.204414346626536
100.0,5.893,9.621,2.413092550790068
125.0,5.018,14.24,3.5716077251065963
150.0,4.421,19.56,4.90594431903687
175.0,3.987,25.53,6.403310759969902
200.0,3.657,32.09,8.048658138951593
225.0,3.398,39.19,9.829445698520187
250.0,3.19,46.79,11.735640832706297
275.0,3.019,54.85,13.757210935540506
300.0,2.876,63.34,15.886631552545774
350.0,2.651,81.48,20.436418359668924
400.0,2.483,101.0,25.3323300727364
450.0,2.353,121.7,30.52420366190118
500.0,2.248,143.5,35.99197391522448
550.0,2.164,166.1,41.66039628793579
600.0,2.094,189.6,47.55455229495861
650.0,2.036,213.9,53.64936042136945
700.0,1.988,238.7,59.86957612239779
750.0,1.946,264.2,66.26536242789064
800.0,1.91,290.1,72.76147479307751
850.0,1.879,316.5,79.38299473288187
900.0,1.853,343.3,86.10484073238024
950.0,1.829,370.4,92.90193127664912
1000.0,1.809,397.9,99.79934788061198
1500.0,1.697,685.0,171.80837722598446
2000.0,1.66,983.5,246.67669927263609
2500.0,1.651,1286.0,322.5482819162277
3000.0,1.653,1589.0,398.5452721344369
4000.0,1.669,2191.0,549.5359919739152
5000.0,1.69,2786.0,698.7710057687484
6000.0,1.711,3374.0,846.2503135189365
7000.0,1.731,3955.0,991.9739152244796
8000.0,1.749,4530.0,1136.1926260346124
9000.0,1.766,5099.0,1278.9064459493354
10000.0,1.782,5663.0,1420.366190117883
