Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,104.3,1.471e-05,5.448148148148148e-06
0.0015,123.9,1.906e-05,7.059259259259259e-06
0.002,140.4,2.285e-05,8.462962962962961e-06
0.0025,155.0,2.623e-05,9.714814814814815e-06
0.003,168.3,2.933e-05,1.0862962962962962e-05
0.004,192.1,3.487e-05,1.2914814814814815e-05
0.005,213.1,3.981e-05,1.4744444444444443e-05
0.006,232.3,4.43e-05,1.6407407407407405e-05
0.007,249.9,4.845e-05,1.7944444444444443e-05
0.008,266.4,5.232e-05,1.9377777777777778e-05
0.009,281.9,5.597e-05,2.0729629629629627e-05
0.01,296.6,5.943e-05,2.201111111111111e-05
0.0125,324.5,6.746e-05,2.4985185185185182e-05
0.015,348.3,7.489e-05,2.7737037037037034e-05
0.0175,368.9,8.186e-05,3.0318518518518517e-05
0.02,386.7,8.848e-05,3.277037037037037e-05
0.0225,402.2,9.481e-05,3.511481481481481e-05
0.025,415.7,0.0001009,3.737037037037037e-05
0.0275,427.3,0.0001069,3.959259259259259e-05
0.03,437.3,0.0001126,4.1703703703703704e-05
0.035,452.9,0.0001239,4.5888888888888885e-05
0.04,463.8,0.0001348,4.992592592592592e-05
0.045,470.9,0.0001455,5.388888888888889e-05
0.05,474.9,0.000156,5.777777777777777e-05
0.055,476.6,0.0001665,6.166666666666667e-05
0.06,476.4,0.000177,6.555555555555554e-05
0.065,474.9,0.0001875,6.944444444444444e-05
0.07,472.4,0.0001981,7.337037037037036e-05
0.075,469.1,0.0002087,7.72962962962963e-05
0.08,465.3,0.0002194,8.125925925925925e-05
0.085,461.1,0.0002302,8.525925925925926e-05
0.09,456.7,0.0002411,8.929629629629629e-05
0.095,452.2,0.0002521,9.337037037037037e-05
0.1,447.7,0.0002632,9.748148148148147e-05
0.125,425.3,0.0003205,0.00011870370370370368
0.15,405.1,0.0003808,0.000141037037037037
0.175,387.3,0.0004439,0.00016440740740740738
0.2,371.5,0.0005098,0.0001888148148148148
0.225,357.3,0.0005785,0.00021425925925925925
0.25,344.4,0.0006498,0.00024066666666666664
0.275,332.7,0.0007236,0.000268
0.3,321.8,0.0008001,0.0002963333333333333
0.35,302.0,0.0009605,0.0003557407407407407
0.4,284.4,0.001131,0.0004188888888888889
0.45,268.9,0.001312,0.0004859259259259259
0.5,255.0,0.001503,0.0005566666666666667
0.55,242.7,0.001704,0.000631111111111111
0.6,231.6,0.001915,0.0007092592592592592
0.65,221.6,0.002136,0.000791111111111111
0.7,212.6,0.002366,0.0008762962962962962
0.75,204.3,0.002606,0.000965185185185185
0.8,196.8,0.002856,0.0010577777777777777
0.85,189.9,0.003114,0.0011533333333333333
0.9,183.5,0.003382,0.0012525925925925925
0.95,177.5,0.003659,0.001355185185185185
1.0,172.0,0.003945,0.001461111111111111
1.25,149.5,0.005509,0.0020403703703703703
1.5,132.8,0.007287,0.0026988888888888887
1.75,119.9,0.009272,0.003434074074074074
2.0,109.5,0.01146,0.004244444444444444
2.25,101.0,0.01384,0.005125925925925925
2.5,93.83,0.01641,0.006077777777777777
2.75,87.75,0.01916,0.007096296296296296
3.0,82.5,0.0221,0.008185185185185186
3.5,73.88,0.02852,0.010562962962962961
4.0,67.07,0.03563,0.013196296296296296
4.5,61.54,0.04343,0.016085185185185185
