Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,163.5,8.354e-06,3.978095238095238e-06
0.0015,190.5,1.116e-05,5.314285714285714e-06
0.002,214.0,1.363e-05,6.49047619047619e-06
0.0025,235.1,1.586e-05,7.552380952380952e-06
0.003,254.4,1.79e-05,8.523809523809524e-06
0.004,282.6,2.162e-05,1.0295238095238094e-05
0.005,308.6,2.501e-05,1.1909523809523807e-05
0.006,332.3,2.813e-05,1.3395238095238097e-05
0.007,354.1,3.104e-05,1.478095238095238e-05
0.008,373.0,3.379e-05,1.609047619047619e-05
0.009,389.9,3.641e-05,1.7338095238095238e-05
0.01,405.5,3.893e-05,1.853809523809524e-05
0.0125,439.3,4.484e-05,2.135238095238095e-05
0.015,467.5,5.035e-05,2.397619047619048e-05
0.0175,492.0,5.556e-05,2.6457142857142857e-05
0.02,514.0,6.053e-05,2.8823809523809523e-05
0.0225,533.7,6.53e-05,3.109523809523809e-05
0.025,551.2,6.991e-05,3.329047619047619e-05
0.0275,566.7,7.438e-05,3.541904761904762e-05
0.03,580.6,7.874e-05,3.749523809523809e-05
0.035,606.5,8.716e-05,4.150476190476191e-05
0.04,630.7,9.524e-05,4.535238095238095e-05
0.045,652.3,0.000103,4.904761904761905e-05
0.05,670.6,0.0001106,5.266666666666667e-05
0.055,685.4,0.000118,5.6190476190476186e-05
0.06,697.1,0.0001252,5.961904761904762e-05
0.065,706.2,0.0001323,6.299999999999999e-05
0.07,713.0,0.0001394,6.638095238095238e-05
0.075,717.8,0.0001463,6.966666666666666e-05
0.08,720.8,0.0001533,7.3e-05
0.085,722.2,0.0001602,7.628571428571428e-05
0.09,722.1,0.0001671,7.957142857142856e-05
0.095,720.9,0.0001741,8.29047619047619e-05
0.1,718.6,0.000181,8.61904761904762e-05
0.125,695.4,0.0002163,0.000103
0.15,661.9,0.0002531,0.0001205238095238
0.175,625.4,0.000292,0.0001390476190476
0.2,589.8,0.0003332,0.0001586666666666
0.225,556.6,0.0003768,0.0001794285714285
0.25,526.5,0.000423,0.0002014285714285
0.275,499.6,0.0004718,0.0002246666666666
0.3,475.4,0.0005231,0.0002490952380952
0.35,436.2,0.000633,0.0003014285714285
0.4,404.8,0.0007522,0.0003581904761904
0.45,378.2,0.00088,0.0004190476190476
0.5,354.9,0.001017,0.0004842857142857
0.55,334.3,0.001162,0.0005533333333333
0.6,316.1,0.001316,0.0006266666666666
0.65,300.4,0.001478,0.0007038095238095
0.7,286.4,0.001649,0.000785238095238
0.75,273.9,0.001827,0.00087
0.8,262.6,0.002014,0.0009590476190476
0.85,252.3,0.002208,0.0010514285714285
0.9,242.9,0.00241,0.001147619047619
0.95,234.2,0.00262,0.001247619047619
1.0,226.3,0.002837,0.0013509523809523
1.25,194.3,0.004033,0.0019204761904761
1.5,171.2,0.005407,0.0025747619047619
1.75,153.5,0.006952,0.0033104761904761
2.0,139.5,0.008662,0.0041247619047619
2.25,128.1,0.01053,0.0050142857142857
2.5,118.6,0.01256,0.0059809523809523
2.75,110.5,0.01475,0.0070238095238095
3.0,103.6,0.01709,0.0081380952380952
3.5,92.23,0.02221,0.0105761904761904
4.0,83.3,0.02793,0.0133
4.5,76.1,0.03422,0.016295238095238
5.0,70.14,0.04107,0.0195571428571428
5.5,65.12,0.04847,0.0230809523809523
6.0,60.84,0.05642,0.0268666666666666
6.5,57.13,0.0649,0.0309047619047619
7.0,53.88,0.07392,0.0351999999999999
7.5,51.02,0.08346,0.0397428571428571
8.0,48.47,0.09352,0.0445333333333333
8.5,46.2,0.1041,0.0495714285714285
9.0,44.14,0.1152,0.0548571428571428
9.5,42.27,0.1267,0.0603333333333333
10.0,40.57,0.1388,0.0660952380952381
12.5,33.91,0.2065,0.0983333333333333
15.0,29.26,0.2862,0.1362857142857143
17.5,25.83,0.3773,0.1796666666666666
20.0,23.18,0.4796,0.2283809523809523
25.0,19.34,0.7169,0.3413809523809523
27.5,17.91,0.8513,0.4053809523809523
30.0,16.69,0.9961,0.4743333333333333
35.0,14.74,1.316,0.6266666666666667
40.0,13.24,1.674,0.797142857142857
45.0,12.05,2.071,0.9861904761904764
50.0,11.08,2.504,1.1923809523809523
55.0,10.27,2.973,1.4157142857142857
60.0,9.595,3.477,1.6557142857142857
65.0,9.013,4.015,1.9119047619047616
70.0,8.509,4.586,2.183809523809524
75.0,8.068,5.19,2.4714285714285715
80.0,7.678,5.825,2.773809523809524
85.0,7.331,6.492,3.091428571428571
90.0,7.021,7.189,3.4233333333333333
95.0,6.742,7.916,3.7695238095238097
100.0,6.488,8.672,4.12952380952381
125.0,5.511,12.87,6.128571428571428
150.0,4.845,17.73,8.442857142857143
175.0,4.362,23.18,11.038095238095238
200.0,3.995,29.17,13.89047619047619
225.0,3.707,35.68,16.99047619047619
250.0,3.475,42.65,20.309523809523807
275.0,3.285,50.05,23.83333333333333
300.0,3.126,57.86,27.55238095238095
350.0,2.875,74.57,35.509523809523806
400.0,2.688,92.58,44.08571428571428
450.0,2.542,111.7,53.19047619047619
500.0,2.427,131.9,62.80952380952381
550.0,2.333,152.9,72.80952380952381
600.0,2.256,174.7,83.19047619047618
650.0,2.192,197.2,93.9047619047619
700.0,2.137,220.3,104.90476190476193
750.0,2.091,244.0,116.1904761904762
800.0,2.051,268.1,127.66666666666669
850.0,2.016,292.7,139.38095238095238
900.0,1.986,317.7,151.28571428571428
950.0,1.96,343.0,163.33333333333331
1000.0,1.937,368.7,175.57142857142856
1500.0,1.808,637.5,303.57142857142856
2000.0,1.763,918.3,437.2857142857142
2500.0,1.748,1203.0,572.8571428571429
3000.0,1.746,1490.0,709.5238095238095
4000.0,1.759,2061.0,981.4285714285712
5000.0,1.778,2626.0,1250.4761904761904
6000.0,1.799,3185.0,1516.6666666666663
7000.0,1.819,3738.0,1780.0
8000.0,1.837,4285.0,2040.4761904761904
9000.0,1.855,4827.0,2298.5714285714284
10000.0,1.871,5363.0,2553.809523809524
