Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,93.55,1.741e-05,0.0097677289048473
0.0015,112.3,2.223e-05,0.012471947935368
0.002,128.1,2.639e-05,0.0148058797127468
0.0025,142.1,3.009e-05,0.0168817324955116
0.003,154.7,3.346e-05,0.0187724416517055
0.004,177.2,3.949e-05,0.0221555206463195
0.005,197.1,4.483e-05,0.0251514811490125
0.006,215.1,4.968e-05,0.0278725314183123
0.007,231.7,5.416e-05,0.0303859964093357
0.008,247.2,5.834e-05,0.0327311490125673
0.009,261.7,6.227e-05,0.0349360412926391
0.01,275.5,6.599e-05,0.0370231149012567
0.0125,302.6,7.463e-05,0.0418705116696588
0.015,326.1,8.258e-05,0.04633078994614
0.0175,346.9,9.001e-05,0.0504993267504488
0.02,365.5,9.703e-05,0.0544378366247755
0.0225,382.2,0.0001037,0.0581799820466786
0.025,397.2,0.0001101,0.0617706463195691
0.0275,410.8,0.0001163,0.0652491023339317
0.03,423.0,0.0001223,0.0686153500897666
0.035,444.0,0.0001338,0.0750673249551167
0.04,460.8,0.0001449,0.0812948833034111
0.045,474.1,0.0001556,0.0872980251346499
0.05,484.3,0.000166,0.0931328545780969
0.055,491.8,0.0001762,0.0988554757630161
0.06,497.0,0.0001864,0.1045780969479353
0.065,500.2,0.0001964,0.1101885098743267
0.07,501.7,0.0002064,0.1157989228007181
0.075,501.6,0.0002163,0.1213532315978456
0.08,500.3,0.0002263,0.1269636445242369
0.085,498.0,0.0002363,0.1325740574506283
0.09,494.7,0.0002464,0.1382405745062837
0.095,490.7,0.0002565,0.1439070915619389
0.1,486.2,0.0002668,0.149685816876122
0.125,458.0,0.0003197,0.1793649012567325
0.15,427.2,0.0003762,0.2110637342908438
0.175,398.2,0.0004368,0.2450628366247756
0.2,372.4,0.0005018,0.2815305206463196
0.225,349.9,0.0005711,0.3204106822262118
0.25,330.4,0.0006447,0.3617033213644524
0.275,313.5,0.0007224,0.4052962298025134
0.3,298.8,0.0008041,0.451133303411131
0.35,274.5,0.0009789,0.5492033213644524
0.4,255.1,0.001168,0.6552962298025135
0.45,239.2,0.001371,0.7691876122082586
0.5,225.8,0.001586,0.8898114901256733
0.55,214.6,0.001813,1.0171678635547576
0.6,204.8,0.002052,1.1512567324955116
0.65,196.2,0.002301,1.2909560143626573
0.7,188.5,0.002561,1.436826750448833
0.75,181.5,0.002832,1.5888689407540395
0.8,175.0,0.003112,1.7459605026929983
0.85,169.1,0.003403,1.909223518850988
0.9,163.5,0.003704,2.078096947935368
0.95,158.3,0.004015,2.25258078994614
1.0,153.4,0.004336,2.4326750448833034
1.25,133.1,0.00609,3.416741472172352
1.5,118.3,0.008087,4.537140933572712
1.75,106.9,0.01031,5.784335727109515
2.0,97.78,0.01276,7.158886894075405
2.25,90.32,0.01543,8.656867145421902
2.5,84.06,0.0183,10.26705565529623
2.75,78.72,0.02137,11.989452423698385
3.0,74.09,0.02465,13.829667863554755
3.5,66.47,0.03179,17.835502692998205
4.0,60.43,0.03969,22.2677289048474
4.5,55.5,0.04833,27.11512567324955
5.0,51.41,0.0577,32.37208258527828
5.5,47.93,0.06778,38.0273788150808
6.0,44.95,0.07856,44.07540394973071
6.5,42.36,0.09002,50.50493716337522
7.0,40.08,0.1022,57.33842010771993
7.5,38.06,0.115,64.5197486535009
8.0,36.26,0.1284,72.03770197486534
8.5,34.63,0.1425,79.94838420107719
9.0,33.17,0.1573,88.25179533213644
9.5,31.83,0.1727,96.89183123877918
10.0,30.61,0.1887,105.8684919210054
12.5,25.81,0.278,155.96947935368044
15.0,22.42,0.3823,214.4860861759425
17.5,19.89,0.5009,281.02558348294434
20.0,17.93,0.6335,355.41965888689407
25.0,15.07,0.939,526.8177737881508
27.5,13.99,1.111,623.3168761220826
30.0,13.07,1.296,727.1095152603232
35.0,11.59,1.704,956.0143626570916
40.0,10.44,2.159,1211.2881508078997
45.0,9.529,2.661,1492.930879712747
50.0,8.783,3.208,1799.8204667863556
55.0,8.162,3.799,2131.395870736086
60.0,7.636,4.433,2487.0960502693
65.0,7.184,5.108,2865.798922800718
70.0,6.792,5.824,3267.504488330341
75.0,6.449,6.58,3691.65170556553
80.0,6.145,7.375,4137.679533213644
85.0,5.874,8.207,4604.465888689408
90.0,5.631,9.077,5092.571813285458
95.0,5.412,9.983,5600.875224416517
100.0,5.213,10.92,6126.57091561939
125.0,4.445,16.14,9055.206463195693
150.0,3.919,22.15,12427.064631956911
175.0,3.537,28.88,16202.872531418312
200.0,3.246,36.27,20348.967684021547
225.0,3.018,44.26,24831.687612208258
250.0,2.834,52.82,29634.201077199283
275.0,2.683,61.89,34722.84560143627
300.0,2.557,71.44,40080.78994614004
350.0,2.358,91.84,51526.03231597846
400.0,2.21,113.8,63846.49910233393
450.0,2.095,137.0,76862.65709156194
500.0,2.004,161.4,90552.06463195692
550.0,1.931,186.9,104858.61759425496
600.0,1.871,213.2,119614.00359066427
650.0,1.821,240.3,134818.22262118492
700.0,1.779,268.1,150415.17055655297
750.0,1.744,296.5,166348.7432675045
800.0,1.714,325.4,182562.8366247756
850.0,1.688,354.8,199057.45062836623
900.0,1.665,384.6,215776.48114901257
950.0,1.646,414.8,232719.92818671456
1000.0,1.629,445.4,249887.79174147217
1500.0,1.542,762.6,427850.08976660686
