Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,176.1,6.887e-06,4.7496551724137934e-06
0.0015,201.7,9.518e-06,6.564137931034483e-06
0.002,224.7,1.186e-05,8.179310344827586e-06
0.0025,245.7,1.399e-05,9.648275862068963e-06
0.003,265.0,1.595e-05,1.1e-05
0.004,298.3,1.95e-05,1.3448275862068966e-05
0.005,328.5,2.269e-05,1.5648275862068967e-05
0.006,356.1,2.561e-05,1.766206896551724e-05
0.007,381.6,2.832e-05,1.953103448275862e-05
0.008,405.2,3.086e-05,2.128275862068965e-05
0.009,427.1,3.327e-05,2.2944827586206896e-05
0.01,447.8,3.555e-05,2.4517241379310344e-05
0.0125,489.3,4.088e-05,2.8193103448275864e-05
0.015,525.1,4.581e-05,3.159310344827586e-05
0.0175,556.7,5.043e-05,3.477931034482759e-05
0.02,585.1,5.481e-05,3.78e-05
0.0225,610.5,5.899e-05,4.068275862068966e-05
0.025,633.4,6.301e-05,4.34551724137931e-05
0.0275,654.0,6.689e-05,4.6131034482758624e-05
0.03,672.6,7.066e-05,4.873103448275863e-05
0.035,705.1,7.791e-05,5.373103448275863e-05
0.04,732.3,8.487e-05,5.853103448275863e-05
0.045,754.8,9.159e-05,6.316551724137931e-05
0.05,772.8,9.813e-05,6.767586206896552e-05
0.055,786.8,0.0001045,7.206896551724138e-05
0.06,797.2,0.0001109,7.648275862068965e-05
0.065,804.5,0.0001171,8.075862068965518e-05
0.07,809.3,0.0001233,8.503448275862069e-05
0.075,811.7,0.0001295,8.931034482758621e-05
0.08,812.1,0.0001356,9.351724137931034e-05
0.085,810.9,0.0001418,9.779310344827588e-05
0.09,808.1,0.000148,0.0001020689655172
0.095,804.1,0.0001542,0.0001063448275862
0.1,799.1,0.0001604,0.0001106206896551
0.125,763.6,0.0001923,0.0001326206896551
0.15,720.5,0.000226,0.0001558620689655
0.175,677.1,0.0002618,0.0001805517241379
0.2,636.6,0.0002999,0.0002068275862068
0.225,599.9,0.0003404,0.0002347586206896
0.25,567.3,0.0003833,0.0002643448275862
0.275,538.5,0.0004285,0.0002955172413793
0.3,512.9,0.0004761,0.0003283448275862
0.35,468.5,0.0005782,0.0003987586206896
0.4,431.8,0.0006895,0.0004755172413793
0.45,401.2,0.0008097,0.0005584137931034
0.5,375.4,0.0009387,0.0006473793103448
0.55,353.3,0.001076,0.0007420689655172
0.6,334.0,0.001222,0.0008427586206896
0.65,317.2,0.001375,0.0009482758620689
0.7,302.2,0.001537,0.00106
0.75,288.7,0.001706,0.0011765517241379
0.8,276.5,0.001883,0.0012986206896551
0.85,265.5,0.002068,0.0014262068965517
0.9,255.3,0.00226,0.0015586206896551
0.95,246.0,0.002459,0.0016958620689655
1.0,237.6,0.002666,0.0018386206896551
1.25,203.5,0.003807,0.0026255172413793
1.5,179.0,0.00512,0.0035310344827586
1.75,160.3,0.006599,0.0045510344827586
2.0,145.5,0.008238,0.0056813793103448
2.25,133.5,0.01003,0.0069172413793103
2.5,123.5,0.01198,0.0082620689655172
2.75,115.1,0.01408,0.0097103448275862
3.0,107.8,0.01633,0.0112620689655172
3.5,96.01,0.02125,0.0146551724137931
4.0,86.72,0.02674,0.0184413793103448
4.5,79.22,0.03278,0.0226068965517241
5.0,73.02,0.03936,0.0271448275862068
5.5,67.81,0.04647,0.0320482758620689
6.0,63.36,0.0541,0.0373103448275862
6.5,59.5,0.06225,0.0429310344827586
7.0,56.13,0.07091,0.048903448275862
7.5,53.16,0.08006,0.0552137931034482
8.0,50.51,0.08972,0.0618758620689655
8.5,48.14,0.09986,0.0688689655172413
9.0,46.0,0.1105,0.0762068965517241
9.5,44.06,0.1216,0.0838620689655172
10.0,42.29,0.1332,0.0918620689655172
12.5,35.37,0.1981,0.1366206896551724
15.0,30.54,0.2744,0.1892413793103448
17.5,26.97,0.3617,0.249448275862069
20.0,24.21,0.4597,0.3170344827586207
25.0,20.22,0.6868,0.473655172413793
27.5,18.72,0.8154,0.562344827586207
30.0,17.45,0.9538,0.6577931034482759
35.0,15.42,1.259,0.8682758620689655
40.0,13.85,1.602,1.1048275862068966
45.0,12.61,1.981,1.3662068965517242
50.0,11.6,2.395,1.6517241379310346
55.0,10.76,2.843,1.9606896551724136
60.0,10.05,3.324,2.292413793103448
65.0,9.441,3.838,2.646896551724138
70.0,8.915,4.383,3.022758620689656
75.0,8.454,4.959,3.42
80.0,8.047,5.566,3.838620689655172
85.0,7.685,6.202,4.277241379310345
90.0,7.361,6.867,4.735862068965518
95.0,7.068,7.56,5.213793103448276
100.0,6.804,8.281,5.711034482758621
125.0,5.782,12.29,8.475862068965517
150.0,5.087,16.91,11.662068965517244
175.0,4.582,22.1,15.24137931034483
200.0,4.199,27.81,19.179310344827584
225.0,3.899,33.99,23.44137931034483
250.0,3.657,40.62,28.013793103448275
275.0,3.458,47.66,32.86896551724138
300.0,3.293,55.07,37.97931034482759
350.0,3.032,70.92,48.91034482758621
400.0,2.838,87.99,60.68275862068965
450.0,2.687,106.1,73.17241379310344
500.0,2.568,125.2,86.3448275862069
550.0,2.472,145.0,100.0
600.0,2.393,165.6,114.20689655172414
650.0,2.327,186.8,128.82758620689657
700.0,2.27,208.6,143.86206896551724
750.0,2.221,230.8,159.17241379310346
800.0,2.18,253.6,174.89655172413794
850.0,2.144,276.7,190.8275862068965
900.0,2.112,300.2,207.0344827586207
950.0,2.085,324.0,223.44827586206893
1000.0,2.061,348.1,240.0689655172414
1500.0,1.926,600.7,414.2758620689656
2000.0,1.879,864.1,595.9310344827586
2500.0,1.864,1132.0,780.6896551724138
3000.0,1.862,1400.0,965.5172413793103
4000.0,1.875,1936.0,1335.1724137931035
5000.0,1.895,2466.0,1700.689655172414
6000.0,1.916,2991.0,2062.758620689656
7000.0,1.937,3510.0,2420.689655172414
8000.0,1.956,4024.0,2775.172413793104
9000.0,1.974,4533.0,3126.206896551724
10000.0,1.991,5037.0,3473.793103448276
