Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,176.1,7.469e-06,4.037297297297297e-06
0.0015,204.7,1.008e-05,5.448648648648649e-06
0.002,229.9,1.238e-05,6.691891891891892e-06
0.0025,252.6,1.445e-05,7.81081081081081e-06
0.003,273.5,1.635e-05,8.837837837837839e-06
0.004,311.2,1.978e-05,1.0691891891891892e-05
0.005,344.9,2.282e-05,1.2335135135135134e-05
0.006,375.6,2.56e-05,1.3837837837837837e-05
0.007,404.0,2.817e-05,1.5227027027027026e-05
0.008,430.6,3.056e-05,1.6518918918918917e-05
0.009,455.7,3.282e-05,1.774054054054054e-05
0.01,479.5,3.496e-05,1.8897297297297293e-05
0.0125,522.4,3.994e-05,2.158918918918919e-05
0.015,557.9,4.456e-05,2.4086486486486484e-05
0.0175,587.6,4.892e-05,2.6443243243243243e-05
0.02,612.4,5.309e-05,2.869729729729729e-05
0.0225,633.0,5.71e-05,3.0864864864864866e-05
0.025,649.9,6.1e-05,3.297297297297297e-05
0.0275,663.6,6.48e-05,3.502702702702703e-05
0.03,674.6,6.854e-05,3.704864864864865e-05
0.035,689.6,7.586e-05,4.100540540540541e-05
0.04,697.6,8.307e-05,4.49027027027027e-05
0.045,700.3,9.022e-05,4.8767567567567566e-05
0.05,699.4,9.736e-05,5.262702702702703e-05
0.055,695.9,0.0001045,5.6486486486486486e-05
0.06,690.6,0.0001117,6.037837837837838e-05
0.065,684.2,0.000119,6.432432432432433e-05
0.07,677.0,0.0001264,6.832432432432433e-05
0.075,669.4,0.0001338,7.232432432432432e-05
0.08,661.7,0.0001413,7.637837837837837e-05
0.085,653.8,0.0001489,8.048648648648647e-05
0.09,646.0,0.0001566,8.464864864864865e-05
0.095,638.2,0.0001644,8.886486486486487e-05
0.1,630.6,0.0001723,9.313513513513512e-05
0.125,595.1,0.0002131,0.0001151891891891
0.15,563.7,0.0002563,0.0001385405405405
0.175,536.0,0.0003018,0.0001631351351351
0.2,511.3,0.0003495,0.0001889189189189
0.225,488.9,0.0003996,0.000216
0.25,468.7,0.0004518,0.0002442162162162
0.275,450.2,0.0005062,0.0002736216216216
0.3,433.2,0.0005629,0.0003042702702702
0.35,404.7,0.0006824,0.0003688648648648
0.4,380.4,0.0008099,0.0004377837837837
0.45,358.3,0.0009453,0.0005109729729729
0.5,337.9,0.001089,0.0005886486486486
0.55,319.0,0.001241,0.0006708108108108
0.6,302.4,0.001403,0.0007583783783783
0.65,287.6,0.001572,0.0008497297297297
0.7,274.4,0.00175,0.0009459459459459
0.75,262.5,0.001937,0.001047027027027
0.8,251.7,0.002131,0.0011518918918918
0.85,241.8,0.002334,0.0012616216216216
0.9,232.8,0.002545,0.0013756756756756
0.95,224.6,0.002763,0.0014935135135135
1.0,216.9,0.00299,0.0016162162162162
1.25,186.2,0.004238,0.0022908108108108
1.5,163.6,0.005674,0.003067027027027
1.75,146.4,0.007292,0.0039416216216216
2.0,132.7,0.009088,0.0049124324324324
2.25,121.6,0.01106,0.0059783783783783
2.5,112.3,0.0132,0.0071351351351351
2.75,104.5,0.01551,0.0083837837837837
3.0,97.81,0.01798,0.0097189189189189
3.5,86.89,0.02342,0.0126594594594594
4.0,78.32,0.02949,0.0159405405405405
4.5,71.41,0.03618,0.0195567567567567
5.0,65.72,0.04349,0.0235081081081081
5.5,60.94,0.05139,0.0277783783783783
6.0,56.87,0.05989,0.0323729729729729
6.5,53.34,0.06898,0.0372864864864864
