Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,145.1,8.842e-06,5.023863636363636e-06
0.0015,167.5,1.202e-05,6.829545454545455e-06
0.002,187.2,1.484e-05,8.431818181818182e-06
0.0025,205.0,1.739e-05,9.88068181818182e-06
0.003,221.3,1.974e-05,1.1215909090909092e-05
0.004,247.7,2.4e-05,1.3636363636363637e-05
0.005,271.6,2.785e-05,1.5823863636363637e-05
0.006,293.6,3.139e-05,1.7835227272727274e-05
0.007,313.8,3.468e-05,1.9704545454545456e-05
0.008,332.0,3.778e-05,2.146590909090909e-05
0.009,348.7,4.072e-05,2.313636363636364e-05
0.01,364.3,4.352e-05,2.4727272727272724e-05
0.0125,396.6,5.009e-05,2.8460227272727275e-05
0.015,424.1,5.618e-05,3.1920454545454545e-05
0.0175,448.3,6.191e-05,3.517613636363636e-05
0.02,470.0,6.735e-05,3.826704545454545e-05
0.0225,489.6,7.256e-05,4.122727272727273e-05
0.025,507.1,7.758e-05,4.407954545454545e-05
0.0275,522.8,8.243e-05,4.683522727272727e-05
0.03,537.1,8.715e-05,4.9517045454545456e-05
0.035,562.9,9.623e-05,5.467613636363637e-05
0.04,585.6,0.0001049,5.960227272727273e-05
0.045,605.4,0.0001133,6.4375e-05
0.05,622.0,0.0001215,6.903409090909091e-05
0.055,635.6,0.0001294,7.352272727272728e-05
0.06,646.4,0.0001372,7.795454545454546e-05
0.065,655.0,0.0001449,8.232954545454545e-05
0.07,661.6,0.0001525,8.664772727272727e-05
0.075,666.5,0.00016,9.090909090909092e-05
0.08,669.8,0.0001675,9.517045454545456e-05
0.085,671.7,0.000175,9.94318181818182e-05
0.09,672.4,0.0001824,0.0001036363636363
0.095,672.0,0.0001898,0.0001078409090909
0.1,670.7,0.0001973,0.0001121022727272
0.125,653.9,0.000235,0.0001335227272727
0.15,627.2,0.000274,0.0001556818181818
0.175,597.0,0.0003148,0.0001788636363636
0.2,566.4,0.0003578,0.0002032954545454
0.225,537.6,0.0004031,0.000229034090909
0.25,511.3,0.0004508,0.0002561363636363
0.275,487.3,0.0005009,0.0002846022727272
0.3,465.6,0.0005534,0.0003144318181818
0.35,427.9,0.0006656,0.0003781818181818
0.4,396.5,0.0007871,0.0004472159090909
0.45,370.0,0.0009177,0.0005214204545454
0.5,347.3,0.001057,0.0006005681818181
0.55,327.7,0.001206,0.0006852272727272
0.6,310.4,0.001362,0.0007738636363636
0.65,295.1,0.001528,0.0008681818181818
0.7,281.5,0.001701,0.0009664772727272
0.75,269.2,0.001883,0.0010698863636363
0.8,258.2,0.002073,0.0011778409090909
0.85,248.1,0.00227,0.0012897727272727
0.9,238.8,0.002476,0.0014068181818181
0.95,230.3,0.002689,0.0015278409090909
1.0,222.5,0.00291,0.001653409090909
1.25,191.1,0.004126,0.0023443181818181
1.5,168.3,0.005524,0.0031386363636363
1.75,150.9,0.007096,0.0040318181818181
2.0,137.1,0.008837,0.0050210227272727
2.25,125.8,0.01074,0.0061022727272727
2.5,116.5,0.01281,0.007278409090909
2.75,108.5,0.01503,0.0085397727272727
3.0,101.8,0.01742,0.0098977272727272
3.5,90.64,0.02263,0.0128579545454545
4.0,81.9,0.02844,0.0161590909090909
4.5,74.85,0.03484,0.0197954545454545
5.0,69.01,0.0418,0.0237499999999999
5.5,64.1,0.04932,0.0280227272727272
6.0,59.9,0.0574,0.0326136363636363
6.5,56.27,0.06602,0.0375113636363636
7.0,53.09,0.07517,0.0427102272727272
7.5,50.28,0.08485,0.0482102272727272
8.0,47.78,0.09505,0.0540056818181818
8.5,45.55,0.1058,0.0601136363636363
9.0,43.52,0.117,0.0664772727272727
9.5,41.69,0.1287,0.073125
10.0,40.02,0.141,0.0801136363636363
12.5,33.47,0.2096,0.1190909090909091
15.0,28.91,0.2902,0.1648863636363636
17.5,25.53,0.3825,0.2173295454545454
20.0,22.92,0.486,0.2761363636363636
25.0,19.13,0.7259,0.4124431818181818
27.5,17.72,0.8618,0.4896590909090909
30.0,16.52,1.008,0.5727272727272728
35.0,14.59,1.331,0.75625
40.0,13.11,1.693,0.9619318181818182
45.0,11.93,2.093,1.1892045454545457
50.0,10.98,2.531,1.438068181818182
55.0,10.18,3.004,1.7068181818181818
60.0,9.51,3.512,1.9954545454545447
65.0,8.935,4.055,2.3039772727272725
70.0,8.437,4.631,2.63125
75.0,8.0,5.24,2.9772727272727275
80.0,7.615,5.881,3.341477272727273
85.0,7.273,6.553,3.7232954545454544
90.0,6.966,7.256,4.122727272727273
95.0,6.689,7.989,4.539204545454545
100.0,6.439,8.751,4.9721590909090905
125.0,5.472,12.98,7.375
150.0,4.814,17.87,10.153409090909092
175.0,4.336,23.35,13.267045454545457
200.0,3.974,29.38,16.693181818181817
225.0,3.689,35.92,20.40909090909091
250.0,3.461,42.92,24.38636363636364
275.0,3.273,50.36,28.613636363636363
300.0,3.116,58.19,33.0625
350.0,2.87,74.94,42.57954545454545
400.0,2.685,92.98,52.82954545454545
450.0,2.543,112.1,63.69318181818181
500.0,2.43,132.3,75.17045454545455
550.0,2.339,153.2,87.04545454545453
600.0,2.265,175.0,99.4318181818182
650.0,2.203,197.4,112.1590909090909
700.0,2.15,220.3,125.17045454545456
750.0,2.104,243.9,138.57954545454547
800.0,2.065,267.8,152.1590909090909
850.0,2.031,292.3,166.07954545454547
900.0,2.001,317.1,180.17045454545456
950.0,1.975,342.2,194.4318181818182
1000.0,1.953,367.7,208.92045454545453
1500.0,1.825,634.1,360.28409090909093
2000.0,1.78,912.1,518.2386363636364
2500.0,1.765,1194.0,678.4090909090909
3000.0,1.764,1478.0,839.7727272727273
4000.0,1.775,2043.0,1160.7954545454545
5000.0,1.793,2604.0,1479.5454545454545
6000.0,1.813,3159.0,1794.8863636363635
7000.0,1.832,3707.0,2106.25
8000.0,1.85,4250.0,2414.7727272727275
9000.0,1.867,4789.0,2721.0227272727275
10000.0,1.882,5322.0,3023.8636363636365
