Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,86.59,1.705e-05,5.361635220125786e-06
0.0015,102.0,2.231e-05,7.015723270440252e-06
0.002,115.1,2.692e-05,8.465408805031445e-06
0.0025,126.7,3.106e-05,9.767295597484276e-06
0.003,137.3,3.485e-05,1.0959119496855346e-05
0.004,156.2,4.166e-05,1.3100628930817609e-05
0.005,173.1,4.773e-05,1.500943396226415e-05
0.006,188.4,5.327e-05,1.6751572327044026e-05
0.007,202.5,5.838e-05,1.8358490566037736e-05
0.008,215.7,6.317e-05,1.986477987421384e-05
0.009,228.2,6.767e-05,2.1279874213836474e-05
0.01,240.0,7.194e-05,2.2622641509433964e-05
0.0125,263.5,8.186e-05,2.5742138364779874e-05
0.015,284.2,9.099e-05,2.8613207547169808e-05
0.0175,302.7,9.951e-05,3.1292452830188675e-05
0.02,319.4,0.0001075,3.380503144654088e-05
0.0225,334.7,0.0001152,3.622641509433962e-05
0.025,348.6,0.0001225,3.852201257861635e-05
0.0275,361.5,0.0001295,4.072327044025157e-05
0.03,373.2,0.0001363,4.286163522012578e-05
0.035,394.1,0.0001494,4.69811320754717e-05
0.04,411.8,0.0001618,5.088050314465409e-05
0.045,426.8,0.0001737,5.462264150943396e-05
0.05,439.5,0.0001852,5.8238993710691824e-05
0.055,450.1,0.0001965,6.179245283018868e-05
0.06,458.8,0.0002075,6.525157232704402e-05
0.065,465.8,0.0002183,6.864779874213836e-05
0.07,471.5,0.000229,7.20125786163522e-05
0.075,475.8,0.0002395,7.531446540880503e-05
0.08,478.9,0.00025,7.861635220125786e-05
0.085,481.1,0.0002604,8.188679245283018e-05
0.09,482.3,0.0002708,8.515723270440251e-05
0.095,482.8,0.0002811,8.839622641509434e-05
0.1,482.5,0.0002915,9.166666666666664e-05
0.125,473.7,0.0003437,0.0001080817610062
0.15,457.4,0.0003973,0.0001249371069182
0.175,438.1,0.0004532,0.0001425157232704
0.2,418.3,0.0005116,0.0001608805031446
0.225,399.1,0.0005728,0.0001801257861635
0.25,381.1,0.0006369,0.0002002830188679
0.275,364.4,0.000704,0.0002213836477987
0.3,349.1,0.0007741,0.0002434276729559
0.35,323.3,0.0009231,0.0002902830188679
