Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,127.8,1.072e-05,0.0057326203208556
0.0015,148.5,1.431e-05,0.0076524064171123
0.002,166.5,1.749e-05,0.0093529411764705
0.0025,182.6,2.035e-05,0.0108823529411764
0.003,197.3,2.299e-05,0.0122941176470588
0.004,223.9,2.773e-05,0.0148288770053475
0.005,247.6,3.198e-05,0.0171016042780748
0.006,269.3,3.584e-05,0.0191657754010695
0.007,289.4,3.942e-05,0.0210802139037433
0.008,308.1,4.277e-05,0.0228716577540106
0.009,325.9,4.593e-05,0.0245614973262032
0.01,342.7,4.892e-05,0.0261604278074866
0.0125,376.3,5.587e-05,0.0298770053475935
0.015,405.9,6.226e-05,0.0332941176470588
0.0175,432.5,6.822e-05,0.0364812834224598
0.02,456.7,7.384e-05,0.0394866310160427
0.0225,478.7,7.919e-05,0.0423475935828877
0.025,498.9,8.43e-05,0.0450802139037433
0.0275,517.5,8.922e-05,0.047711229946524
0.03,534.6,9.397e-05,0.0502513368983957
0.035,565.1,0.0001031,0.0551336898395721
0.04,591.1,0.0001117,0.0597326203208556
0.045,613.3,0.00012,0.0641711229946524
0.05,632.1,0.000128,0.0684491978609625
0.055,647.9,0.0001358,0.0726203208556149
0.06,661.0,0.0001435,0.0767379679144385
0.065,671.6,0.000151,0.0807486631016042
0.07,680.1,0.0001584,0.0847058823529411
0.075,686.6,0.0001657,0.0886096256684492
0.08,691.3,0.0001729,0.0924598930481283
0.085,694.4,0.0001802,0.0963636363636363
0.09,696.1,0.0001874,0.1002139037433155
0.095,696.6,0.0001945,0.1040106951871657
0.1,695.9,0.0002017,0.1078609625668449
0.125,679.9,0.000238,0.1272727272727273
0.15,651.3,0.0002755,0.1473262032085561
0.175,618.0,0.0003149,0.1683957219251337
0.2,584.2,0.0003565,0.1906417112299465
0.225,552.7,0.0004005,0.2141711229946524
0.25,524.1,0.000447,0.2390374331550802
0.275,498.3,0.0004959,0.2651871657754011
0.3,475.0,0.0005473,0.2926737967914439
0.35,435.1,0.0006574,0.3515508021390374
0.4,402.2,0.0007771,0.4155614973262032
0.45,374.7,0.000906,0.4844919786096257
0.5,351.3,0.001044,0.558288770053476
0.55,331.2,0.001191,0.6368983957219252
0.6,313.5,0.001346,0.7197860962566845
0.65,297.9,0.001509,0.8069518716577541
0.7,283.9,0.001681,0.8989304812834225
0.75,271.4,0.001862,0.9957219251336898
0.8,260.0,0.00205,1.0962566844919788
0.85,249.8,0.002246,1.2010695187165776
0.9,240.4,0.00245,1.3101604278074863
0.95,231.8,0.002662,1.423529411764706
1.0,223.9,0.002882,1.5411764705882354
1.25,192.0,0.004091,2.1877005347593586
1.5,169.1,0.005482,2.931550802139037
1.75,151.5,0.007047,3.768449197860963
2.0,137.6,0.008782,4.696256684491979
2.25,126.3,0.01068,5.711229946524065
2.5,116.9,0.01274,6.81283422459893
2.75,109.0,0.01496,8.0
3.0,102.1,0.01733,9.267379679144389
3.5,90.97,0.02253,12.04812834224599
