Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,160.0,8.054e-06,6.5479674796747965e-06
0.0015,184.9,1.094e-05,8.894308943089432e-06
0.002,206.8,1.349e-05,1.0967479674796748e-05
0.0025,226.7,1.58e-05,1.2845528455284554e-05
0.003,244.9,1.792e-05,1.4569105691056912e-05
0.004,276.0,2.176e-05,1.7691056910569106e-05
0.005,304.1,2.52e-05,2.048780487804878e-05
0.006,329.8,2.836e-05,2.305691056910569e-05
0.007,353.5,3.128e-05,2.5430894308943088e-05
0.008,375.4,3.403e-05,2.7666666666666664e-05
0.009,395.7,3.662e-05,2.977235772357724e-05
0.01,414.9,3.909e-05,3.178048780487805e-05
0.0125,453.3,4.484e-05,3.645528455284553e-05
0.015,486.5,5.016e-05,4.078048780487805e-05
0.0175,515.8,5.515e-05,4.483739837398374e-05
0.02,542.0,5.987e-05,4.867479674796748e-05
0.0225,565.7,6.439e-05,5.234959349593496e-05
0.025,587.0,6.872e-05,5.5869918699187e-05
0.0275,606.2,7.291e-05,5.927642276422765e-05
0.03,623.6,7.698e-05,6.258536585365854e-05
0.035,654.4,8.48e-05,6.894308943089431e-05
0.04,680.5,9.229e-05,7.503252032520325e-05
0.045,702.4,9.952e-05,8.091056910569105e-05
0.05,720.4,0.0001065,8.658536585365854e-05
0.055,734.8,0.0001134,9.219512195121952e-05
0.06,746.0,0.0001202,9.772357723577236e-05
0.065,754.5,0.0001268,0.0001030894308943
0.07,760.7,0.0001334,0.0001084552845528
0.075,764.7,0.00014,0.0001138211382113
0.08,767.0,0.0001465,0.0001191056910569
0.085,767.6,0.000153,0.0001243902439024
0.09,766.8,0.0001595,0.0001296747967479
0.095,764.8,0.0001661,0.0001350406504065
0.1,761.8,0.0001726,0.000140325203252
0.125,735.4,0.000206,0.0001674796747967
0.15,699.1,0.0002408,0.0001957723577235
0.175,660.1,0.0002776,0.0002256910569105
0.2,622.1,0.0003166,0.0002573983739837
0.225,586.6,0.000358,0.0002910569105691
0.25,554.4,0.0004019,0.0003267479674796
0.275,525.4,0.0004482,0.0003643902439024
0.3,499.4,0.000497,0.0004040650406504
0.35,452.9,0.0006023,0.0004896747967479
0.4,414.3,0.0007178,0.0005835772357723
0.45,383.2,0.0008435,0.0006857723577235
0.5,358.3,0.0009785,0.0007955284552845
0.55,337.9,0.001122,0.0009121951219512
0.6,320.0,0.001274,0.0010357723577235
0.65,304.1,0.001435,0.0011666666666666
0.7,290.0,0.001603,0.0013032520325203
0.75,277.3,0.00178,0.0014471544715447
0.8,265.8,0.001964,0.0015967479674796
0.85,255.4,0.002156,0.0017528455284552
0.9,245.8,0.002355,0.0019146341463414
0.95,237.1,0.002563,0.0020837398373983
1.0,229.0,0.002777,0.0022577235772357
1.25,196.5,0.00396,0.0032195121951219
1.5,173.1,0.005319,0.0043243902439024
