Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,177.5,6.355e-06,6.169902912621359e-06
0.0015,199.6,8.992e-06,8.73009708737864e-06
0.002,220.1,1.138e-05,1.1048543689320388e-05
0.0025,239.1,1.355e-05,1.3155339805825244e-05
0.003,256.8,1.557e-05,1.511650485436893e-05
0.004,289.3,1.923e-05,1.866990291262136e-05
0.005,318.8,2.252e-05,2.1864077669902915e-05
0.006,345.8,2.553e-05,2.478640776699029e-05
0.007,370.9,2.832e-05,2.749514563106796e-05
0.008,394.5,3.094e-05,3.0038834951456308e-05
0.009,416.8,3.34e-05,3.242718446601942e-05
0.01,438.0,3.574e-05,3.469902912621359e-05
0.0125,480.1,4.118e-05,3.998058252427185e-05
0.015,517.0,4.619e-05,4.484466019417476e-05
0.0175,550.1,5.088e-05,4.9398058252427184e-05
0.02,579.9,5.53e-05,5.368932038834952e-05
0.0225,606.9,5.951e-05,5.777669902912621e-05
0.025,631.4,6.355e-05,6.169902912621359e-05
0.0275,653.9,6.744e-05,6.547572815533981e-05
0.03,674.3,7.121e-05,6.913592233009708e-05
0.035,710.1,7.842e-05,7.613592233009708e-05
0.04,739.8,8.532e-05,8.283495145631068e-05
0.045,764.3,9.196e-05,8.928155339805824e-05
0.05,784.2,9.842e-05,9.55533980582524e-05
0.055,800.0,0.0001047,0.0001016504854368
0.06,812.2,0.0001109,0.0001076699029126
0.065,821.3,0.000117,0.0001135922330097
0.07,827.5,0.0001231,0.0001195145631067
0.075,831.2,0.0001291,0.0001253398058252
0.08,832.8,0.0001351,0.0001311650485436
0.085,832.4,0.0001412,0.0001370873786407
0.09,830.4,0.0001472,0.0001429126213592
0.095,827.0,0.0001532,0.0001487378640776
0.1,822.5,0.0001593,0.0001546601941747
0.125,787.3,0.0001903,0.0001847572815533
0.15,742.6,0.000223,0.0002165048543689
0.175,697.0,0.0002577,0.0002501941747572
0.2,654.5,0.0002947,0.0002861165048543
0.225,619.2,0.000334,0.0003242718446601
0.25,589.5,0.0003754,0.0003644660194174
0.275,563.5,0.0004188,0.0004066019417475
0.3,540.3,0.0004641,0.0004505825242718
0.35,499.8,0.0005604,0.0005440776699029
0.4,465.3,0.0006642,0.000644854368932
0.45,435.1,0.0007754,0.0007528155339805
0.5,408.3,0.0008941,0.0008680582524271
0.55,384.6,0.00102,0.0009902912621359
0.6,363.7,0.001154,0.0011203883495145
0.65,345.2,0.001295,0.001257281553398
0.7,328.7,0.001444,0.0014019417475728
0.75,313.9,0.001599,0.001552427184466
0.8,300.5,0.001762,0.0017106796116504
0.85,288.4,0.001932,0.0018757281553398
0.9,277.4,0.002109,0.0020475728155339
0.95,267.3,0.002293,0.002226213592233
1.0,257.9,0.002483,0.0024106796116504
1.25,220.6,0.003535,0.0034320388349514
1.5,193.7,0.004748,0.004609708737864
1.75,173.2,0.006115,0.0059368932038834
2.0,157.0,0.007634,0.0074116504854368
2.25,143.9,0.009298,0.0090271844660194
2.5,133.1,0.01111,0.0107864077669902
2.75,123.9,0.01305,0.0126699029126213
3.0,116.1,0.01514,0.0146990291262135
3.5,103.2,0.01972,0.0191456310679611
4.0,93.18,0.02482,0.0240970873786407
4.5,85.08,0.03045,0.0295631067961165
5.0,78.4,0.03657,0.035504854368932
5.5,72.78,0.0432,0.0419417475728155
6.0,67.98,0.05031,0.0488446601941747
6.5,63.82,0.05791,0.0562233009708737
