Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,36.31,4.801e-05,1.0645232815964524e-05
0.0015,44.1,6.035e-05,1.3381374722838138e-05
0.002,50.65,7.091e-05,1.5722838137472284e-05
0.0025,56.42,8.025e-05,1.779379157427938e-05
0.003,61.62,8.872e-05,1.9671840354767183e-05
0.004,70.85,0.0001038,2.3015521064301555e-05
0.005,78.98,0.0001172,2.598669623059867e-05
0.006,86.32,0.0001293,2.8669623059866964e-05
0.007,93.08,0.0001404,3.113082039911308e-05
0.008,99.36,0.0001508,3.3436807095343686e-05
0.009,105.3,0.0001606,3.5609756097560976e-05
0.01,110.9,0.0001698,3.764966740576497e-05
0.0125,122.1,0.0001913,4.2416851441241685e-05
0.015,132.0,0.000211,4.67849223946785e-05
0.0175,140.9,0.0002293,5.084257206208426e-05
0.02,149.0,0.0002465,5.465631929046563e-05
0.0225,156.3,0.0002629,5.829268292682927e-05
0.025,163.1,0.0002785,6.175166297117516e-05
0.0275,169.4,0.0002936,6.509977827050998e-05
0.03,175.2,0.0003081,6.83148558758315e-05
0.035,185.6,0.0003358,7.445676274944567e-05
0.04,194.6,0.0003621,8.028824833702884e-05
0.045,202.4,0.0003872,8.585365853658536e-05
0.05,209.1,0.0004115,9.124168514412416e-05
0.055,214.7,0.0004351,9.647450110864744e-05
0.06,219.5,0.0004581,0.0001015742793791
0.065,223.5,0.0004807,0.0001065853658536
0.07,226.8,0.0005029,0.0001115077605321
0.075,229.4,0.0005248,0.0001163636363636
0.08,231.4,0.0005465,0.0001211751662971
0.085,232.9,0.0005681,0.0001259645232815
0.09,233.9,0.0005895,0.000130709534368
0.095,234.4,0.0006108,0.0001354323725055
0.1,234.5,0.0006322,0.000140177383592
0.125,230.7,0.0007394,0.0001639467849223
0.15,222.2,0.0008497,0.0001884035476718
0.175,211.7,0.0009649,0.0002139467849223
0.2,200.8,0.001086,0.000240798226164
0.225,190.4,0.001214,0.0002691796008869
0.25,180.8,0.001349,0.0002991130820399
0.275,172.1,0.001491,0.000330598669623
0.3,164.3,0.001639,0.0003634146341463
0.35,151.2,0.001957,0.0004339246119733
0.4,140.7,0.0023,0.0005099778270509
0.45,132.2,0.002667,0.0005913525498891
0.5,125.2,0.003056,0.0006776053215077
0.55,119.3,0.003465,0.0007682926829268
0.6,114.2,0.003894,0.0008634146341463
0.65,109.7,0.004341,0.0009625277161862
0.7,105.7,0.004805,0.0010654101995565
0.75,102.2,0.005286,0.0011720620842572
0.8,99.01,0.005783,0.0012822616407982
0.85,95.91,0.006297,0.0013962305986696
0.9,92.91,0.006826,0.0015135254988913
0.95,90.03,0.007373,0.0016348115299334
1.0,87.29,0.007937,0.0017598669623059
1.25,75.82,0.01102,0.0024434589800443
1.5,67.46,0.01452,0.0032195121951219
1.75,61.3,0.01842,0.0040842572062084
2.0,56.67,0.02267,0.0050266075388026
2.25,53.03,0.02723,0.0060376940133037
2.5,49.92,0.03209,0.0071152993348115
2.75,47.28,0.03724,0.0082572062084257
3.0,44.94,0.04267,0.0094611973392461
3.5,41.03,0.05433,0.0120465631929046
4.0,37.86,0.06703,0.0148625277161862
4.5,35.21,0.08073,0.01790022172949
5.0,32.97,0.09542,0.0211574279379157
5.5,31.04,0.1111,0.0246341463414634
6.0,29.36,0.1276,0.0282926829268292
6.5,27.89,0.1451,0.0321729490022172
7.0,26.58,0.1635,0.0362527716186252
7.5,25.41,0.1827,0.040509977827051
