Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,173.8,7.04e-06,3.805405405405405e-06
0.0015,199.7,9.701e-06,5.243783783783784e-06
0.002,222.7,1.207e-05,6.524324324324324e-06
0.0025,243.6,1.422e-05,7.686486486486485e-06
0.003,262.9,1.619e-05,8.75135135135135e-06
0.004,296.2,1.977e-05,1.0686486486486484e-05
0.005,326.2,2.298e-05,1.242162162162162e-05
0.006,353.7,2.592e-05,1.401081081081081e-05
0.007,379.1,2.865e-05,1.5486486486486485e-05
0.008,402.5,3.121e-05,1.687027027027027e-05
0.009,424.3,3.363e-05,1.8178378378378378e-05
0.01,444.9,3.593e-05,1.942162162162162e-05
0.0125,485.9,4.129e-05,2.231891891891892e-05
0.015,521.2,4.626e-05,2.5005405405405405e-05
0.0175,552.3,5.091e-05,2.751891891891892e-05
0.02,580.2,5.533e-05,2.9908108108108107e-05
0.0225,605.1,5.954e-05,3.2183783783783786e-05
0.025,627.5,6.36e-05,3.4378378378378375e-05
0.0275,647.6,6.752e-05,3.6497297297297294e-05
0.03,665.7,7.133e-05,3.855675675675676e-05
0.035,697.4,7.866e-05,4.251891891891891e-05
0.04,723.9,8.569e-05,4.631891891891892e-05
0.045,745.7,9.249e-05,4.999459459459459e-05
0.05,763.3,9.912e-05,5.357837837837837e-05
0.055,777.0,0.0001056,5.708108108108108e-05
0.06,787.2,0.000112,6.054054054054054e-05
0.065,794.6,0.0001183,6.394594594594595e-05
0.07,799.4,0.0001246,6.735135135135135e-05
0.075,802.0,0.0001308,7.070270270270271e-05
0.08,802.7,0.0001371,7.410810810810811e-05
0.085,801.8,0.0001433,7.745945945945944e-05
0.09,799.4,0.0001495,8.08108108108108e-05
0.095,795.8,0.0001558,8.42162162162162e-05
0.1,791.2,0.0001621,8.762162162162163e-05
0.125,757.5,0.0001944,0.000105081081081
0.15,715.4,0.0002283,0.0001234054054054
0.175,672.2,0.0002643,0.0001428648648648
0.2,631.2,0.0003027,0.0001636216216216
0.225,593.9,0.0003436,0.0001857297297297
0.25,560.4,0.0003869,0.0002091351351351
0.275,530.6,0.0004328,0.0002339459459459
0.3,504.1,0.0004812,0.0002601081081081
0.35,459.5,0.0005852,0.0003163243243243
0.4,423.4,0.0006987,0.0003776756756756
0.45,393.7,0.0008212,0.0004438918918918
0.5,368.7,0.0009526,0.0005149189189189
0.55,347.2,0.001092,0.0005902702702702
0.6,328.4,0.001241,0.0006708108108108
0.65,311.9,0.001397,0.0007551351351351
0.7,297.2,0.001561,0.0008437837837837
0.75,284.0,0.001733,0.0009367567567567
0.8,272.0,0.001913,0.001034054054054
