Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,39.31,4.116e-05,4.59375e-06
0.0015,46.97,5.267e-05,5.878348214285714e-06
0.002,53.4,6.263e-05,6.989955357142857e-06
0.0025,59.06,7.152e-05,7.982142857142857e-06
0.003,64.16,7.964e-05,8.888392857142857e-06
0.004,73.24,9.419e-05,1.0512276785714286e-05
0.005,81.24,0.0001071,1.1953125e-05
0.006,88.49,0.0001189,1.3270089285714284e-05
0.007,95.17,0.0001298,1.4486607142857143e-05
0.008,101.4,0.00014,1.5624999999999997e-05
0.009,107.3,0.0001496,1.669642857142857e-05
0.01,112.8,0.0001587,1.771205357142857e-05
0.0125,123.6,0.0001798,2.0066964285714284e-05
0.015,132.9,0.0001993,2.2243303571428568e-05
0.0175,141.1,0.0002175,2.427455357142857e-05
0.02,148.4,0.0002348,2.620535714285714e-05
0.0225,154.8,0.0002513,2.8046875e-05
0.025,160.6,0.0002671,2.9810267857142853e-05
0.0275,165.7,0.0002824,3.151785714285713e-05
0.03,170.3,0.0002973,3.318080357142857e-05
0.035,178.1,0.000326,3.638392857142857e-05
0.04,184.4,0.0003536,3.9464285714285706e-05
0.045,189.4,0.0003803,4.244419642857142e-05
0.05,193.5,0.0004064,4.5357142857142856e-05
0.055,196.8,0.000432,4.821428571428571e-05
0.06,199.6,0.0004573,5.1037946428571424e-05
0.065,201.8,0.0004822,5.381696428571428e-05
0.07,203.6,0.0005068,5.656249999999999e-05
0.075,205.1,0.0005313,5.929687499999999e-05
0.08,206.3,0.0005556,6.200892857142856e-05
0.085,207.3,0.0005798,6.470982142857142e-05
0.09,208.2,0.0006038,6.738839285714285e-05
0.095,208.8,0.0006278,7.006696428571428e-05
0.1,209.3,0.0006517,7.273437499999999e-05
0.125,210.4,0.0007707,8.601562499999999e-05
0.15,209.7,0.0008897,9.9296875e-05
0.175,207.9,0.001009,0.0001126116071428
0.2,205.5,0.00113,0.0001261160714285
0.225,202.6,0.001253,0.00013984375
0.25,199.4,0.001377,0.0001536830357142
0.275,196.1,0.001504,0.0001678571428571
0.3,192.6,0.001632,0.0001821428571428
0.35,185.6,0.001897,0.00021171875
0.4,178.8,0.002171,0.0002422991071428
0.45,172.2,0.002456,0.0002741071428571
0.5,166.0,0.002752,0.0003071428571428
0.55,159.8,0.003059,0.0003414062499999
0.6,153.8,0.003378,0.0003770089285714
0.65,148.1,0.003709,0.0004139508928571
0.7,142.8,0.004053,0.00045234375
0.75,137.9,0.004409,0.0004920758928571
0.8,133.4,0.004778,0.0005332589285714
0.85,129.2,0.005159,0.00057578125
0.9,125.3,0.005552,0.0006196428571428
0.95,121.8,0.005957,0.0006648437499999
1.0,118.4,0.006373,0.0007112723214285
1.25,104.8,0.008622,0.0009622767857142
1.5,94.5,0.01114,0.0012433035714285
1.75,86.52,0.01391,0.0015524553571428
2.0,79.92,0.01692,0.0018883928571428
2.25,74.3,0.02016,0.00225
2.5,69.6,0.02364,0.0026383928571428
2.75,65.56,0.02735,0.0030524553571428
3.0,61.99,0.03127,0.0034899553571428
3.5,56.1,0.03976,0.0044375
4.0,51.36,0.04909,0.0054787946428571
4.5,47.46,0.05922,0.006609375
5.0,44.18,0.07015,0.0078292410714285
5.5,41.39,0.08185,0.0091350446428571
6.0,38.97,0.09431,0.0105256696428571
6.5,36.85,0.1075,0.0119977678571428
7.0,34.98,0.1214,0.0135491071428571
7.5,33.31,0.1361,0.0151897321428571
8.0,31.81,0.1515,0.0169084821428571
8.5,30.46,0.1675,0.0186941964285714
9.0,29.24,0.1843,0.0205691964285714
9.5,28.12,0.2017,0.0225111607142857
10.0,27.09,0.2199,0.0245424107142857
12.5,23.01,0.3204,0.0357589285714285
15.0,20.1,0.437,0.0487723214285714
17.5,17.91,0.569,0.0635044642857142
20.0,16.2,0.716,0.0799107142857142
25.0,13.68,1.053,0.1175223214285714
27.5,12.73,1.243,0.1387276785714285
30.0,11.91,1.446,0.1613839285714285
35.0,10.6,1.892,0.2111607142857142
40.0,9.577,2.389,0.2666294642857142
45.0,8.76,2.936,0.3276785714285714
50.0,8.09,3.53,0.3939732142857142
55.0,7.53,4.171,0.4655133928571428
60.0,7.055,4.858,0.5421874999999999
65.0,6.646,5.588,0.6236607142857142
70.0,6.291,6.362,0.7100446428571427
75.0,5.979,7.178,0.8011160714285713
80.0,5.702,8.034,0.8966517857142857
85.0,5.455,8.931,0.9967633928571428
90.0,5.234,9.867,1.1012276785714286
95.0,5.034,10.84,1.2098214285714284
100.0,4.852,11.85,1.3225446428571428
125.0,4.147,17.45,1.9475446428571423
150.0,3.664,23.88,2.665178571428571
175.0,3.311,31.08,3.46875
200.0,3.042,38.96,4.348214285714286
225.0,2.83,47.49,5.300223214285714
250.0,2.659,56.62,6.319196428571428
275.0,2.518,66.28,7.397321428571428
300.0,2.4,76.46,8.53348214285714
350.0,2.214,98.19,10.958705357142856
400.0,2.074,121.5,13.560267857142856
450.0,1.966,146.3,16.328125
500.0,1.88,172.4,19.241071428571427
550.0,1.811,199.5,22.265625
600.0,1.754,227.5,25.390625
650.0,1.706,256.5,28.62723214285714
700.0,1.666,286.1,31.93080357142857
750.0,1.632,316.4,35.31249999999999
800.0,1.603,347.4,38.77232142857142
850.0,1.578,378.8,42.27678571428571
900.0,1.556,410.7,45.83705357142856
950.0,1.538,443.0,49.44196428571428
1000.0,1.521,475.7,53.09151785714285
1500.0,1.433,816.4,91.11607142857142
2000.0,1.407,1169.0,130.46875
2500.0,1.404,1525.0,170.20089285714283
3000.0,1.409,1881.0,209.9330357142857
4000.0,1.43,2585.0,288.5044642857143
5000.0,1.454,3279.0,365.9598214285714
6000.0,1.476,3961.0,442.0758928571428
7000.0,1.498,4634.0,517.1875
8000.0,1.517,5297.0,591.1830357142857
9000.0,1.535,5952.0,664.2857142857142
10000.0,1.552,6600.0,736.6071428571428
