Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,150.6,8.301e-06,4.4870270270270274e-06
0.0015,173.6,1.137e-05,6.145945945945945e-06
0.002,193.9,1.409e-05,7.616216216216216e-06
0.0025,212.4,1.655e-05,8.945945945945945e-06
0.003,229.3,1.881e-05,1.0167567567567568e-05
0.004,259.1,2.291e-05,1.2383783783783784e-05
0.005,285.8,2.658e-05,1.4367567567567566e-05
0.006,310.3,2.993e-05,1.6178378378378376e-05
0.007,332.9,3.304e-05,1.785945945945946e-05
0.008,353.9,3.595e-05,1.9432432432432432e-05
0.009,373.6,3.87e-05,2.091891891891892e-05
0.01,392.2,4.132e-05,2.2335135135135133e-05
0.0125,429.1,4.74e-05,2.562162162162162e-05
0.015,461.1,5.301e-05,2.8654054054054053e-05
0.0175,489.5,5.827e-05,3.1497297297297295e-05
0.02,514.9,6.325e-05,3.418918918918919e-05
0.0225,537.8,6.8e-05,3.675675675675675e-05
0.025,558.4,7.256e-05,3.922162162162162e-05
0.0275,577.1,7.696e-05,4.16e-05
0.03,594.1,8.123e-05,4.390810810810811e-05
0.035,623.7,8.943e-05,4.834054054054054e-05
0.04,648.4,9.729e-05,5.2589189189189184e-05
0.045,668.9,0.0001049,5.67027027027027e-05
0.05,685.5,0.0001123,6.07027027027027e-05
0.055,698.6,0.0001195,6.459459459459459e-05
0.06,708.7,0.0001266,6.843243243243242e-05
0.065,716.2,0.0001336,7.221621621621621e-05
0.07,721.4,0.0001406,7.6e-05
0.075,724.6,0.0001475,7.972972972972974e-05
0.08,726.0,0.0001544,8.345945945945947e-05
0.085,725.9,0.0001612,8.713513513513512e-05
0.09,724.4,0.0001681,9.086486486486484e-05
0.095,721.9,0.0001751,9.464864864864863e-05
0.1,718.4,0.000182,9.837837837837838e-05
0.125,690.6,0.0002174,0.0001175135135135
0.15,654.4,0.0002546,0.0001376216216216
0.175,616.6,0.0002939,0.0001588648648648
0.2,580.5,0.0003357,0.0001814594594594
0.225,547.2,0.0003801,0.0002054594594594
0.25,517.3,0.0004271,0.0002308648648648
0.275,490.6,0.0004768,0.0002577297297297
0.3,466.7,0.000529,0.0002859459459459
0.35,426.5,0.0006413,0.0003466486486486
0.4,394.0,0.0007634,0.0004126486486486
0.45,366.9,0.000895,0.0004837837837837
0.5,344.0,0.001036,0.00056
0.55,324.3,0.001186,0.000641081081081
0.6,307.0,0.001344,0.0007264864864864
0.65,291.8,0.001511,0.0008167567567567
0.7,278.2,0.001687,0.0009118918918918
0.75,266.0,0.001871,0.0010113513513513
0.8,254.9,0.002063,0.0011151351351351
0.85,244.9,0.002263,0.0012232432432432
0.9,235.7,0.002471,0.0013356756756756
0.95,227.3,0.002687,0.0014524324324324
1.0,219.6,0.002911,0.0015735135135135
1.25,188.5,0.004144,0.00224
1.5,166.2,0.00556,0.0030054054054054
1.75,149.1,0.007151,0.0038654054054054
2.0,135.5,0.008912,0.0048172972972972
2.25,124.5,0.01084,0.0058594594594594
2.5,115.4,0.01293,0.0069891891891891
2.75,107.6,0.01517,0.0081999999999999
3.0,100.9,0.01757,0.0094972972972972
3.5,90.0,0.02283,0.0123405405405405
4.0,81.42,0.02868,0.0155027027027027
4.5,74.48,0.03511,0.0189783783783783
5.0,68.74,0.0421,0.0227567567567567
5.5,63.9,0.04965,0.0268378378378378
6.0,59.76,0.05775,0.0312162162162162
6.5,56.17,0.06638,0.035881081081081
7.0,53.02,0.07555,0.0408378378378378
7.5,50.25,0.08524,0.0460756756756756
8.0,47.77,0.09545,0.0515945945945945
8.5,45.56,0.1062,0.0574054054054054
9.0,43.56,0.1174,0.0634594594594594
9.5,41.74,0.1291,0.0697837837837837
10.0,40.08,0.1414,0.0764324324324324
