Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,279.9,4.193e-06,0.0035533898305084
0.0015,319.4,5.852e-06,0.0049593220338983
0.002,355.2,7.335e-06,0.0062161016949152
0.0025,388.2,8.681e-06,0.0073567796610169
0.003,418.7,9.92e-06,0.0084067796610169
0.004,468.7,1.217e-05,0.0103135593220338
0.005,514.4,1.421e-05,0.0120423728813559
0.006,556.2,1.608e-05,0.0136271186440677
0.007,594.9,1.781e-05,0.015093220338983
0.008,629.9,1.944e-05,0.0164745762711864
0.009,662.2,2.099e-05,0.0177881355932203
0.01,692.4,2.247e-05,0.0190423728813559
0.0125,752.8,2.592e-05,0.0219661016949152
0.015,803.7,2.914e-05,0.0246949152542372
0.0175,847.8,3.216e-05,0.0272542372881355
0.02,886.7,3.504e-05,0.0296949152542372
0.0225,921.1,3.781e-05,0.0320423728813559
0.025,951.3,4.048e-05,0.0343050847457627
0.0275,977.7,4.307e-05,0.0365
0.03,1001.0,4.56e-05,0.0386440677966101
0.035,1041.0,5.049e-05,0.0427881355932203
0.04,1075.0,5.521e-05,0.0467881355932203
0.045,1102.0,5.98e-05,0.0506779661016949
0.05,1123.0,6.43e-05,0.0544915254237288
0.055,1138.0,6.872e-05,0.0582372881355932
0.06,1148.0,7.309e-05,0.0619406779661017
0.065,1153.0,7.744e-05,0.0656271186440678
0.07,1155.0,8.177e-05,0.0692966101694915
0.075,1154.0,8.61e-05,0.0729661016949152
0.08,1150.0,9.044e-05,0.0766440677966101
0.085,1144.0,9.48e-05,0.0803389830508474
0.09,1137.0,9.918e-05,0.0840508474576271
0.095,1128.0,0.0001036,0.0877966101694915
0.1,1117.0,0.000108,0.0915254237288135
0.125,1054.0,0.0001311,0.1111016949152542
0.15,982.8,0.0001556,0.131864406779661
0.175,913.9,0.000182,0.1542372881355932
0.2,850.7,0.0002104,0.1783050847457627
0.225,796.5,0.0002408,0.2040677966101694
0.25,749.8,0.0002731,0.2314406779661017
0.275,709.1,0.0003074,0.2605084745762712
