Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,177.4,6.349e-06,6.2001953125e-06
0.0015,199.4,8.989e-06,8.7783203125e-06
0.002,219.8,1.138e-05,1.111328125e-05
0.0025,238.7,1.356e-05,1.32421875e-05
0.003,256.4,1.558e-05,1.521484375e-05
0.004,288.8,1.925e-05,1.8798828125e-05
0.005,318.1,2.254e-05,2.201171875e-05
0.006,345.1,2.556e-05,2.49609375e-05
0.007,370.2,2.835e-05,2.7685546875e-05
0.008,393.7,3.097e-05,3.0244140625e-05
0.009,415.9,3.344e-05,3.265625e-05
0.01,437.1,3.579e-05,3.4951171875e-05
0.0125,479.1,4.124e-05,4.02734375e-05
0.015,516.0,4.626e-05,4.517578125e-05
0.0175,548.9,5.096e-05,4.9765625e-05
0.02,578.7,5.539e-05,5.4091796875e-05
0.0225,605.6,5.961e-05,5.8212890625e-05
0.025,630.2,6.366e-05,6.216796875e-05
0.0275,652.6,6.755e-05,6.5966796875e-05
0.03,673.0,7.132e-05,6.96484375e-05
0.035,708.8,7.856e-05,7.671874999999999e-05
0.04,738.5,8.546e-05,8.345703125e-05
0.045,763.0,9.212e-05,8.996093750000001e-05
0.05,782.9,9.859e-05,9.6279296875e-05
0.055,798.7,0.0001049,0.00010244140625
0.06,810.9,0.0001111,0.00010849609375
0.065,820.0,0.0001172,0.000114453125
0.07,826.2,0.0001233,0.0001204101562499
0.075,830.0,0.0001294,0.0001263671875
0.08,831.6,0.0001354,0.0001322265625
0.085,831.2,0.0001414,0.0001380859375
0.09,829.3,0.0001474,0.0001439453125
0.095,825.9,0.0001534,0.0001498046874999
0.1,821.3,0.0001595,0.00015576171875
0.125,786.2,0.0001906,0.0001861328125
0.15,741.6,0.0002233,0.00021806640625
0.175,696.1,0.0002581,0.00025205078125
0.2,653.7,0.0002952,0.00028828125
0.225,618.6,0.0003345,0.00032666015625
0.25,589.2,0.0003759,0.0003670898437499
0.275,563.5,0.0004194,0.0004095703125
0.3,540.5,0.0004647,0.00045380859375
0.35,500.4,0.0005609,0.00054775390625
0.4,466.1,0.0006645,0.00064892578125
0.45,436.0,0.0007755,0.00075732421875
0.5,409.2,0.0008939,0.0008729492187499
0.55,385.4,0.00102,0.00099609375
0.6,364.5,0.001153,0.0011259765625
0.65,345.9,0.001294,0.001263671875
0.7,329.4,0.001442,0.001408203125
0.75,314.6,0.001598,0.001560546875
0.8,301.2,0.00176,0.00171875
0.85,289.0,0.00193,0.001884765625
0.9,278.0,0.002106,0.002056640625
0.95,267.8,0.002289,0.0022353515624999
1.0,258.5,0.00248,0.002421875
1.25,221.0,0.003529,0.0034462890625
1.5,194.1,0.00474,0.00462890625
1.75,173.5,0.006104,0.0059609375
2.0,157.3,0.00762,0.00744140625
2.25,144.2,0.009281,0.0090634765624999
2.5,133.3,0.01109,0.0108300781249999
2.75,124.2,0.01303,0.012724609375
3.0,116.3,0.01511,0.014755859375
3.5,103.4,0.01968,0.01921875
4.0,93.35,0.02478,0.02419921875
4.5,85.23,0.03039,0.029677734375
5.0,78.54,0.03651,0.035654296875
5.5,72.91,0.04312,0.042109375
6.0,68.1,0.05022,0.04904296875
6.5,63.93,0.0578,0.0564453125
7.0,60.29,0.06586,0.06431640625
7.5,57.08,0.07439,0.072646484375
8.0,54.22,0.08338,0.08142578125
8.5,51.67,0.09283,0.090654296875
9.0,49.36,0.1027,0.10029296875
9.5,47.27,0.1131,0.11044921875
10.0,45.36,0.1239,0.1209960937499999
12.5,37.9,0.1845,0.18017578125
15.0,32.71,0.2557,0.24970703125
17.5,28.87,0.3372,0.329296875
20.0,25.9,0.4288,0.41875
25.0,21.61,0.6411,0.62607421875
27.5,20.01,0.7614,0.7435546875
30.0,18.65,0.891,0.8701171875
35.0,16.46,1.177,1.1494140625
40.0,14.79,1.498,1.462890625
45.0,13.46,1.853,1.8095703125
50.0,12.38,2.241,2.1884765625
55.0,11.48,2.661,2.5986328125
60.0,10.72,3.112,3.0390625
65.0,10.07,3.593,3.5087890625
70.0,9.504,4.105,4.0087890625
75.0,9.011,4.645,4.536132812499999
80.0,8.576,5.214,5.091796875
85.0,8.189,5.811,5.6748046875
90.0,7.843,6.435,6.284179687499999
95.0,7.531,7.086,6.919921875
100.0,7.248,7.763,7.5810546875
125.0,6.157,11.52,11.25
150.0,5.415,15.87,15.498046874999998
175.0,4.876,20.74,20.25390625
200.0,4.468,26.11,25.498046875
225.0,4.147,31.92,31.171875
250.0,3.89,38.15,37.255859375
275.0,3.678,44.76,43.7109375
300.0,3.501,51.74,50.52734375
350.0,3.224,66.64,65.078125
400.0,3.016,82.7,80.76171875
450.0,2.856,99.75,97.412109375
500.0,2.729,117.7,114.94140625
550.0,2.626,136.4,133.203125
600.0,2.542,155.7,152.05078124999997
650.0,2.472,175.7,171.58203124999997
700.0,2.413,196.2,191.6015625
750.0,2.364,217.1,212.01171875
800.0,2.321,238.4,232.8125
850.0,2.284,260.2,254.1015625
900.0,2.253,282.2,275.5859375
950.0,2.225,304.5,297.36328125
1000.0,2.2,327.1,319.43359375
1500.0,2.06,563.4,550.1953125
2000.0,2.011,809.6,790.625
2500.0,1.994,1060.0,1035.15625
3000.0,1.991,1311.0,1280.2734375
4000.0,2.003,1812.0,1769.53125
5000.0,2.022,2309.0,2254.8828125
6000.0,2.042,2801.0,2735.3515625
7000.0,2.063,3288.0,3210.9375
8000.0,2.082,3770.0,3681.640625
9000.0,2.1,4249.0,4149.4140625
10000.0,2.116,4723.0,4612.3046875
