Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,26.96,6.484e-05,8.20759493670886e-06
0.0015,32.75,8.147e-05,1.03126582278481e-05
0.002,37.62,9.569e-05,1.21126582278481e-05
0.0025,41.9,0.0001083,1.370886075949367e-05
0.003,45.77,0.0001197,1.5151898734177214e-05
0.004,52.62,0.00014,1.772151898734177e-05
0.005,58.65,0.000158,2e-05
0.006,64.11,0.0001743,2.2063291139240505e-05
0.007,69.12,0.0001893,2.396202531645569e-05
0.008,73.79,0.0002033,2.5734177215189874e-05
0.009,78.17,0.0002164,2.739240506329113e-05
0.01,82.31,0.0002289,2.89746835443038e-05
0.0125,90.71,0.0002578,3.2632911392405056e-05
0.015,98.12,0.0002842,3.59746835443038e-05
0.0175,104.8,0.0003089,3.91012658227848e-05
0.02,110.9,0.000332,4.20253164556962e-05
0.0225,116.5,0.000354,4.481012658227848e-05
0.025,121.7,0.000375,4.746835443037975e-05
0.0275,126.5,0.0003952,5.0025316455696205e-05
0.03,131.0,0.0004146,5.248101265822785e-05
0.035,139.2,0.0004516,5.716455696202532e-05
0.04,146.3,0.0004866,6.159493670886075e-05
0.045,152.6,0.00052,6.582278481012658e-05
0.05,158.2,0.0005522,6.989873417721518e-05
0.055,163.1,0.0005833,7.383544303797469e-05
0.06,167.4,0.0006136,7.767088607594936e-05
0.065,171.1,0.0006431,8.140506329113923e-05
0.07,174.3,0.000672,8.506329113924049e-05
0.075,177.1,0.0007005,8.867088607594935e-05
0.08,179.4,0.0007285,9.221518987341773e-05
0.085,181.3,0.0007562,9.572151898734176e-05
0.09,182.9,0.0007837,9.92025316455696e-05
0.095,184.1,0.0008109,0.0001026455696202
0.1,185.0,0.000838,0.000106075949367
0.125,185.9,0.0009725,0.0001231012658227
0.15,182.4,0.001108,0.0001402531645569
0.175,176.6,0.001247,0.0001578481012658
0.2,169.6,0.001392,0.0001762025316455
0.225,162.4,0.001542,0.0001951898734177
0.25,155.4,0.0017,0.0002151898734177
0.275,148.8,0.001864,0.0002359493670886
0.3,142.8,0.002036,0.0002577215189873
0.35,132.2,0.0024,0.0003037974683544
