Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,49.55,3.39e-05,6.368589141461581e-06
0.0015,59.75,4.298e-05,8.07439413864362e-06
0.002,68.31,5.08e-05,9.543490512868682e-06
0.0025,75.85,5.773e-05,1.0845387939132068e-05
0.003,82.66,6.404e-05,1.2030809693781702e-05
0.004,94.74,7.531e-05,1.4148036821341346e-05
0.005,105.4,8.531e-05,1.6026676686079277e-05
0.006,115.0,9.438e-05,1.773060304339658e-05
0.007,123.9,0.0001028,1.931241780950592e-05
0.008,132.2,0.0001106,2.0777756904001503e-05
0.009,139.9,0.0001179,2.21491640052602e-05
0.01,147.3,0.0001249,2.346421191057674e-05
0.0125,161.7,0.000141,2.648882209280481e-05
0.015,174.1,0.0001559,2.928799549126432e-05
0.0175,185.0,0.0001698,3.189930490325005e-05
0.02,194.6,0.000183,3.437910952470411e-05
0.0225,203.2,0.0001956,3.674619575427391e-05
0.025,210.8,0.0002077,3.90193499906068e-05
0.0275,217.5,0.0002193,4.119857223370279e-05
0.03,223.5,0.0002307,4.334022167950403e-05
0.035,233.4,0.0002525,4.743565658463272e-05
0.04,241.0,0.0002736,5.139958669922976e-05
0.045,246.6,0.0002941,5.525079842194251e-05
0.05,250.5,0.0003142,5.902686455006575e-05
0.055,253.1,0.0003341,6.276535788089423e-05
0.06,254.6,0.0003537,6.644749201578057e-05
0.065,255.3,0.0003733,7.012962615066691e-05
0.07,255.2,0.0003929,7.381176028555325e-05
0.075,254.6,0.0004125,7.749389442043959e-05
0.08,253.5,0.0004322,8.119481495397332e-05
0.085,252.1,0.000452,8.491452188615442e-05
0.09,250.5,0.0004719,8.86530152169829e-05
0.095,248.8,0.0004919,9.241029494645875e-05
0.1,246.9,0.0005121,9.620514747322938e-05
0.125,237.0,0.0006154,0.0001156114972759
0.15,227.6,0.0007231,0.0001358444486191
0.175,219.3,0.000835,0.0001568664287056
0.2,212.0,0.000951,0.0001786586511365
0.225,205.4,0.001071,0.0002012023295134
0.25,199.6,0.001194,0.0002243095998497
0.275,194.2,0.001321,0.0002481683261318
0.3,189.3,0.001452,0.0002727785083599
0.35,180.4,0.001723,0.0003236896486943
0.4,172.5,0.002006,0.0003768551568664
0.45,165.4,0.002302,0.0004324628968626
0.5,159.0,0.002611,0.000490512868683
0.55,152.7,0.002932,0.0005508172083411
0.6,146.7,0.003266,0.0006135637798234
0.65,141.1,0.003613,0.0006787525831298
0.7,135.8,0.003975,0.0007467593462333
0.75,130.9,0.00435,0.0008172083411609
0.8,126.4,0.004738,0.0008900995679128
0.85,122.2,0.005141,0.0009658087544617
0.9,118.4,0.005556,0.0010437723088483
0.95,114.8,0.005985,0.0011243659590456
1.0,111.4,0.006428,0.0012075897050535
1.25,97.79,0.00883,0.0016588390005635
1.5,87.83,0.01153,0.0021660717640428
1.75,80.24,0.01452,0.0027277850835994
2.0,74.23,0.01776,0.0033364643997745
2.25,69.25,0.02125,0.0039921097125681
2.5,64.93,0.02498,0.0046928423821153
2.75,61.16,0.02895,0.0054386624084163
3.0,57.87,0.03315,0.0062276911516062
3.5,52.46,0.04224,0.007935374788653
4.0,48.07,0.05221,0.0098083787337967
4.5,44.48,0.06303,0.0118410670674431
5.0,41.44,0.07469,0.0140315611497275
5.5,38.85,0.08716,0.0163742250610557
6.0,36.6,0.1004,0.0188615442419688
6.5,34.64,0.1145,0.0215104264512492
7.0,32.9,0.1293,0.0242908134510614
7.5,31.35,0.1449,0.0272214916400526
8.0,29.95,0.1612,0.0302836746195754
8.5,28.69,0.1783,0.0334961487882772
9.0,27.55,0.196,0.0368213413488634
9.5,26.5,0.2145,0.0402968250986285
10.0,25.55,0.2338,0.0439226000375728
12.5,21.73,0.3403,0.0639301145970317
15.0,19.0,0.4636,0.0870937441292504
17.5,16.95,0.6032,0.1133195566409919
20.0,15.34,0.7585,0.1424948337403719
25.0,12.97,1.114,0.2092804809318053
27.5,12.07,1.314,0.2468532782265639
30.0,11.3,1.528,0.2870561713319556
35.0,10.06,1.998,0.3753522449746383
40.0,9.097,2.522,0.4737929738869058
45.0,8.324,3.097,0.5818147661093368
50.0,7.69,3.723,0.6994176216419311
55.0,7.16,4.397,0.8260379485252677
60.0,6.711,5.119,0.961675746759346
65.0,6.324,5.887,1.1059552883712191
70.0,5.987,6.7,1.2586887093744128
75.0,5.691,7.557,1.4196881457824535
80.0,5.429,8.457,1.5887657336088672
85.0,5.195,9.398,1.765545744880706
90.0,4.985,10.38,1.950028179597971
95.0,4.795,11.4,2.14164944580124
100.0,4.623,12.47,2.342663911328198
125.0,3.954,18.34,3.445425511929362
150.0,3.495,25.08,4.711628780762728
175.0,3.16,32.62,6.128123238775125
200.0,2.905,40.89,7.681758406913394
225.0,2.704,49.82,9.359383806124365
250.0,2.542,59.36,11.15160623708435
275.0,2.409,69.47,13.050911140334398
300.0,2.297,80.1,15.047905316550816
350.0,2.122,102.8,19.31241780950592
400.0,1.99,127.2,23.896299079466463
450.0,1.888,153.0,28.743189930490324
500.0,1.808,180.1,33.83430396393011
550.0,1.743,208.2,39.11328198384369
600.0,1.689,237.4,44.59891038887845
650.0,1.645,267.4,50.23482998309223
700.0,1.608,298.1,56.002254367837686
750.0,1.576,329.6,61.91996994176216
800.0,1.549,361.6,67.93161750892354
850.0,1.526,394.1,74.0371970693218
900.0,1.506,427.1,80.23670862295698
950.0,1.489,460.4,86.49257937253428
1000.0,1.474,494.2,92.84238211534849
1500.0,1.395,844.9,158.72628217170768
2000.0,1.374,1207.0,226.7518316738681
2500.0,1.373,1571.0,295.13432275032875
3000.0,1.38,1934.0,363.3289498403156
4000.0,1.402,2653.0,498.4031561149727
5000.0,1.427,3360.0,631.2229945519443
6000.0,1.45,4055.0,761.7884651512304
7000.0,1.471,4740.0,890.4752958857787
8000.0,1.491,5415.0,1017.2834867555888
9000.0,1.509,6081.0,1142.400901747135
10000.0,1.525,6741.0,1266.3911328198385
