Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,105.6,1.337e-05,5.995515695067265e-06
0.0015,123.3,1.771e-05,7.94170403587444e-06
0.002,138.5,2.153e-05,9.654708520179372e-06
0.0025,152.1,2.497e-05,1.119730941704036e-05
0.003,164.5,2.813e-05,1.2614349775784752e-05
0.004,186.8,3.382e-05,1.516591928251121e-05
0.005,206.7,3.891e-05,1.7448430493273543e-05
0.006,224.9,4.354e-05,1.952466367713005e-05
0.007,241.6,4.783e-05,2.1448430493273545e-05
0.008,257.3,5.184e-05,2.3246636771300447e-05
0.009,272.1,5.561e-05,2.4937219730941703e-05
0.01,286.1,5.92e-05,2.654708520179372e-05
0.0125,313.7,6.752e-05,3.02780269058296e-05
0.015,337.8,7.52e-05,3.3721973094170405e-05
0.0175,359.3,8.237e-05,3.69372197309417e-05
0.02,378.7,8.914e-05,3.997309417040359e-05
0.0225,396.2,9.559e-05,4.2865470852017935e-05
0.025,412.1,0.0001018,4.565022421524664e-05
0.0275,426.6,0.0001077,4.829596412556054e-05
0.03,439.9,0.0001135,5.089686098654708e-05
0.035,463.1,0.0001246,5.587443946188341e-05
0.04,482.5,0.0001351,6.058295964125561e-05
0.045,498.6,0.0001453,6.515695067264575e-05
0.05,512.0,0.0001552,6.959641255605382e-05
0.055,522.9,0.0001649,7.394618834080717e-05
0.06,531.6,0.0001744,7.820627802690584e-05
0.065,538.6,0.0001837,8.237668161434977e-05
0.07,543.8,0.0001929,8.650224215246637e-05
0.075,547.7,0.0002021,9.062780269058296e-05
0.08,550.3,0.0002112,9.47085201793722e-05
0.085,551.8,0.0002203,9.878923766816144e-05
0.09,552.3,0.0002293,0.0001028251121076
0.095,552.1,0.0002384,0.0001069058295964
0.1,551.1,0.0002475,0.0001109865470852
0.125,538.5,0.0002933,0.0001315246636771
0.15,518.8,0.0003405,0.0001526905829596
0.175,496.7,0.0003898,0.000174798206278
0.2,474.5,0.0004413,0.0001978923766816
0.225,451.7,0.0004953,0.0002221076233183
0.25,429.7,0.000552,0.0002475336322869
0.275,409.2,0.0006116,0.000274260089686
0.3,390.5,0.0006742,0.000302331838565
0.35,358.3,0.000808,0.000362331838565
0.4,331.9,0.0009532,0.0004274439461883
0.45,310.1,0.001109,0.0004973094170403
0.5,291.9,0.001275,0.0005717488789237
0.55,276.4,0.001452,0.0006511210762331
0.6,262.6,0.001637,0.0007340807174887
0.65,250.3,0.001832,0.0008215246636771
0.7,239.3,0.002037,0.0009134529147982
0.75,229.4,0.00225,0.0010089686098654
0.8,220.4,0.002473,0.0011089686098654
0.85,212.2,0.002704,0.0012125560538116
0.9,204.8,0.002944,0.0013201793721973
0.95,197.9,0.003192,0.0014313901345291
1.0,191.5,0.003449,0.0015466367713004
1.25,165.7,0.004857,0.0021780269058295
1.5,146.8,0.006464,0.0028986547085201
1.75,132.1,0.008262,0.003704932735426
2.0,120.5,0.01025,0.0045964125560538
2.25,111.0,0.01241,0.0055650224215246
2.5,103.0,0.01475,0.0066143497757847
2.75,96.26,0.01726,0.0077399103139013
3.0,90.42,0.01994,0.0089417040358744
3.5,80.84,0.0258,0.0115695067264574
4.0,73.29,0.03231,0.0144887892376681
4.5,67.16,0.03944,0.0176860986547085
5.0,62.08,0.04719,0.0211614349775784
5.5,57.78,0.05555,0.0249103139013452
6.0,54.1,0.0645,0.0289237668161435
6.5,50.91,0.07403,0.0331973094170403
7.0,48.1,0.08414,0.0377309417040358
7.5,45.62,0.09482,0.0425201793721973
8.0,43.41,0.1061,0.0475784753363228
8.5,41.42,0.1179,0.0528699551569506
9.0,39.63,0.1302,0.0583856502242152
9.5,38.0,0.1431,0.0641704035874439
10.0,36.51,0.1565,0.0701793721973094
12.5,30.66,0.2316,0.1038565022421524
15.0,26.56,0.3194,0.1432286995515695
17.5,23.51,0.4197,0.1882062780269058
20.0,21.14,0.532,0.2385650224215247
25.0,17.71,0.7916,0.3549775784753363
27.5,16.42,0.9384,0.4208071748878924
30.0,15.32,1.096,0.4914798206278027
35.0,13.56,1.444,0.6475336322869955
40.0,12.2,1.833,0.8219730941704035
45.0,11.12,2.263,1.014798206278027
50.0,10.24,2.732,1.2251121076233185
55.0,9.505,3.24,1.4529147982062782
60.0,8.885,3.784,1.6968609865470852
65.0,8.354,4.365,1.9573991031390137
70.0,7.893,4.981,2.233632286995516
75.0,7.489,5.631,2.5251121076233187
80.0,7.132,6.316,2.832286995515695
85.0,6.815,7.033,3.1538116591928254
90.0,6.53,7.783,3.490134529147982
95.0,6.273,8.564,3.840358744394619
100.0,6.041,9.377,4.204932735426009
125.0,5.142,13.88,6.224215246636772
150.0,4.529,19.08,8.556053811659192
175.0,4.083,24.9,11.16591928251121
200.0,3.745,31.31,14.040358744394618
225.0,3.48,38.24,17.14798206278027
250.0,3.266,45.66,20.47533632286996
275.0,3.09,53.54,24.00896860986547
300.0,2.944,61.83,27.72645739910314
350.0,2.713,79.56,35.677130044843054
400.0,2.541,98.63,44.22869955156951
450.0,2.407,118.9,53.318385650224215
500.0,2.302,140.1,62.82511210762332
550.0,2.217,162.3,72.78026905829597
600.0,2.147,185.2,83.04932735426009
650.0,2.089,208.8,93.6322869955157
700.0,2.04,233.0,104.48430493273544
750.0,1.998,257.8,115.60538116591928
800.0,1.962,283.1,126.95067264573991
850.0,1.93,308.8,138.47533632286996
900.0,1.903,334.9,150.17937219730942
950.0,1.879,361.3,162.01793721973095
1000.0,1.859,388.1,174.0358744394619
1500.0,1.745,667.3,299.2376681614349
2000.0,1.708,957.6,429.4170403587444
2500.0,1.699,1251.0,560.9865470852018
3000.0,1.701,1546.0,693.2735426008969
4000.0,1.718,2131.0,955.6053811659192
5000.0,1.74,2709.0,1214.798206278027
6000.0,1.762,3281.0,1471.3004484304934
7000.0,1.783,3845.0,1724.215246636771
8000.0,1.803,4402.0,1973.9910313901344
9000.0,1.821,4954.0,2221.52466367713
10000.0,1.838,5501.0,2466.816143497758
