Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,15.65,0.0001115,5.771221532091097e-06
0.0015,18.99,0.0001401,7.251552795031055e-06
0.002,21.79,0.0001646,8.51966873706004e-06
0.0025,24.25,0.0001864,9.648033126293997e-06
0.003,26.48,0.0002061,1.0667701863354036e-05
0.004,30.41,0.0002412,1.2484472049689442e-05
0.005,33.88,0.0002723,1.4094202898550725e-05
0.006,37.01,0.0003005,1.555383022774327e-05
0.007,39.88,0.0003266,1.6904761904761906e-05
0.008,42.56,0.0003508,1.815734989648033e-05
0.009,45.07,0.0003736,1.933747412008281e-05
0.01,47.45,0.0003953,2.046066252587992e-05
0.0125,52.26,0.0004454,2.305383022774327e-05
0.015,56.5,0.0004913,2.54296066252588e-05
0.0175,60.33,0.0005341,2.7644927536231884e-05
0.02,63.83,0.0005744,2.973084886128364e-05
0.0225,67.05,0.0006126,3.170807453416149e-05
0.025,70.03,0.000649,3.359213250517598e-05
0.0275,72.8,0.000684,3.5403726708074535e-05
0.03,75.39,0.0007178,3.715320910973085e-05
0.035,80.1,0.0007821,4.048136645962733e-05
0.04,84.26,0.0008429,4.362836438923396e-05
0.045,87.96,0.0009009,4.66304347826087e-05
0.05,91.25,0.0009567,4.951863354037267e-05
0.055,94.19,0.001011,5.232919254658385e-05
0.06,96.8,0.001063,5.502070393374741e-05
0.065,99.12,0.001114,5.766045548654244e-05
0.07,101.2,0.001164,6.024844720496895e-05
0.075,103.0,0.001213,6.278467908902691e-05
0.08,104.6,0.001261,6.526915113871636e-05
0.085,106.0,0.001309,6.77536231884058e-05
0.09,107.2,0.001355,7.013457556935818e-05
0.095,108.3,0.001402,7.256728778467909e-05
0.1,109.2,0.001448,7.494824016563147e-05
0.125,111.8,0.001674,8.664596273291925e-05
0.15,112.2,0.001897,9.818840579710144e-05
0.175,111.4,0.00212,0.0001097308488612
0.2,109.8,0.002346,0.0001214285714285
0.225,107.8,0.002576,0.0001333333333333
0.25,105.6,0.00281,0.0001454451345755
0.275,103.4,0.003049,0.0001578157349896
0.3,101.1,0.003294,0.0001704968944099
0.35,96.46,0.0038,0.0001966873706004
0.4,91.92,0.004331,0.0002241718426501
0.45,87.81,0.004888,0.0002530020703933
0.5,84.15,0.00547,0.0002831262939958
0.55,80.93,0.006076,0.0003144927536231
0.6,78.09,0.006705,0.0003470496894409
0.65,75.55,0.007356,0.0003807453416149
0.7,73.26,0.008028,0.0004155279503105
0.75,71.18,0.008721,0.0004513975155279
0.8,69.28,0.009433,0.0004882505175983
0.85,67.53,0.01016,0.0005258799171842
0.9,65.9,0.01091,0.0005646997929606
0.95,64.39,0.01168,0.0006045548654244
1.0,62.97,0.01247,0.0006454451345755
1.25,57.03,0.01665,0.000861801242236
1.5,52.43,0.02122,0.0010983436853002
1.75,48.72,0.02618,0.0013550724637681
2.0,45.62,0.03148,0.0016293995859213
2.25,42.98,0.03713,0.0019218426501035
2.5,40.7,0.04311,0.0022313664596273
2.75,38.71,0.04941,0.002557453416149
3.0,36.94,0.05603,0.0029001035196687
3.5,33.94,0.07016,0.003631469979296
4.0,31.48,0.08547,0.0044239130434782
4.5,29.42,0.1019,0.0052743271221532
5.0,27.66,0.1195,0.0061853002070393
5.5,26.14,0.1381,0.0071480331262939
6.0,24.8,0.1577,0.0081625258799171
6.5,23.62,0.1784,0.0092339544513457
7.0,22.56,0.2,0.010351966873706
7.5,21.61,0.2227,0.0115269151138716
8.0,20.75,0.2463,0.0127484472049689
8.5,19.97,0.2709,0.0140217391304347
9.0,19.25,0.2964,0.0153416149068322
9.5,18.6,0.3228,0.0167080745341614
10.0,17.99,0.3501,0.0181211180124223
12.5,15.54,0.5002,0.0258902691511387
15.0,13.75,0.6716,0.0347619047619047
17.5,12.38,0.8636,0.0446997929606625
20.0,11.29,1.075,0.0556418219461697
25.0,9.665,1.556,0.0805383022774327
27.5,9.038,1.823,0.0943581780538302
30.0,8.499,2.109,0.1091614906832298
35.0,7.618,2.731,0.1413561076604554
40.0,6.926,3.421,0.1770703933747411
45.0,6.368,4.174,0.2160455486542443
50.0,5.906,4.99,0.2582815734989648
55.0,5.518,5.867,0.3036749482401656
60.0,5.187,6.802,0.3520703933747411
65.0,4.901,7.794,0.4034161490683229
70.0,4.651,8.842,0.4576604554865424
75.0,4.43,9.944,0.5146997929606626
80.0,4.234,11.1,0.5745341614906831
85.0,4.059,12.31,0.6371635610766045
90.0,3.901,13.56,0.7018633540372671
95.0,3.758,14.87,0.7696687370600414
100.0,3.628,16.22,0.8395445134575569
125.0,3.121,23.68,1.225672877846791
150.0,2.77,32.21,1.667184265010352
175.0,2.513,41.7,2.158385093167702
200.0,2.316,52.08,2.6956521739130435
225.0,2.16,63.27,3.2748447204968945
250.0,2.034,75.21,3.8928571428571423
275.0,1.931,87.83,4.546066252587991
300.0,1.844,101.1,5.232919254658385
350.0,1.707,129.3,6.692546583850932
400.0,1.604,159.6,8.26086956521739
450.0,1.524,191.6,9.917184265010352
500.0,1.461,225.1,11.651138716356106
550.0,1.41,260.0,13.457556935817806
600.0,1.368,296.0,15.320910973084883
650.0,1.334,333.0,17.236024844720497
700.0,1.305,370.9,19.197722567287784
750.0,1.28,409.6,21.200828157349896
800.0,1.259,449.0,23.24016563146997
850.0,1.241,489.0,25.31055900621118
900.0,1.226,529.6,27.4120082815735
950.0,1.213,570.6,29.534161490683232
1000.0,1.201,612.0,31.67701863354037
1500.0,1.143,1041.0,53.88198757763975
2000.0,1.131,1482.0,76.70807453416148
2500.0,1.134,1923.0,99.53416149068325
3000.0,1.143,2363.0,122.30848861283644
4000.0,1.167,3229.0,167.13250517598345
5000.0,1.192,4077.0,211.0248447204969
6000.0,1.215,4908.0,254.03726708074527
7000.0,1.236,5724.0,296.27329192546586
8000.0,1.255,6527.0,337.83643892339546
9000.0,1.272,7318.0,378.7784679089027
10000.0,1.288,8099.0,419.2028985507246
