Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,167.7,8.186e-06,3.807441860465116e-06
0.0015,196.3,1.092e-05,5.079069767441861e-06
0.002,221.4,1.331e-05,6.190697674418605e-06
0.0025,244.3,1.546e-05,7.190697674418606e-06
0.003,265.2,1.742e-05,8.102325581395348e-06
0.004,295.8,2.098e-05,9.75813953488372e-06
0.005,324.1,2.421e-05,1.1260465116279071e-05
0.006,350.0,2.718e-05,1.264186046511628e-05
0.007,373.8,2.994e-05,1.392558139534884e-05
0.008,394.6,3.254e-05,1.5134883720930233e-05
0.009,413.2,3.502e-05,1.6288372093023257e-05
0.01,430.3,3.739e-05,1.7390697674418605e-05
0.0125,467.8,4.295e-05,1.997674418604652e-05
0.015,499.1,4.812e-05,2.238139534883721e-05
0.0175,526.4,5.299e-05,2.4646511627906976e-05
0.02,551.0,5.763e-05,2.68046511627907e-05
0.0225,573.1,6.208e-05,2.8874418604651164e-05
0.025,592.7,6.637e-05,3.0869767441860466e-05
0.0275,610.1,7.052e-05,3.28e-05
0.03,625.9,7.457e-05,3.468372093023256e-05
0.035,655.1,8.237e-05,3.8311627906976745e-05
0.04,682.3,8.985e-05,4.179069767441861e-05
0.045,706.7,9.705e-05,4.513953488372093e-05
0.05,727.4,0.000104,4.8372093023255816e-05
0.055,744.1,0.0001108,5.153488372093023e-05
0.06,757.4,0.0001175,5.465116279069767e-05
0.065,767.7,0.000124,5.767441860465117e-05
0.07,775.5,0.0001305,6.0697674418604654e-05
0.075,781.0,0.0001369,6.367441860465116e-05
0.08,784.5,0.0001433,6.665116279069767e-05
0.085,786.1,0.0001497,6.962790697674419e-05
0.09,786.0,0.000156,7.255813953488372e-05
0.095,784.6,0.0001624,7.553488372093023e-05
0.1,781.9,0.0001688,7.851162790697675e-05
0.125,754.8,0.0002013,9.36279069767442e-05
0.15,715.3,0.0002353,0.0001094418604651
0.175,672.1,0.0002713,0.0001261860465116
0.2,629.7,0.0003097,0.0001440465116279
0.225,590.8,0.0003507,0.0001631162790697
0.25,556.1,0.0003944,0.0001834418604651
0.275,525.4,0.0004406,0.0002049302325581
0.3,498.2,0.0004895,0.0002276744186046
0.35,454.3,0.0005948,0.0002766511627906
0.4,419.6,0.0007095,0.00033
0.45,390.6,0.000833,0.0003874418604651
0.5,365.4,0.0009655,0.0004490697674418
0.55,343.3,0.001107,0.0005148837209302
0.6,324.0,0.001257,0.0005846511627906
0.65,307.3,0.001415,0.0006581395348837
0.7,292.5,0.001582,0.0007358139534883
0.75,279.3,0.001757,0.0008172093023255
0.8,267.5,0.00194,0.0009023255813953
0.85,256.8,0.002131,0.0009911627906976
0.9,247.0,0.002329,0.0010832558139534
0.95,238.0,0.002536,0.0011795348837209
1.0,229.7,0.00275,0.0012790697674418
1.25,196.8,0.00393,0.0018279069767441
1.5,173.1,0.005288,0.0024595348837209
1.75,155.1,0.006816,0.0031702325581395
2.0,140.9,0.008509,0.0039576744186046
2.25,129.3,0.01036,0.0048186046511627
