Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,232.6,4.882e-06,0.0271222222222222
0.0015,263.3,6.887e-06,0.0382611111111111
0.002,291.7,8.691e-06,0.0482833333333333
0.0025,318.0,1.033e-05,0.0573888888888888
0.003,342.6,1.184e-05,0.0657777777777777
0.004,387.6,1.458e-05,0.0809999999999999
0.005,428.2,1.704e-05,0.0946666666666666
0.006,465.4,1.927e-05,0.1070555555555555
0.007,500.0,2.135e-05,0.1186111111111111
0.008,532.4,2.328e-05,0.1293333333333333
0.009,563.0,2.511e-05,0.1394999999999999
0.01,592.1,2.684e-05,0.1491111111111111
0.0125,649.2,3.086e-05,0.1714444444444444
0.015,698.8,3.457e-05,0.1920555555555555
0.0175,742.7,3.804e-05,0.2113333333333333
0.02,782.1,4.132e-05,0.2295555555555555
0.0225,817.5,4.444e-05,0.2468888888888888
0.025,849.5,4.744e-05,0.2635555555555555
0.0275,878.4,5.033e-05,0.2796111111111111
0.03,904.7,5.314e-05,0.2952222222222222
0.035,950.0,5.853e-05,0.3251666666666666
0.04,987.2,6.369e-05,0.3538333333333333
0.045,1017.0,6.867e-05,0.3815
0.05,1041.0,7.353e-05,0.4085
0.055,1060.0,7.828e-05,0.4348888888888889
0.06,1074.0,8.297e-05,0.4609444444444444
0.065,1085.0,8.76e-05,0.4866666666666666
0.07,1091.0,9.219e-05,0.5121666666666667
0.075,1095.0,9.677e-05,0.537611111111111
0.08,1096.0,0.0001013,0.5627777777777777
0.085,1095.0,0.0001059,0.5883333333333333
0.09,1092.0,0.0001105,0.6138888888888888
0.095,1087.0,0.0001151,0.6394444444444445
0.1,1080.0,0.0001197,0.6649999999999999
0.125,1033.0,0.0001433,0.796111111111111
0.15,973.9,0.0001682,0.9344444444444444
0.175,912.1,0.0001947,1.0816666666666666
0.2,852.8,0.0002231,1.2394444444444443
0.225,798.2,0.0002534,1.4077777777777776
0.25,748.9,0.0002857,1.587222222222222
0.275,705.1,0.0003201,1.778333333333333
0.3,666.3,0.0003566,1.981111111111111
0.35,600.9,0.0004358,2.421111111111111
0.4,548.1,0.000523,2.9055555555555554
0.45,504.8,0.0006181,3.4338888888888888
0.5,468.7,0.000721,4.005555555555555
0.55,438.0,0.0008315,4.6194444444444445
0.6,411.6,0.0009493,5.273888888888889
0.65,388.5,0.001074,5.966666666666667
0.7,368.2,0.001207,6.705555555555555
0.75,350.2,0.001346,7.477777777777777
0.8,334.1,0.001492,8.288888888888888
0.85,319.5,0.001645,9.138888888888888
0.9,306.4,0.001805,10.027777777777777
0.95,294.4,0.001972,10.955555555555554
1.0,283.4,0.002145,11.916666666666668
1.25,239.7,0.003108,17.266666666666666
1.5,208.7,0.004229,23.494444444444444
1.75,185.3,0.005502,30.566666666666663
2.0,167.1,0.006925,38.47222222222222
2.25,152.4,0.008494,47.18888888888888
2.5,140.3,0.01021,56.72222222222222
2.75,130.1,0.01206,67.0
3.0,121.4,0.01405,78.05555555555556
3.5,107.3,0.01844,102.44444444444444
4.0,96.42,0.02336,129.77777777777777
4.5,87.67,0.02881,160.05555555555554
5.0,80.5,0.03476,193.1111111111111
5.5,74.5,0.04123,229.0555555555556
6.0,69.39,0.04818,267.66666666666663
6.5,65.0,0.05563,309.05555555555554
7.0,61.17,0.06357,353.16666666666663
7.5,57.8,0.07198,399.88888888888886
8.0,54.82,0.08087,449.2777777777777
8.5,52.15,0.09022,501.2222222222222
9.0,49.75,0.1,555.5555555555555
9.5,47.58,0.1103,612.7777777777777
10.0,45.61,0.1211,672.7777777777777
12.5,37.93,0.1815,1008.3333333333331
15.0,32.61,0.2528,1404.4444444444446
17.5,28.7,0.3347,1859.4444444444443
20.0,25.69,0.4269,2371.6666666666665
25.0,21.36,0.6413,3562.7777777777774
27.5,19.75,0.7632,4240.0
30.0,18.38,0.8945,4969.444444444444
35.0,16.2,1.185,6583.333333333333
40.0,14.53,1.511,8394.444444444443
45.0,13.2,1.873,10405.555555555557
50.0,12.12,2.269,12605.555555555557
55.0,11.23,2.697,14983.333333333332
60.0,10.48,3.159,17549.999999999996
65.0,9.836,3.651,20283.33333333333
70.0,9.279,4.175,23194.44444444444
75.0,8.792,4.729,26272.222222222223
80.0,8.362,5.312,29511.11111111111
