Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,973.0,1.091e-06,1.21357063403782e-05
0.0015,1087.0,1.574e-06,1.7508342602892103e-05
0.002,1197.0,2.012e-06,2.238042269187987e-05
0.0025,1300.0,2.413e-06,2.684093437152392e-05
0.003,1398.0,2.783e-06,3.095661846496107e-05
0.004,1578.0,3.455e-06,3.8431590656284765e-05
0.005,1741.0,4.058e-06,4.513904338153504e-05
0.006,1890.0,4.609e-06,5.126807563959956e-05
0.007,2030.0,5.119e-06,5.694104560622914e-05
0.008,2161.0,5.597e-06,6.225806451612904e-05
0.009,2284.0,6.047e-06,6.726362625139044e-05
0.01,2402.0,6.473e-06,7.200222469410456e-05
0.0125,2621.0,7.467e-06,8.305895439377086e-05
0.015,2807.0,8.388e-06,9.330367074527251e-05
0.0175,2968.0,9.254e-06,0.000102936596218
0.02,3107.0,1.008e-05,0.0001121245828698
0.0225,3229.0,1.087e-05,0.0001209121245828
0.025,3335.0,1.163e-05,0.0001293659621802
0.0275,3427.0,1.237e-05,0.000137597330367
0.03,3506.0,1.309e-05,0.0001456062291434
0.035,3633.0,1.449e-05,0.0001611790878754
0.04,3723.0,1.584e-05,0.0001761957730812
0.045,3783.0,1.718e-05,0.0001911012235817
0.05,3818.0,1.849e-05,0.0002056729699666
0.055,3833.0,1.98e-05,0.0002202447163515
0.06,3831.0,2.11e-05,0.0002347052280311
0.065,3816.0,2.241e-05,0.000249276974416
0.07,3789.0,2.372e-05,0.0002638487208008
0.075,3753.0,2.505e-05,0.0002786429365962
0.08,3710.0,2.639e-05,0.0002935483870967
0.085,3661.0,2.775e-05,0.0003086763070077
0.09,3608.0,2.912e-05,0.000323915461624
0.095,3552.0,3.052e-05,0.0003394883203559
0.1,3493.0,3.194e-05,0.0003552836484983
0.125,3188.0,3.943e-05,0.0004385984427141
0.15,2895.0,4.766e-05,0.0005301446051167
0.175,2633.0,5.672e-05,0.0006309232480533
0.2,2406.0,6.666e-05,0.00074149054505
0.225,2207.0,7.752e-05,0.0008622914349276
0.25,2034.0,8.933e-05,0.000993659621802
0.275,1884.0,0.0001021,0.0011357063403781
0.3,1755.0,0.0001159,0.0012892102335928
0.35,1546.0,0.0001463,0.001627363737486
0.4,1385.0,0.0001805,0.0020077864293659
0.45,1260.0,0.0002184,0.0024293659621802
0.5,1160.0,0.0002598,0.0028898776418242
0.55,1078.0,0.0003046,0.0033882091212458
0.6,1009.0,0.0003526,0.0039221357063403
0.65,948.1,0.0004037,0.0044905450500556
0.7,895.2,0.000458,0.0050945494994438
0.75,848.5,0.0005154,0.0057330367074527
0.8,806.8,0.0005759,0.0064060066740823
0.85,769.5,0.0006393,0.007111234705228
0.9,735.7,0.0007058,0.0078509454949944
0.95,705.1,0.0007753,0.0086240266963292
1.0,677.1,0.0008476,0.0094282536151279
1.25,567.3,0.001253,0.0139377085650723
1.5,490.2,0.001728,0.0192213570634037
1.75,432.9,0.002272,0.0252725250278086
2.0,388.5,0.002883,0.0320689655172413
2.25,353.0,0.003559,0.0395884315906562
2.5,323.8,0.004299,0.0478197997775305
2.75,299.5,0.005102,0.0567519466073414
3.0,278.8,0.005968,0.0663848720800889
3.5,245.5,0.007884,0.0876974416017797
4.0,219.7,0.01004,0.1116796440489432
4.5,199.2,0.01243,0.1382647385984427
5.0,182.5,0.01506,0.1675194660734149
5.5,168.5,0.01791,0.1992213570634037
6.0,156.7,0.02099,0.2334816462736374
6.5,146.5,0.02429,0.2701890989988876
7.0,137.7,0.02782,0.3094549499443826
7.5,129.9,0.03156,0.3510567296996663
8.0,123.0,0.03551,0.3949944382647386
8.5,116.9,0.03969,0.4414905450500557
9.0,111.4,0.04407,0.4902113459399332
9.5,106.5,0.04866,0.5412680756395997
10.0,101.9,0.05346,0.5946607341490545
12.5,84.44,0.08054,0.8958843159065629
15.0,72.39,0.1126,1.2525027808676308
17.5,63.56,0.1496,1.664071190211346
20.0,56.79,0.1913,2.127919911012236
25.0,47.07,0.2884,3.208008898776418
27.5,43.46,0.3438,3.824249165739711
30.0,40.41,0.4035,4.488320355951057
35.0,35.54,0.5357,5.958843159065628
40.0,31.82,0.6847,7.616240266963293
45.0,28.87,0.8499,9.453837597330368
50.0,26.49,1.031,11.46829810901001
55.0,24.51,1.227,13.648498331479423
60.0,22.85,1.439,16.006674082313683
65.0,21.43,1.665,18.52057842046719
70.0,20.2,1.905,21.190211345939936
75.0,19.13,2.16,24.02669632925473
80.0,18.18,2.428,27.007786429365964
85.0,17.34,2.71,30.14460511679644
90.0,16.59,3.005,33.42602892102336
95.0,15.91,3.312,36.84093437152392
100.0,15.3,3.633,40.41156840934372
125.0,12.95,5.417,60.25583982202448
150.0,11.35,7.485,83.25917686318132
175.0,10.2,9.813,109.15461624026698
200.0,9.328,12.38,137.70856507230258
225.0,8.645,15.17,168.74304783092325
250.0,8.096,18.16,202.00222469410457
275.0,7.645,21.34,237.37486095661848
300.0,7.269,24.69,274.63848720800894
350.0,6.679,31.88,354.6162402669633
400.0,6.238,39.64,440.9343715239155
450.0,5.897,47.89,532.7030033370412
500.0,5.627,56.58,629.3659621802002
550.0,5.409,65.65,730.2558398220245
600.0,5.23,75.05,834.8164627363738
650.0,5.081,84.76,942.825361512792
700.0,4.955,94.72,1053.6151279199112
750.0,4.848,104.9,1166.8520578420469
800.0,4.757,115.3,1282.5361512791992
850.0,4.678,125.9,1400.4449388209125
900.0,4.609,136.7,1520.5784204671857
950.0,4.549,147.6,1641.8242491657395
1000.0,4.497,158.7,1765.2947719688543
1500.0,4.213,274.3,3051.1679644048945
2000.0,4.125,394.5,4388.209121245829
2500.0,4.107,516.0,5739.710789766407
3000.0,4.118,637.7,7093.437152391547
4000.0,4.172,879.1,9778.64293659622
5000.0,4.24,1117.0,12424.91657397108
6000.0,4.307,1351.0,15027.80867630701
7000.0,4.372,1581.0,17586.206896551725
8000.0,4.431,1808.0,20111.23470522803
9000.0,4.487,2033.0,22614.01557285873
10000.0,4.539,2254.0,25072.302558398223
