Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,43.04,3.706e-05,4.706629413258827e-06
0.0015,51.29,4.758e-05,6.042672085344172e-06
0.002,58.2,5.672e-05,7.203454406908814e-06
0.0025,64.29,6.489e-05,8.241046482092965e-06
0.003,69.79,7.234e-05,9.187198374396749e-06
0.004,79.57,8.573e-05,1.0887731775463551e-05
0.005,88.21,9.765e-05,1.2401574803149607e-05
0.006,96.04,0.0001085,1.3779527559055118e-05
0.007,103.3,0.0001185,1.5049530099060196e-05
0.008,110.0,0.0001279,1.6243332486664974e-05
0.009,116.3,0.0001368,1.7373634747269494e-05
0.01,122.3,0.0001451,1.842773685547372e-05
0.0125,134.5,0.0001646,2.090424180848361e-05
0.015,145.3,0.0001825,2.317754635509271e-05
0.0175,155.0,0.0001991,2.5285750571501143e-05
0.02,164.0,0.0002148,2.727965455930912e-05
0.0225,172.2,0.0002297,2.9171958343916688e-05
0.025,179.9,0.0002439,3.09753619507239e-05
0.0275,187.0,0.0002575,3.2702565405130816e-05
0.03,193.7,0.0002706,3.4366268732537467e-05
0.035,206.0,0.0002956,3.754127508255016e-05
0.04,216.9,0.0003193,4.055118110236221e-05
0.045,226.6,0.0003418,4.340868681737364e-05
0.05,235.3,0.0003635,4.616459232918466e-05
0.055,243.1,0.0003844,4.881889763779528e-05
0.06,250.2,0.0004046,5.138430276860554e-05
0.065,256.5,0.0004244,5.38989077978156e-05
0.07,262.1,0.0004436,5.633731267462536e-05
0.075,267.1,0.0004625,5.873761747523496e-05
0.08,271.5,0.0004811,6.10998221996444e-05
0.085,275.4,0.0004994,6.34239268478537e-05
0.09,278.8,0.0005174,6.570993141986285e-05
0.095,281.7,0.0005353,6.798323596647192e-05
0.1,284.2,0.0005529,7.021844043688088e-05
0.125,291.5,0.0006396,8.122936245872493e-05
0.15,292.0,0.0007251,9.208788417576836e-05
0.175,288.0,0.0008113,0.0001030353060706
0.2,281.3,0.000899,0.0001141732283464
0.225,273.2,0.0009892,0.0001256286512573
0.25,264.3,0.001082,0.0001374142748285
0.275,255.2,0.001178,0.0001496062992125
0.3,246.3,0.001278,0.0001623063246126
