Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,174.6,7.428e-06,5.230985915492958e-06
0.0015,202.2,1.007e-05,7.0915492957746485e-06
0.002,226.4,1.24e-05,8.732394366197183e-06
0.0025,248.2,1.451e-05,1.021830985915493e-05
0.003,268.4,1.644e-05,1.1577464788732392e-05
0.004,300.1,1.996e-05,1.4056338028169014e-05
0.005,329.1,2.314e-05,1.6295774647887325e-05
0.006,355.6,2.606e-05,1.835211267605634e-05
0.007,380.0,2.878e-05,2.0267605633802817e-05
0.008,401.9,3.133e-05,2.2063380281690142e-05
0.009,421.8,3.376e-05,2.3774647887323943e-05
0.01,440.4,3.608e-05,2.540845070422536e-05
0.0125,479.0,4.151e-05,2.9232394366197187e-05
0.015,511.7,4.656e-05,3.27887323943662e-05
0.0175,540.2,5.131e-05,3.613380281690141e-05
0.02,565.8,5.583e-05,3.9316901408450704e-05
0.0225,588.7,6.016e-05,4.236619718309859e-05
0.025,609.1,6.433e-05,4.530281690140846e-05
0.0275,627.3,6.838e-05,4.81549295774648e-05
0.03,643.7,7.231e-05,5.092253521126761e-05
0.035,673.2,7.99e-05,5.626760563380282e-05
0.04,699.1,8.718e-05,6.139436619718311e-05
0.045,721.5,9.422e-05,6.635211267605634e-05
0.05,739.9,0.0001011,7.119718309859156e-05
0.055,754.5,0.0001078,7.591549295774649e-05
0.06,765.8,0.0001143,8.049295774647887e-05
0.065,774.3,0.0001208,8.507042253521127e-05
0.07,780.3,0.0001272,8.95774647887324e-05
0.075,784.2,0.0001336,9.408450704225352e-05
0.08,786.1,0.00014,9.859154929577464e-05
0.085,786.4,0.0001464,0.0001030985915492
0.09,785.2,0.0001527,0.0001075352112676
0.095,782.8,0.0001591,0.0001120422535211
0.1,779.3,0.0001655,0.0001165492957746
0.125,750.3,0.0001981,0.0001395070422535
0.15,711.5,0.0002323,0.0001635915492957
0.175,670.4,0.0002685,0.0001890845070422
0.2,630.7,0.000307,0.0002161971830985
0.225,594.1,0.0003478,0.0002449295774647
0.25,561.0,0.0003912,0.0002754929577464
0.275,531.4,0.000437,0.0003077464788732
0.3,504.9,0.0004852,0.000341690140845
0.35,460.1,0.0005891,0.0004148591549295
0.4,423.7,0.0007025,0.0004947183098591
0.45,393.7,0.000825,0.0005809859154929
0.5,368.6,0.0009564,0.0006735211267605
0.55,347.1,0.001096,0.0007718309859154
0.6,328.3,0.001244,0.0008760563380281
0.65,311.8,0.001401,0.0009866197183098
0.7,297.2,0.001565,0.0011021126760563
0.75,284.1,0.001737,0.0012232394366197
0.8,272.2,0.001917,0.00135
0.85,261.5,0.002105,0.0014823943661971
0.9,251.7,0.0023,0.0016197183098591
0.95,242.6,0.002502,0.0017619718309859
1.0,234.3,0.002712,0.0019098591549295
1.25,201.0,0.003868,0.0027239436619718
1.5,176.9,0.005197,0.0036598591549295
1.75,158.5,0.006693,0.0047133802816901
2.0,143.9,0.008351,0.0058809859154929
2.25,132.1,0.01017,0.0071619718309859
2.5,122.2,0.01214,0.0085492957746478
2.75,113.9,0.01426,0.0100422535211267
3.0,106.7,0.01653,0.0116408450704225
3.5,94.99,0.0215,0.0151408450704225
4.0,85.78,0.02705,0.0190492957746478
4.5,78.35,0.03316,0.0233521126760563
5.0,72.21,0.03981,0.0280352112676056
5.5,67.05,0.047,0.0330985915492957
6.0,62.63,0.05472,0.0385352112676056
6.5,58.81,0.06296,0.044338028169014
7.0,55.47,0.07172,0.0505070422535211
7.5,52.52,0.08099,0.0570352112676056
8.0,49.89,0.09076,0.0639154929577464
8.5,47.55,0.101,0.0711267605633802
9.0,45.43,0.1118,0.0787323943661971
9.5,43.5,0.123,0.0866197183098591
10.0,41.75,0.1348,0.0949295774647887
12.5,34.89,0.2006,0.1412676056338028
15.0,30.12,0.2779,0.1957042253521126
17.5,26.58,0.3665,0.2580985915492957
20.0,23.85,0.4659,0.3280985915492957
25.0,19.91,0.6965,0.4904929577464789
27.5,18.43,0.8271,0.5824647887323944
30.0,17.17,0.9678,0.681549295774648
35.0,15.17,1.278,0.9
40.0,13.62,1.627,1.145774647887324
45.0,12.4,2.012,1.4169014084507043
50.0,11.4,2.433,1.713380281690141
55.0,10.57,2.889,2.034507042253521
60.0,9.876,3.378,2.37887323943662
65.0,9.277,3.901,2.7471830985915493
70.0,8.759,4.456,3.1380281690140848
75.0,8.305,5.042,3.5507042253521126
80.0,7.904,5.66,3.985915492957747
85.0,7.548,6.307,4.4415492957746485
90.0,7.229,6.984,4.91830985915493
95.0,6.941,7.691,5.416197183098592
100.0,6.681,8.425,5.933098591549297
125.0,5.676,12.5,8.802816901408452
150.0,4.992,17.21,12.119718309859156
175.0,4.496,22.5,15.845070422535212
200.0,4.119,28.32,19.943661971830988
225.0,3.824,34.63,24.387323943661976
250.0,3.587,41.38,29.14084507042254
275.0,3.392,48.56,34.19718309859155
300.0,3.229,56.11,39.514084507042256
350.0,2.973,72.28,50.90140845070423
400.0,2.782,89.69,63.16197183098592
450.0,2.634,108.2,76.19718309859155
500.0,2.517,127.6,89.85915492957747
550.0,2.423,147.9,104.1549295774648
600.0,2.345,168.9,118.943661971831
650.0,2.281,190.5,134.1549295774648
700.0,2.226,212.7,149.7887323943662
750.0,2.179,235.4,165.77464788732397
800.0,2.138,258.6,182.11267605633805
850.0,2.102,282.1,198.66197183098595
900.0,2.071,306.1,215.56338028169017
950.0,2.044,330.4,232.67605633802816
1000.0,2.021,355.0,250.0
1500.0,1.887,612.6,431.4084507042254
2000.0,1.841,881.4,620.7042253521126
2500.0,1.825,1154.0,812.6760563380282
3000.0,1.823,1429.0,1006.338028169014
4000.0,1.835,1976.0,1391.549295774648
5000.0,1.854,2518.0,1773.2394366197184
6000.0,1.874,3055.0,2151.4084507042253
7000.0,1.894,3586.0,2525.3521126760565
8000.0,1.912,4111.0,2895.0704225352115
9000.0,1.93,4631.0,3261.2676056338028
10000.0,1.946,5147.0,3624.647887323944
