Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,48.9,3.486e-05,1.444674678823042e-05
0.0015,59.15,4.404e-05,1.825113966017406e-05
0.002,67.76,5.193e-05,2.1520928305014507e-05
0.0025,75.33,5.892e-05,2.4417737256527143e-05
0.003,82.17,6.527e-05,2.7049316203895568e-05
0.004,94.31,7.66e-05,3.174471612101119e-05
0.005,105.0,8.663e-05,3.590136759220887e-05
0.006,114.7,9.573e-05,3.967260671363449e-05
0.007,123.6,0.0001041,4.3141317861583096e-05
0.008,131.9,0.000112,4.6415250725238296e-05
0.009,139.7,0.0001193,4.944053046000829e-05
0.01,147.0,0.0001263,5.234148363033569e-05
0.0125,161.8,0.0001425,5.905511811023622e-05
0.015,174.8,0.0001573,6.518856195607129e-05
0.0175,186.4,0.0001712,7.094902610857853e-05
0.02,196.8,0.0001842,7.633651056775799e-05
0.0225,206.3,0.0001966,8.147534189805223e-05
0.025,215.0,0.0002085,8.64069622876088e-05
0.0275,222.9,0.0002199,9.11313717364277e-05
0.03,230.2,0.0002309,9.569001243265644e-05
0.035,243.0,0.000252,0.0001044343141317
0.04,253.6,0.0002722,0.0001128056361375
0.045,262.5,0.0002915,0.00012080397845
0.05,269.6,0.0003103,0.0001285951098217
0.055,275.3,0.0003287,0.0001362204724409
0.06,279.7,0.0003467,0.0001436800663075
0.065,282.9,0.0003644,0.0001510153336096
0.07,285.1,0.000382,0.0001583091587235
0.075,286.4,0.0003995,0.0001655615416493
0.08,286.8,0.000417,0.0001728139245752
0.085,286.5,0.0004344,0.0001800248653128
0.09,285.7,0.0004519,0.0001872772482387
0.095,284.3,0.0004694,0.0001945296311645
0.1,282.4,0.0004871,0.0002018648984666
0.125,269.0,0.0005776,0.0002393700787401
0.15,252.6,0.0006735,0.0002791131371736
0.175,236.5,0.0007758,0.0003215084956485
0.2,222.0,0.000885,0.0003667633651056
0.225,209.3,0.001001,0.0004148363033568
0.25,198.4,0.001124,0.0004658101947782
0.275,189.1,0.001253,0.0005192706174886
0.3,181.2,0.001388,0.0005752175714877
0.35,168.3,0.001675,0.0006941566514711
0.4,158.3,0.001981,0.0008209697472026
0.45,150.4,0.002306,0.0009556568586821
0.5,143.8,0.002646,0.0010965602983837
0.55,138.2,0.003001,0.0012436800663075
0.6,133.3,0.003369,0.0013961873186904
0.65,128.9,0.003751,0.001554496477414
0.7,125.0,0.004145,0.0017177786987152
0.75,121.3,0.004551,0.0018860339825942
0.8,117.9,0.004969,0.0020592623290509
0.85,114.7,0.005399,0.0022374637380853
0.9,111.7,0.005841,0.0024206382096974
0.95,108.9,0.006294,0.0026083713220058
1.0,106.2,0.006759,0.0028010774968918
1.25,94.7,0.009256,0.0038358889349357
1.5,85.49,0.01204,0.0049896394529631
1.75,77.97,0.0151,0.0062577704102776
2.0,71.88,0.01845,0.00764608371322
2.25,66.93,0.02206,0.009142146705346
2.5,62.73,0.02592,0.0107418151678408
2.75,59.17,0.03002,0.0124409448818897
3.0,56.04,0.03437,0.0142436800663075
3.5,50.76,0.04375,0.0181309573145462
4.0,46.5,0.05406,0.0224036469125569
4.5,43.04,0.06524,0.0270368835474513
5.0,40.1,0.07729,0.0320306672192291
