Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,16.23,0.0001079,9.557130203720107e-06
0.0015,19.71,0.0001355,1.2001771479185119e-05
0.002,22.64,0.0001592,1.4100974313551817e-05
0.0025,25.21,0.0001801,1.5952170062001772e-05
0.003,27.53,0.000199,1.7626217891939772e-05
0.004,31.64,0.0002328,2.0620017714791852e-05
0.005,35.26,0.0002627,2.3268379096545617e-05
0.006,38.53,0.0002898,2.566873339238264e-05
0.007,41.54,0.0003148,2.7883082373782112e-05
0.008,44.33,0.0003381,2.9946855624446414e-05
0.009,46.96,0.00036,3.188662533215235e-05
0.01,49.44,0.0003807,3.372010628875111e-05
0.0125,54.51,0.0004288,3.798051372896369e-05
0.015,59.01,0.0004728,4.1877767936226754e-05
0.0175,63.08,0.0005138,4.550930026572188e-05
0.02,66.82,0.0005523,4.891939769707706e-05
0.0225,70.28,0.0005887,5.2143489813994694e-05
0.025,73.5,0.0006235,5.522586359610275e-05
0.0275,76.53,0.0006568,5.8175376439326845e-05
0.03,79.37,0.0006889,6.101860053144376e-05
0.035,84.6,0.0007499,6.642161204605845e-05
0.04,89.3,0.0008074,7.151461470327725e-05
0.045,93.56,0.000862,7.635075287865368e-05
0.05,97.44,0.0009144,8.099202834366697e-05
0.055,101.0,0.0009648,8.54561558901683e-05
0.06,104.2,0.001014,8.981399468556245e-05
0.065,107.1,0.001061,9.397697077059346e-05
0.07,109.8,0.001107,9.805137289636847e-05
0.075,112.2,0.001152,0.00010203720106288752
0.08,114.5,0.001196,0.00010593445527015059
0.085,116.5,0.001239,0.00010974313551815767
0.09,118.3,0.001282,0.00011355181576616475
0.095,119.9,0.001324,0.00011727192205491587
0.1,121.4,0.001365,0.00012090345438441099
0.125,126.4,0.001567,0.0001387953941541187
0.15,128.3,0.001763,0.00015615589016829053
0.175,128.1,0.001957,0.0001733392382639504
0.2,126.5,0.002154,0.00019078830823737822
0.225,123.8,0.002353,0.000208414526129318
0.25,120.6,0.002558,0.00022657218777679362
0.275,117.1,0.002768,0.0002451727192205492
0.3,113.5,0.002985,0.00026439326837909654
0.35,106.5,0.00344,0.0003046944198405669
0.4,100.1,0.003925,0.00034765279007971655
0.45,94.48,0.004439,0.0003931798051372897
0.5,89.6,0.004983,0.00044136403897254207
0.55,85.28,0.005555,0.000492028343666962
0.6,81.46,0.006155,0.0005451727192205492
0.65,78.1,0.006782,0.0006007085916740479
0.7,75.12,0.007435,0.000658547387068202
0.75,72.49,0.008113,0.0007186005314437557
0.8,70.15,0.008814,0.0007806908768821967
0.85,68.06,0.009538,0.0008448184233835253
0.9,66.19,0.01028,0.0009105403011514615
0.95,64.5,0.01105,0.0009787422497785653
1.0,62.98,0.01183,0.0010478299379982287
1.25,56.93,0.01602,0.0014189548272807795
1.5,52.26,0.02061,0.001825509300265722
1.75,48.5,0.02558,0.002265721877767936
2.0,45.37,0.03091,0.002737821080602303
2.25,42.72,0.03659,0.0032409211691762623
2.5,40.43,0.04261,0.0037741364038972546
2.75,38.43,0.04896,0.00433658104517272
3.0,36.66,0.05562,0.004926483613817538
3.5,33.66,0.06988,0.006189548272807795
4.0,31.2,0.08532,0.007557130203720106
4.5,29.14,0.1019,0.009025686448184234
5.0,27.39,0.1196,0.010593445527015058
5.5,25.87,0.1384,0.012258635961027458
6.0,24.54,0.1583,0.014021257750221436
6.5,23.37,0.1792,0.01587245349867139
7.0,22.32,0.2011,0.017812223206377327
7.5,21.38,0.2239,0.01983170947741364
8.0,20.52,0.2478,0.021948627103631532
8.5,19.75,0.2727,0.024154118689105403
9.0,19.04,0.2985,0.026439326837909654
9.5,18.39,0.3252,0.028804251550044287
10.0,17.79,0.3528,0.031248892825509304
12.5,15.36,0.5046,0.04469441984056688
15.0,13.59,0.678,0.0600531443755536
17.5,12.24,0.8722,0.07725420726306466
20.0,11.16,1.086,0.09619131975199292
25.0,9.554,1.572,0.1392382639503986
27.5,8.932,1.843,0.16324180690876883
30.0,8.396,2.132,0.1888396811337467
35.0,7.516,2.763,0.24472984942426929
40.0,6.825,3.462,0.30664304694419847
45.0,6.267,4.227,0.3744021257750222
50.0,5.806,5.057,0.44791851195748456
55.0,5.42,5.949,0.5269264836138176
60.0,5.09,6.901,0.6112488928255093
65.0,4.806,7.913,0.7008857395925598
70.0,4.558,8.982,0.7955713020372011
75.0,4.34,10.11,0.8954827280779452
80.0,4.147,11.29,1.0
85.0,3.974,12.52,1.1089459698848538
90.0,3.819,13.8,1.2223206377325069
95.0,3.679,15.14,1.3410097431355184
100.0,3.552,16.52,1.463241806908769
125.0,3.057,24.14,2.138175376439327
150.0,2.714,32.84,2.9087688219663423
175.0,2.463,42.53,3.7670504871567765
200.0,2.271,53.12,4.705048715677591
225.0,2.119,64.53,5.715677590788308
250.0,1.996,76.69,6.79273693534101
275.0,1.895,89.55,7.931798051372897
300.0,1.81,103.1,9.131975199291409
350.0,1.677,131.8,11.674047829938
400.0,1.577,162.6,14.402125775022144
450.0,1.499,195.2,17.28963684676705
500.0,1.438,229.2,20.30115146147033
550.0,1.388,264.6,23.43666961913198
600.0,1.348,301.2,26.6784765279008
650.0,1.314,338.8,30.008857395925602
700.0,1.286,377.3,33.418954827280785
750.0,1.262,416.5,36.89105403011515
800.0,1.242,456.5,40.4340124003543
850.0,1.224,497.1,44.03011514614704
900.0,1.21,538.2,47.670504871567765
950.0,1.197,579.7,51.346324180690885
1000.0,1.186,621.7,55.06643046944199
1500.0,1.13,1056.0,93.53410097431356
2000.0,1.12,1501.0,132.9495128432241
2500.0,1.124,1947.0,172.45349867139063
3000.0,1.135,2390.0,211.69176262178922
4000.0,1.161,3261.0,288.8396811337467
5000.0,1.187,4113.0,364.3046944198406
6000.0,1.211,4947.0,438.1753764393269
7000.0,1.233,5765.0,510.6288751107175
8000.0,1.253,6569.0,581.8423383525244
9000.0,1.271,7361.0,651.9929140832596
