Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,100.8,1.271e-05,4.888461538461538e-06
0.0015,115.7,1.73e-05,6.6538461538461535e-06
0.002,128.9,2.139e-05,8.226923076923077e-06
0.0025,140.8,2.51e-05,9.653846153846154e-06
0.003,151.8,2.852e-05,1.0969230769230767e-05
0.004,171.7,3.47e-05,1.3346153846153846e-05
0.005,189.5,4.024e-05,1.5476923076923077e-05
0.006,205.8,4.53e-05,1.7423076923076923e-05
0.007,221.0,4.999e-05,1.922692307692308e-05
0.008,235.2,5.437e-05,2.0911538461538463e-05
0.009,248.5,5.851e-05,2.2503846153846152e-05
0.01,261.3,6.243e-05,2.401153846153846e-05
0.0125,286.6,7.154e-05,2.751538461538461e-05
0.015,309.0,7.994e-05,3.074615384615384e-05
0.0175,329.1,8.777e-05,3.37576923076923e-05
0.02,347.4,9.516e-05,3.66e-05
0.0225,364.0,0.0001022,3.930769230769231e-05
0.025,379.3,0.0001089,4.188461538461538e-05
0.0275,393.4,0.0001154,4.438461538461538e-05
0.03,406.5,0.0001216,4.676923076923077e-05
0.035,429.8,0.0001336,5.138461538461538e-05
0.04,449.8,0.000145,5.5769230769230765e-05
0.045,467.1,0.0001559,5.996153846153846e-05
0.05,482.0,0.0001664,6.4e-05
0.055,494.7,0.0001766,6.792307692307692e-05
0.06,505.5,0.0001866,7.176923076923077e-05
0.065,514.7,0.0001964,7.553846153846154e-05
0.07,522.3,0.0002061,7.926923076923077e-05
0.075,528.6,0.0002156,8.292307692307692e-05
0.08,533.7,0.000225,8.653846153846153e-05
0.085,537.6,0.0002343,9.01153846153846e-05
0.09,540.6,0.0002436,9.369230769230768e-05
0.095,542.7,0.0002528,9.723076923076924e-05
0.1,544.0,0.000262,0.0001007692307692
0.125,541.1,0.000308,0.0001184615384615
0.15,528.1,0.0003547,0.000136423076923
0.175,509.8,0.0004029,0.0001549615384615
0.2,489.3,0.0004529,0.0001741923076923
0.225,467.9,0.0005052,0.0001943076923076
0.25,446.9,0.0005598,0.0002153076923076
0.275,427.3,0.0006171,0.0002373461538461
0.3,409.1,0.0006769,0.0002603461538461
0.35,377.3,0.0008043,0.0003093461538461
0.4,350.7,0.0009418,0.0003622307692307
0.45,328.3,0.001089,0.0004188461538461
0.5,309.3,0.001246,0.0004792307692307
0.55,293.0,0.001412,0.0005430769230769
0.6,278.3,0.001588,0.0006107692307692
0.65,265.2,0.001772,0.0006815384615384
0.7,253.4,0.001965,0.0007557692307692
0.75,242.7,0.002166,0.0008330769230769
0.8,232.9,0.002377,0.0009142307692307
0.85,224.0,0.002596,0.0009984615384615
0.9,215.8,0.002823,0.0010857692307692
0.95,208.3,0.003059,0.0011765384615384
1.0,201.4,0.003303,0.0012703846153846
1.25,173.2,0.004646,0.001786923076923
1.5,152.6,0.006187,0.0023796153846153
1.75,136.9,0.00792,0.0030461538461538
2.0,124.4,0.009838,0.0037838461538461
2.25,114.2,0.01194,0.0045923076923076
2.5,105.8,0.01421,0.0054653846153846
2.75,98.59,0.01666,0.0064076923076923
3.0,92.43,0.01928,0.0074153846153846
3.5,82.37,0.02503,0.009626923076923
4.0,74.47,0.03142,0.0120846153846153
4.5,68.07,0.03845,0.0147884615384615
5.0,62.79,0.04611,0.0177346153846153
5.5,58.34,0.05437,0.0209115384615384
6.0,54.53,0.06324,0.0243230769230769
6.5,51.24,0.07271,0.0279653846153846
7.0,48.36,0.08276,0.0318307692307692
7.5,45.81,0.09338,0.0359153846153846
8.0,43.54,0.1046,0.0402307692307692
8.5,41.51,0.1163,0.0447307692307692
9.0,39.67,0.1287,0.0495
9.5,38.01,0.1416,0.0544615384615384
10.0,36.49,0.155,0.0596153846153846
12.5,30.54,0.2302,0.0885384615384615
15.0,26.39,0.3185,0.1225
17.5,23.31,0.4196,0.1613846153846153
20.0,20.93,0.5329,0.2049615384615384
25.0,17.49,0.7955,0.3059615384615384
27.5,16.2,0.9441,0.3631153846153846
30.0,15.1,1.104,0.4246153846153846
35.0,13.34,1.457,0.5603846153846154
40.0,11.99,1.853,0.7126923076923076
45.0,10.92,2.29,0.8807692307692307
50.0,10.05,2.768,1.0646153846153843
55.0,9.32,3.285,1.2634615384615384
60.0,8.707,3.841,1.4773076923076924
65.0,8.181,4.434,1.7053846153846155
70.0,7.725,5.063,1.947307692307692
75.0,7.327,5.728,2.2030769230769227
80.0,6.975,6.428,2.4723076923076923
85.0,6.661,7.161,2.754230769230769
90.0,6.381,7.929,3.0496153846153846
95.0,6.128,8.728,3.356923076923077
100.0,5.899,9.56,3.676923076923077
125.0,5.015,14.18,5.453846153846153
150.0,4.412,19.51,7.503846153846154
175.0,3.975,25.49,9.803846153846154
200.0,3.643,32.07,12.334615384615384
225.0,3.383,39.2,15.076923076923077
250.0,3.174,46.84,18.01538461538461
275.0,3.002,54.94,21.13076923076923
300.0,2.858,63.48,24.41538461538461
350.0,2.633,81.74,31.43846153846153
400.0,2.464,101.4,39.0
450.0,2.333,122.3,47.03846153846153
500.0,2.229,144.2,55.46153846153845
550.0,2.144,167.1,64.26923076923076
600.0,2.075,190.8,73.38461538461539
650.0,2.017,215.3,82.8076923076923
700.0,1.968,240.4,92.46153846153848
750.0,1.927,266.0,102.3076923076923
800.0,1.891,292.2,112.38461538461536
850.0,1.86,318.9,122.65384615384616
900.0,1.833,346.0,133.07692307692307
950.0,1.81,373.4,143.6153846153846
1000.0,1.789,401.2,154.3076923076923
1500.0,1.675,691.8,266.07692307692304
2000.0,1.635,994.5,382.5
2500.0,1.622,1302.0,500.7692307692308
3000.0,1.621,1610.0,619.2307692307692
4000.0,1.631,2226.0,856.1538461538461
5000.0,1.648,2836.0,1090.7692307692307
6000.0,1.665,3439.0,1322.6923076923076
7000.0,1.682,4037.0,1552.6923076923076
8000.0,1.697,4629.0,1780.3846153846152
9000.0,1.712,5215.0,2005.7692307692307
10000.0,1.726,5797.0,2229.6153846153848
