Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,133.0,1.013e-05,4.151639344262295e-06
0.0015,154.5,1.359e-05,5.569672131147541e-06
0.002,173.1,1.664e-05,6.819672131147541e-06
0.0025,189.9,1.94e-05,7.950819672131147e-06
0.003,205.3,2.193e-05,8.987704918032787e-06
0.004,233.0,2.649e-05,1.085655737704918e-05
0.005,257.9,3.057e-05,1.2528688524590164e-05
0.006,280.5,3.428e-05,1.4049180327868852e-05
0.007,301.5,3.772e-05,1.5459016393442622e-05
0.008,321.1,4.093e-05,1.6774590163934428e-05
0.009,339.6,4.396e-05,1.8016393442622952e-05
0.01,357.1,4.683e-05,1.919262295081967e-05
0.0125,391.7,5.35e-05,2.192622950819672e-05
0.015,422.0,5.964e-05,2.444262295081968e-05
0.0175,448.9,6.538e-05,2.679508196721312e-05
0.02,473.1,7.08e-05,2.901639344262295e-05
0.0225,495.0,7.596e-05,3.1131147540983605e-05
0.025,514.9,8.091e-05,3.315983606557377e-05
0.0275,533.0,8.568e-05,3.5114754098360656e-05
0.03,549.5,9.03e-05,3.700819672131148e-05
0.035,578.2,9.917e-05,4.064344262295082e-05
0.04,602.1,0.0001076,4.409836065573771e-05
0.045,621.8,0.0001158,4.745901639344262e-05
0.05,637.9,0.0001237,5.069672131147541e-05
0.055,650.8,0.0001315,5.389344262295082e-05
0.06,660.9,0.0001391,5.700819672131148e-05
0.065,668.7,0.0001466,6.008196721311476e-05
0.07,674.3,0.0001541,6.315573770491804e-05
0.075,678.0,0.0001615,6.618852459016394e-05
0.08,680.1,0.0001688,6.918032786885247e-05
0.085,680.8,0.0001762,7.221311475409836e-05
0.09,680.3,0.0001835,7.520491803278688e-05
0.095,678.7,0.0001909,7.823770491803279e-05
0.1,676.2,0.0001983,8.127049180327868e-05
0.125,653.9,0.0002358,9.663934426229508e-05
0.15,623.1,0.0002749,0.0001126639344262
0.175,590.1,0.0003162,0.0001295901639344
0.2,557.9,0.0003597,0.0001474180327868
0.225,526.1,0.0004059,0.0001663524590163
0.25,496.1,0.0004548,0.0001863934426229
0.275,468.9,0.0005067,0.0002076639344262
0.3,444.5,0.0005615,0.0002301229508196
0.35,403.5,0.0006797,0.0002785655737704
0.4,370.9,0.0008091,0.0003315983606557
0.45,344.9,0.0009491,0.000388975409836
0.5,323.8,0.001099,0.0004504098360655
0.55,306.2,0.001258,0.0005155737704918
0.6,290.6,0.001425,0.0005840163934426
0.65,276.6,0.001602,0.0006565573770491
0.7,264.1,0.001787,0.0007323770491803
0.75,252.9,0.00198,0.000811475409836
0.8,242.6,0.002182,0.0008942622950819
0.85,233.3,0.002392,0.0009803278688524
0.9,224.8,0.002611,0.0010700819672131
0.95,217.0,0.002837,0.0011627049180327
1.0,209.8,0.003072,0.0012590163934426
1.25,180.5,0.004361,0.0017872950819672
1.5,159.3,0.005838,0.0023926229508196
1.75,142.9,0.007498,0.0030729508196721
2.0,130.0,0.009335,0.0038258196721311
2.25,119.4,0.01134,0.0046475409836065
2.5,110.6,0.01352,0.0055409836065573
2.75,103.2,0.01586,0.0065
3.0,96.74,0.01837,0.0075286885245901
3.5,86.24,0.02385,0.0097745901639344
4.0,77.98,0.02996,0.0122786885245901
4.5,71.3,0.03667,0.0150286885245901
5.0,65.78,0.04398,0.0180245901639344
5.5,61.12,0.05187,0.0212581967213114
6.0,57.14,0.06034,0.0247295081967213
6.5,53.69,0.06937,0.0284303278688524
7.0,50.67,0.07896,0.0323606557377049
7.5,48.0,0.0891,0.0365163934426229
8.0,45.62,0.09979,0.0408975409836065
8.5,43.49,0.111,0.0454918032786885
9.0,41.57,0.1228,0.050327868852459
9.5,39.82,0.1351,0.0553688524590163
10.0,38.23,0.1479,0.0606147540983606
12.5,32.0,0.2197,0.0900409836065573
15.0,27.64,0.304,0.1245901639344262
17.5,24.42,0.4005,0.1641393442622951
20.0,21.93,0.5087,0.208483606557377
25.0,18.32,0.7593,0.3111885245901639
27.5,16.96,0.9013,0.3693852459016393
30.0,15.82,1.054,0.4319672131147541
35.0,13.98,1.391,0.5700819672131148
40.0,12.56,1.769,0.725
45.0,11.44,2.187,0.896311475409836
50.0,10.52,2.643,1.0831967213114753
55.0,9.761,3.137,1.285655737704918
60.0,9.119,3.667,1.5028688524590164
65.0,8.568,4.233,1.7348360655737705
70.0,8.091,4.834,1.9811475409836063
75.0,7.673,5.469,2.241393442622951
80.0,7.305,6.137,2.515163934426229
85.0,6.976,6.838,2.802459016393443
90.0,6.683,7.57,3.1024590163934427
95.0,6.418,8.334,3.415573770491803
100.0,6.178,9.128,3.740983606557377
125.0,5.252,13.54,5.549180327868852
150.0,4.621,18.63,7.635245901639344
175.0,4.163,24.34,9.975409836065571
200.0,3.816,30.62,12.549180327868854
225.0,3.543,37.43,15.34016393442623
250.0,3.324,44.72,18.327868852459016
275.0,3.144,52.46,21.5
300.0,2.994,60.61,24.84016393442623
350.0,2.757,78.05,31.987704918032787
400.0,2.58,96.82,39.68032786885246
450.0,2.444,116.7,47.82786885245902
500.0,2.336,137.7,56.43442622950819
550.0,2.248,159.5,65.3688524590164
600.0,2.175,182.1,74.6311475409836
650.0,2.113,205.5,84.22131147540983
700.0,2.062,229.4,94.01639344262296
750.0,2.018,254.0,104.09836065573772
800.0,1.98,279.0,114.34426229508198
850.0,1.947,304.5,124.79508196721312
900.0,1.919,330.3,135.3688524590164
950.0,1.894,356.6,146.14754098360658
1000.0,1.872,383.1,157.0081967213115
1500.0,1.749,661.1,270.94262295081967
2000.0,1.707,951.1,389.7950819672132
2500.0,1.693,1245.0,510.24590163934425
3000.0,1.692,1541.0,631.5573770491803
4000.0,1.703,2130.0,872.9508196721312
5000.0,1.721,2715.0,1112.704918032787
6000.0,1.74,3292.0,1349.1803278688526
7000.0,1.759,3864.0,1583.6065573770493
8000.0,1.776,4430.0,1815.5737704918035
9000.0,1.793,4990.0,2045.0819672131147
10000.0,1.808,5545.0,2272.5409836065573
