Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,213.4,5.705e-06,5.705e-06
0.0015,245.0,7.874e-06,7.874e-06
0.002,273.3,9.804e-06,9.804e-06
0.0025,299.1,1.155e-05,1.155e-05
0.003,323.0,1.316e-05,1.316e-05
0.004,362.3,1.608e-05,1.608e-05
0.005,398.2,1.871e-05,1.871e-05
0.006,431.0,2.112e-05,2.112e-05
0.007,461.2,2.336e-05,2.336e-05
0.008,488.8,2.546e-05,2.546e-05
0.009,514.2,2.746e-05,2.746e-05
0.01,538.0,2.936e-05,2.936e-05
0.0125,585.9,3.38e-05,3.38e-05
0.015,626.6,3.792e-05,3.792e-05
0.0175,662.1,4.18e-05,4.18e-05
0.02,693.7,4.549e-05,4.549e-05
0.0225,721.7,4.902e-05,4.902e-05
0.025,746.6,5.243e-05,5.243e-05
0.0275,768.7,5.572e-05,5.572e-05
0.03,788.4,5.893e-05,5.893e-05
0.035,822.8,6.514e-05,6.514e-05
0.04,851.8,7.111e-05,7.111e-05
0.045,875.7,7.689e-05,7.689e-05
0.05,894.6,8.254e-05,8.254e-05
0.055,908.8,8.808e-05,8.808e-05
0.06,919.0,9.355e-05,9.355e-05
0.065,925.9,9.897e-05,9.897e-05
0.07,929.8,0.0001044,0.0001044
0.075,931.3,0.0001097,0.0001097
0.08,930.6,0.0001151,0.0001151
0.085,928.1,0.0001205,0.0001205
0.09,923.9,0.0001259,0.0001259
0.095,918.5,0.0001313,0.0001313
0.1,911.9,0.0001368,0.0001368
0.125,867.9,0.0001648,0.0001648
0.15,815.5,0.0001945,0.0001945
0.175,762.9,0.0002262,0.0002262
0.2,713.7,0.0002601,0.0002601
0.225,669.0,0.0002963,0.0002963
0.25,629.2,0.0003349,0.0003349
0.275,594.0,0.0003758,0.0003758
0.3,562.7,0.000419,0.000419
0.35,508.2,0.0005126,0.0005126
0.4,463.7,0.0006158,0.0006158
0.45,428.0,0.0007281,0.0007281
0.5,399.3,0.0008492,0.0008492
0.55,375.7,0.0009784,0.0009784
0.6,355.0,0.001115,0.001115
0.65,337.0,0.00126,0.00126
0.7,320.9,0.001412,0.001412
0.75,306.5,0.001572,0.001572
0.8,293.6,0.001738,0.001738
0.85,281.8,0.001912,0.001912
0.9,271.1,0.002093,0.002093
0.95,261.2,0.002281,0.002281
1.0,252.2,0.002476,0.002476
1.25,215.9,0.003551,0.003551
1.5,189.7,0.00479,0.00479
1.75,169.7,0.006186,0.006186
2.0,154.0,0.007734,0.007734
2.25,141.2,0.009432,0.009432
2.5,130.5,0.01128,0.01128
2.75,121.5,0.01326,0.01326
3.0,113.8,0.01539,0.01539
3.5,101.2,0.02006,0.02006
4.0,91.37,0.02526,0.02526
4.5,83.41,0.031,0.031
5.0,76.84,0.03725,0.03725
5.5,71.32,0.04401,0.04401
6.0,66.6,0.05127,0.05127
6.5,62.52,0.05902,0.05902
7.0,58.96,0.06726,0.06726
7.5,55.81,0.07598,0.07598
8.0,53.01,0.08518,0.08518
8.5,50.51,0.09484,0.09484
9.0,48.25,0.105,0.105
9.5,46.21,0.1156,0.1156
10.0,44.34,0.1266,0.1266
12.5,37.04,0.1886,0.1886
15.0,31.96,0.2615,0.2615
17.5,28.2,0.3449,0.3449
20.0,25.3,0.4387,0.4387
25.0,21.11,0.656,0.656
27.5,19.54,0.7792,0.7792
30.0,18.21,0.9119,0.9119
35.0,16.08,1.205,1.205
40.0,14.44,1.534,1.534
45.0,13.14,1.897,1.897
50.0,12.08,2.294,2.294
55.0,11.2,2.724,2.724
60.0,10.46,3.186,3.186
65.0,9.828,3.68,3.68
70.0,9.278,4.204,4.204
75.0,8.797,4.757,4.757
80.0,8.372,5.34,5.34
85.0,7.994,5.952,5.952
90.0,7.656,6.591,6.591
95.0,7.351,7.258,7.258
100.0,7.075,7.951,7.951
125.0,6.01,11.8,11.8
150.0,5.285,16.25,16.25
175.0,4.759,21.25,21.25
200.0,4.36,26.75,26.75
225.0,4.047,32.7,32.7
250.0,3.796,39.09,39.09
275.0,3.589,45.87,45.87
300.0,3.417,53.01,53.01
350.0,3.146,68.29,68.29
400.0,2.943,84.74,84.74
450.0,2.787,102.2,102.2
500.0,2.663,120.6,120.6
550.0,2.563,139.7,139.7
600.0,2.48,159.6,159.6
650.0,2.412,180.0,180.0
700.0,2.355,201.0,201.0
750.0,2.306,222.5,222.5
800.0,2.264,244.4,244.4
850.0,2.228,266.6,266.6
900.0,2.196,289.2,289.2
950.0,2.168,312.2,312.2
1000.0,2.143,335.4,335.4
1500.0,2.004,578.1,578.1
2000.0,1.956,831.1,831.1
2500.0,1.94,1088.0,1088.0
3000.0,1.938,1346.0,1346.0
4000.0,1.951,1860.0,1860.0
5000.0,1.971,2370.0,2370.0
6000.0,1.993,2875.0,2875.0
7000.0,2.013,3374.0,3374.0
8000.0,2.033,3868.0,3868.0
9000.0,2.051,4358.0,4358.0
10000.0,2.068,4844.0,4844.0
