Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,348.5,3.201e-06,0.0047073529411764
0.0015,393.3,4.542e-06,0.0066794117647058
0.002,435.0,5.75e-06,0.0084558823529411
0.0025,473.7,6.851e-06,0.0100749999999999
0.003,509.9,7.867e-06,0.0115691176470588
0.004,576.2,9.709e-06,0.0142779411764705
0.005,636.0,1.136e-05,0.0167058823529411
0.006,691.0,1.287e-05,0.0189264705882352
0.007,742.0,1.426e-05,0.0209705882352941
0.008,789.9,1.557e-05,0.0228970588235294
0.009,835.2,1.68e-05,0.0247058823529411
0.01,878.1,1.797e-05,0.0264264705882352
0.0125,962.2,2.068e-05,0.0304117647058823
0.015,1035.0,2.318e-05,0.0340882352941176
0.0175,1099.0,2.552e-05,0.0375294117647058
0.02,1157.0,2.774e-05,0.0407941176470588
0.0225,1208.0,2.985e-05,0.0438970588235294
0.025,1254.0,3.188e-05,0.0468823529411764
0.0275,1295.0,3.385e-05,0.0497794117647058
0.03,1331.0,3.575e-05,0.0525735294117647
0.035,1393.0,3.942e-05,0.0579705882352941
0.04,1441.0,4.294e-05,0.0631470588235294
0.045,1478.0,4.637e-05,0.0681911764705882
0.05,1504.0,4.972e-05,0.0731176470588235
0.055,1521.0,5.302e-05,0.0779705882352941
0.06,1532.0,5.63e-05,0.0827941176470588
0.065,1535.0,5.956e-05,0.0875882352941176
0.07,1533.0,6.282e-05,0.0923823529411764
0.075,1527.0,6.608e-05,0.0971764705882353
0.08,1517.0,6.937e-05,0.1020147058823529
0.085,1503.0,7.268e-05,0.1068823529411764
0.09,1487.0,7.602e-05,0.1117941176470588
0.095,1469.0,7.94e-05,0.1167647058823529
0.1,1450.0,8.283e-05,0.1218088235294117
0.125,1340.0,0.0001007,0.1480882352941176
0.15,1228.0,0.0001202,0.1767647058823529
0.175,1128.0,0.0001415,0.2080882352941176
0.2,1042.0,0.0001646,0.2420588235294117
0.225,968.4,0.0001895,0.2786764705882352
0.25,905.7,0.0002162,0.3179411764705882
0.275,851.4,0.0002447,0.3598529411764705
0.3,804.1,0.0002749,0.4042647058823529
0.35,725.4,0.0003405,0.500735294117647
0.4,662.5,0.0004127,0.6069117647058823
0.45,611.2,0.0004913,0.7224999999999999
0.5,568.3,0.0005763,0.8474999999999999
0.55,531.9,0.0006673,0.9813235294117648
0.6,500.3,0.0007642,1.1238235294117649
0.65,472.9,0.0008671,1.2751470588235294
0.7,448.7,0.0009757,1.4348529411764706
0.75,427.1,0.00109,1.602941176470588
0.8,407.8,0.00121,1.779411764705882
0.85,390.4,0.001335,1.963235294117647
0.9,374.5,0.001466,2.1558823529411764
0.95,360.0,0.001602,2.355882352941176
1.0,346.7,0.001744,2.564705882352941
1.25,293.9,0.00253,3.7205882352941178
1.5,256.4,0.003443,5.063235294117646
1.75,228.1,0.004479,6.586764705882353
2.0,205.9,0.005634,8.285294117647059
2.25,188.0,0.006907,10.15735294117647
2.5,173.2,0.008293,12.195588235294116
2.75,160.8,0.009792,14.4
3.0,150.2,0.0114,16.764705882352942
3.5,133.0,0.01495,21.98529411764705
4.0,119.6,0.01892,27.823529411764703
4.5,108.8,0.02331,34.279411764705884
5.0,99.95,0.02811,41.338235294117645
5.5,92.55,0.03331,48.98529411764705
6.0,86.24,0.03891,57.22058823529412
6.5,80.81,0.0449,66.02941176470588
7.0,76.08,0.05128,75.41176470588235
7.5,71.91,0.05805,85.36764705882352
8.0,68.21,0.06519,95.86764705882352
8.5,64.91,0.07271,106.92647058823528
9.0,61.94,0.08059,118.51470588235291
9.5,59.24,0.08885,130.66176470588235
10.0,56.8,0.09747,143.33823529411765
12.5,47.25,0.146,214.7058823529412
15.0,40.64,0.2032,298.8235294117647
17.5,35.78,0.2689,395.4411764705882
20.0,32.04,0.3429,504.26470588235287
25.0,26.64,0.5148,757.0588235294117
27.5,24.63,0.6125,900.7352941176472
30.0,22.93,0.7178,1055.5882352941176
35.0,20.21,0.9506,1397.941176470588
40.0,18.12,1.212,1782.3529411764705
45.0,16.47,1.502,2208.8235294117644
50.0,15.13,1.819,2674.9999999999995
55.0,14.01,2.163,3180.882352941176
60.0,13.08,2.533,3725.0
65.0,12.27,2.928,4305.882352941176
70.0,11.58,3.347,4922.058823529412
75.0,10.97,3.791,5574.999999999999
80.0,10.43,4.259,6263.235294117647
85.0,9.958,4.749,6983.823529411764
90.0,9.532,5.263,7739.7058823529405
95.0,9.148,5.798,8526.470588235294
100.0,8.801,6.356,9347.05882352941
125.0,7.463,9.455,13904.41176470588
150.0,6.553,13.04,19176.47058823529
175.0,5.895,17.07,25102.941176470587
200.0,5.396,21.51,31632.352941176472
225.0,5.005,26.33,38720.58823529411
250.0,4.691,31.49,46308.82352941176
275.0,4.433,36.98,54382.35294117646
300.0,4.218,42.76,62882.35294117646
350.0,3.879,55.15,81102.94117647059
400.0,3.626,68.5,100735.29411764703
450.0,3.431,82.69,121602.94117647056
500.0,3.277,97.61,143544.11764705885
550.0,3.152,113.2,166470.5882352941
600.0,3.049,129.3,190147.05882352943
650.0,2.964,146.0,214705.8823529412
700.0,2.892,163.0,239705.88235294115
750.0,2.831,180.5,265441.1764705882
800.0,2.779,198.4,291764.7058823529
850.0,2.734,216.5,318382.35294117645
900.0,2.695,234.9,345441.1764705882
950.0,2.661,253.6,372941.1764705882
1000.0,2.631,272.5,400735.2941176471
1500.0,2.472,469.7,690735.294117647
2000.0,2.426,674.3,991617.6470588234
2500.0,2.42,880.8,1295294.1176470586
3000.0,2.429,1087.0,1598529.4117647058
4000.0,2.467,1496.0,2200000.0
5000.0,2.511,1898.0,2791176.470588235
6000.0,2.555,2292.0,3370588.2352941176
7000.0,2.596,2681.0,3942647.058823529
8000.0,2.634,3063.0,4504411.764705882
9000.0,2.669,3440.0,5058823.529411764
10000.0,2.702,3812.0,5605882.352941176
