Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,42.72,4.014e-05,3.9046692607003895e-06
0.0015,51.71,5.065e-05,4.92704280155642e-06
0.002,59.26,5.967e-05,5.804474708171207e-06
0.0025,65.91,6.765e-05,6.580739299610896e-06
0.003,71.91,7.491e-05,7.2869649805447475e-06
0.004,82.55,8.786e-05,8.546692607003892e-06
0.005,91.93,9.932e-05,9.66147859922179e-06
0.006,100.4,0.0001097,1.0671206225680934e-05
0.007,108.2,0.0001193,1.1605058365758756e-05
0.008,115.5,0.0001283,1.2480544747081712e-05
0.009,122.3,0.0001367,1.3297665369649804e-05
0.01,128.7,0.0001446,1.406614785992218e-05
0.0125,141.7,0.0001631,1.5865758754863814e-05
0.015,153.2,0.00018,1.7509727626459147e-05
0.0175,163.4,0.0001958,1.904669260700389e-05
0.02,172.8,0.0002107,2.0496108949416344e-05
0.0225,181.3,0.0002248,2.186770428015564e-05
0.025,189.2,0.0002383,2.318093385214008e-05
0.0275,196.4,0.0002513,2.44455252918288e-05
0.03,203.2,0.0002638,2.5661478599221795e-05
0.035,215.2,0.0002877,2.79863813229572e-05
0.04,225.6,0.0003104,3.019455252918288e-05
0.045,234.6,0.0003321,3.2305447470817124e-05
0.05,242.4,0.000353,3.4338521400778214e-05
0.055,249.0,0.0003734,3.6322957198443584e-05
0.06,254.6,0.0003932,3.824902723735409e-05
0.065,259.3,0.0004127,4.014591439688716e-05
0.07,263.2,0.0004318,4.200389105058366e-05
0.075,266.3,0.0004507,4.3842412451361874e-05
0.08,268.8,0.0004694,4.566147859922179e-05
0.085,270.6,0.0004879,4.746108949416343e-05
0.09,271.8,0.0005064,4.9260700389105056e-05
0.095,272.6,0.0005247,5.104085603112841e-05
0.1,272.9,0.000543,5.282101167315175e-05
0.125,269.1,0.0006351,6.178015564202335e-05
0.15,259.9,0.0007295,7.096303501945526e-05
0.175,248.3,0.0008279,8.053501945525292e-05
0.2,236.1,0.0009311,9.05739299610895e-05
0.225,224.3,0.00104,0.000101167315175
0.25,213.3,0.001154,0.0001122568093385
0.275,203.3,0.001274,0.0001239299610894
0.3,194.4,0.0014,0.000136186770428
0.35,179.1,0.001668,0.0001622568093385
0.4,166.8,0.001958,0.00019046692607
0.45,156.7,0.002267,0.0002205252918287
0.5,148.3,0.002596,0.0002525291828793
0.55,141.2,0.002942,0.000286186770428
0.6,135.0,0.003304,0.0003214007782101
0.65,129.6,0.003682,0.0003581712062256
0.7,124.8,0.004075,0.0003964007782101
0.75,120.5,0.004483,0.0004360894941634
0.8,116.5,0.004905,0.000477140077821
0.85,112.7,0.005341,0.0005195525291828
0.9,109.2,0.005792,0.0005634241245136
0.95,105.8,0.006257,0.0006086575875486
1.0,102.7,0.006737,0.0006553501945525
1.25,89.87,0.009346,0.0009091439688715
