Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,182.7,6.269e-06,6.027884615384615e-06
0.0015,206.3,8.825e-06,8.485576923076922e-06
0.002,228.1,1.113e-05,1.0701923076923076e-05
0.0025,248.1,1.323e-05,1.2721153846153848e-05
0.003,266.8,1.517e-05,1.4586538461538462e-05
0.004,300.8,1.87e-05,1.798076923076923e-05
0.005,331.5,2.186e-05,2.1019230769230768e-05
0.006,359.8,2.475e-05,2.379807692307692e-05
0.007,386.0,2.743e-05,2.6375e-05
0.008,410.5,2.994e-05,2.878846153846154e-05
0.009,433.7,3.231e-05,3.1067307692307694e-05
0.01,455.7,3.456e-05,3.323076923076923e-05
0.0125,499.3,3.979e-05,3.825961538461538e-05
0.015,537.4,4.461e-05,4.289423076923077e-05
0.0175,571.4,4.912e-05,4.723076923076922e-05
0.02,601.9,5.338e-05,5.132692307692308e-05
0.0225,629.5,5.744e-05,5.523076923076923e-05
0.025,654.5,6.134e-05,5.898076923076923e-05
0.0275,677.3,6.509e-05,6.258653846153846e-05
0.03,698.0,6.872e-05,6.607692307692308e-05
0.035,734.1,7.57e-05,7.278846153846154e-05
0.04,763.9,8.237e-05,7.920192307692307e-05
0.045,788.4,8.881e-05,8.539423076923077e-05
0.05,808.1,9.508e-05,9.142307692307693e-05
0.055,823.6,0.0001012,9.73076923076923e-05
0.06,835.5,0.0001072,0.0001030769230769
0.065,844.2,0.0001132,0.0001088461538461
0.07,850.0,0.0001191,0.0001145192307692
0.075,853.4,0.0001249,0.0001200961538461
0.08,854.5,0.0001308,0.0001257692307692
0.085,853.8,0.0001367,0.0001314423076923
0.09,851.5,0.0001425,0.0001370192307692
0.095,847.7,0.0001484,0.0001426923076923
0.1,842.8,0.0001543,0.0001483653846153
0.125,806.1,0.0001846,0.0001774999999999
0.15,760.0,0.0002165,0.000208173076923
0.175,713.2,0.0002505,0.0002408653846153
0.2,669.4,0.0002867,0.000275673076923
0.225,631.9,0.0003251,0.0003125961538461
0.25,599.8,0.0003658,0.0003517307692307
0.275,571.5,0.0004085,0.0003927884615384
0.3,546.2,0.0004532,0.0004357692307692
0.35,502.7,0.0005488,0.0005276923076923
0.4,466.3,0.0006521,0.0006270192307692
0.45,435.1,0.0007632,0.0007338461538461
0.5,407.9,0.0008819,0.0008479807692307
0.55,384.1,0.001008,0.0009692307692307
0.6,363.2,0.001142,0.0010980769230769
0.65,344.7,0.001284,0.0012346153846153
0.7,328.2,0.001432,0.001376923076923
0.75,313.4,0.001588,0.001526923076923
0.8,300.0,0.001751,0.0016836538461538
0.85,288.0,0.001922,0.0018480769230769
0.9,277.0,0.002099,0.0020182692307692
0.95,266.8,0.002283,0.0021951923076923
1.0,257.5,0.002473,0.0023778846153846
1.25,220.2,0.003527,0.0033913461538461
1.5,193.4,0.004742,0.0045596153846153
1.75,172.9,0.006111,0.0058759615384615
2.0,156.8,0.007632,0.0073384615384615
2.25,143.7,0.009299,0.0089413461538461
2.5,132.9,0.01111,0.0106826923076923
2.75,123.7,0.01306,0.0125576923076923
3.0,115.9,0.01515,0.0145673076923076
3.5,103.0,0.01974,0.0189807692307692
4.0,93.01,0.02485,0.0238942307692307
4.5,84.91,0.03048,0.0293076923076923
5.0,78.24,0.03662,0.0352115384615384
5.5,72.62,0.04326,0.0415961538461538
6.0,67.83,0.05039,0.048451923076923
6.5,63.68,0.058,0.0557692307692307
7.0,60.05,0.06609,0.0635480769230769
7.5,56.84,0.07466,0.0717884615384615
8.0,54.0,0.08368,0.0804615384615384
8.5,51.45,0.09317,0.0895865384615384
9.0,49.15,0.1031,0.0991346153846153
9.5,47.07,0.1135,0.1091346153846153
10.0,45.17,0.1244,0.1196153846153846
12.5,37.74,0.1852,0.178076923076923
15.0,32.56,0.2567,0.246826923076923
17.5,28.74,0.3387,0.3256730769230769
20.0,25.78,0.4307,0.4141346153846154
25.0,21.51,0.644,0.6192307692307693
27.5,19.91,0.7649,0.7354807692307692
30.0,18.56,0.895,0.860576923076923
35.0,16.38,1.182,1.1365384615384615
40.0,14.72,1.505,1.4471153846153844
45.0,13.39,1.862,1.7903846153846157
50.0,12.31,2.251,2.164423076923077
55.0,11.42,2.674,2.571153846153846
60.0,10.66,3.127,3.006730769230769
65.0,10.02,3.611,3.4721153846153845
70.0,9.456,4.125,3.9663461538461537
75.0,8.965,4.668,4.4884615384615385
80.0,8.532,5.24,5.038461538461538
85.0,8.147,5.84,5.615384615384615
90.0,7.802,6.468,6.219230769230769
95.0,7.492,7.122,6.848076923076923
100.0,7.21,7.802,7.501923076923076
125.0,6.125,11.58,11.134615384615383
150.0,5.386,15.95,15.33653846153846
175.0,4.85,20.85,20.048076923076923
200.0,4.444,26.24,25.23076923076923
225.0,4.125,32.09,30.85576923076924
250.0,3.869,38.35,36.875
275.0,3.658,45.0,43.26923076923077
300.0,3.483,52.01,50.00961538461538
350.0,3.206,67.0,64.42307692307692
400.0,3.0,83.15,79.95192307692308
450.0,2.84,100.3,96.44230769230768
500.0,2.714,118.3,113.75
550.0,2.612,137.1,131.82692307692307
600.0,2.528,156.6,150.57692307692307
650.0,2.459,176.6,169.8076923076923
700.0,2.4,197.2,189.61538461538456
750.0,2.35,218.3,209.90384615384616
800.0,2.308,239.8,230.57692307692307
850.0,2.272,261.6,251.53846153846155
900.0,2.24,283.8,272.88461538461536
950.0,2.212,306.2,294.4230769230769
1000.0,2.187,329.0,316.3461538461538
1500.0,2.046,566.7,544.9038461538462
2000.0,1.997,814.6,783.2692307692307
2500.0,1.98,1066.0,1025.0
3000.0,1.977,1319.0,1268.2692307692307
4000.0,1.988,1824.0,1753.8461538461538
