Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,183.4,6.233e-06,5.993269230769231e-06
0.0015,207.0,8.78e-06,8.442307692307693e-06
0.002,228.8,1.108e-05,1.0653846153846154e-05
0.0025,248.8,1.317e-05,1.2663461538461538e-05
0.003,267.6,1.511e-05,1.4528846153846152e-05
0.004,301.6,1.862e-05,1.7903846153846156e-05
0.005,332.4,2.178e-05,2.094230769230769e-05
0.006,360.6,2.466e-05,2.371153846153846e-05
0.007,386.9,2.734e-05,2.6288461538461536e-05
0.008,411.5,2.984e-05,2.869230769230769e-05
0.009,434.7,3.221e-05,3.0971153846153846e-05
0.01,456.8,3.445e-05,3.3125e-05
0.0125,500.4,3.967e-05,3.814423076923077e-05
0.015,538.5,4.448e-05,4.276923076923077e-05
0.0175,572.5,4.898e-05,4.7096153846153845e-05
0.02,603.1,5.323e-05,5.118269230769231e-05
0.0225,630.7,5.728e-05,5.507692307692308e-05
0.025,655.8,6.117e-05,5.881730769230769e-05
0.0275,678.5,6.492e-05,6.242307692307691e-05
0.03,699.3,6.854e-05,6.590384615384615e-05
0.035,735.4,7.551e-05,7.260576923076922e-05
0.04,765.2,8.217e-05,7.900961538461538e-05
0.045,789.7,8.86e-05,8.519230769230769e-05
0.05,809.4,9.485e-05,9.120192307692308e-05
0.055,825.0,0.000101,9.711538461538462e-05
0.06,836.9,0.000107,0.0001028846153846
0.065,845.5,0.0001129,0.0001085576923076
0.07,851.3,0.0001188,0.0001142307692307
0.075,854.6,0.0001247,0.0001199038461538
0.08,855.8,0.0001305,0.0001254807692307
0.085,855.1,0.0001364,0.0001311538461538
0.09,852.7,0.0001422,0.0001367307692307
0.095,848.9,0.0001481,0.0001424038461538
0.1,843.9,0.000154,0.0001480769230769
0.125,807.1,0.0001842,0.0001771153846153
0.15,761.0,0.0002161,0.0002077884615384
0.175,714.0,0.00025,0.0002403846153846
0.2,670.1,0.0002862,0.0002751923076923
0.225,632.8,0.0003246,0.0003121153846153
0.25,600.8,0.0003652,0.0003511538461538
0.275,572.8,0.0004078,0.0003921153846153
0.3,547.7,0.0004525,0.0004350961538461
0.35,504.5,0.0005477,0.0005266346153846
0.4,468.2,0.0006506,0.0006255769230769
0.45,436.9,0.0007612,0.000731923076923
0.5,409.7,0.0008795,0.000845673076923
0.55,385.7,0.001005,0.0009663461538461
0.6,364.7,0.001139,0.0010951923076923
0.65,346.1,0.00128,0.0012307692307692
0.7,329.5,0.001428,0.0013730769230769
0.75,314.6,0.001583,0.0015221153846153
0.8,301.2,0.001745,0.0016778846153846
0.85,289.1,0.001915,0.0018413461538461
0.9,278.0,0.002091,0.0020105769230769
0.95,267.8,0.002275,0.0021875
1.0,258.5,0.002465,0.0023701923076923
1.25,221.0,0.003515,0.0033798076923076
1.5,194.0,0.004725,0.0045432692307692
1.75,173.5,0.00609,0.0058557692307692
