Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,190.6,6.087e-06,5.483783783783783e-06
0.0015,216.1,8.532e-06,7.686486486486487e-06
0.002,239.4,1.073e-05,9.666666666666668e-06
0.0025,260.8,1.273e-05,1.1468468468468468e-05
0.003,280.7,1.458e-05,1.3135135135135131e-05
0.004,316.6,1.792e-05,1.6144144144144144e-05
0.005,349.0,2.093e-05,1.8855855855855856e-05
0.006,378.7,2.368e-05,2.133333333333333e-05
0.007,406.3,2.623e-05,2.363063063063063e-05
0.008,432.1,2.861e-05,2.577477477477477e-05
0.009,456.4,3.086e-05,2.78018018018018e-05
0.01,479.4,3.3e-05,2.972972972972973e-05
0.0125,524.8,3.797e-05,3.42072072072072e-05
0.015,564.4,4.256e-05,3.834234234234234e-05
0.0175,599.5,4.686e-05,4.221621621621621e-05
0.02,630.9,5.092e-05,4.587387387387387e-05
0.0225,659.2,5.479e-05,4.936036036036036e-05
0.025,684.8,5.851e-05,5.2711711711711705e-05
0.0275,708.0,6.21e-05,5.594594594594594e-05
0.03,729.0,6.558e-05,5.908108108108109e-05
0.035,765.3,7.227e-05,6.51081081081081e-05
0.04,795.3,7.867e-05,7.087387387387387e-05
0.045,819.7,8.486e-05,7.645045045045045e-05
0.05,839.3,9.089e-05,8.188288288288288e-05
0.055,854.5,9.679e-05,8.719819819819818e-05
0.06,866.0,0.0001026,9.243243243243244e-05
0.065,874.2,0.0001083,9.756756756756757e-05
0.07,879.5,0.000114,0.0001027027027027
0.075,882.4,0.0001197,0.0001078378378378
0.08,883.0,0.0001254,0.0001129729729729
0.085,881.8,0.000131,0.000118018018018
0.09,879.0,0.0001367,0.0001231531531531
0.095,874.8,0.0001424,0.0001282882882882
0.1,869.5,0.0001482,0.0001335135135135
0.125,830.8,0.0001775,0.0001599099099099
0.15,783.0,0.0002085,0.0001878378378378
0.175,734.4,0.0002415,0.0002175675675675
0.2,688.9,0.0002766,0.0002491891891891
0.225,648.7,0.0003141,0.0002829729729729
0.25,613.5,0.0003537,0.0003186486486486
0.275,582.4,0.0003955,0.0003563063063063
0.3,554.8,0.0004395,0.0003959459459459
0.35,507.6,0.0005339,0.0004809909909909
0.4,468.9,0.0006365,0.0005734234234234
0.45,436.4,0.0007471,0.000673063063063
0.5,408.7,0.0008656,0.0007798198198198
0.55,384.8,0.0009917,0.0008934234234234
0.6,363.8,0.001125,0.0010135135135135
0.65,345.3,0.001267,0.0011414414414414
0.7,328.7,0.001415,0.0012747747747747
0.75,313.9,0.001571,0.0014153153153153
0.8,300.5,0.001734,0.0015621621621621
0.85,288.4,0.001903,0.0017144144144144
0.9,277.4,0.00208,0.0018738738738738
0.95,267.2,0.002264,0.0020396396396396
1.0,257.9,0.002454,0.0022108108108108
1.25,220.5,0.003506,0.0031585585585585
1.5,193.6,0.004719,0.0042513513513513
1.75,173.1,0.006087,0.0054837837837837
2.0,157.0,0.007606,0.0068522522522522
2.25,143.9,0.009271,0.0083522522522522
2.5,133.0,0.01108,0.0099819819819819
2.75,123.9,0.01303,0.0117387387387387
3.0,116.0,0.01511,0.0136126126126126
3.5,103.2,0.01969,0.0177387387387387
4.0,93.1,0.0248,0.0223423423423423
4.5,85.0,0.03043,0.0274144144144144
5.0,78.31,0.03657,0.0329459459459459
5.5,72.69,0.0432,0.0389189189189189
6.0,67.88,0.05032,0.0453333333333333
6.5,63.73,0.05793,0.0521891891891891
7.0,60.09,0.06601,0.0594684684684684
7.5,56.88,0.07457,0.0671801801801801
8.0,54.03,0.08359,0.0753063063063063
8.5,51.48,0.09307,0.0838468468468468
