Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,188.4,6.108e-06,5.708411214953271e-06
0.0015,213.1,8.585e-06,8.023364485981308e-06
0.002,235.7,1.081e-05,1.0102803738317757e-05
0.0025,256.6,1.285e-05,1.2009345794392525e-05
0.003,276.1,1.472e-05,1.375700934579439e-05
0.004,311.3,1.813e-05,1.694392523364486e-05
0.005,343.2,2.118e-05,1.9794392523364487e-05
0.006,372.4,2.398e-05,2.2411214953271023e-05
0.007,399.5,2.657e-05,2.483177570093458e-05
0.008,424.9,2.9e-05,2.7102803738317755e-05
0.009,448.9,3.129e-05,2.924299065420561e-05
0.01,471.7,3.346e-05,3.127102803738318e-05
0.0125,516.5,3.851e-05,3.599065420560748e-05
0.015,555.6,4.317e-05,4.034579439252336e-05
0.0175,590.4,4.754e-05,4.442990654205608e-05
0.02,621.6,5.166e-05,4.8280373831775694e-05
0.0225,649.8,5.559e-05,5.195327102803738e-05
0.025,675.2,5.936e-05,5.547663551401869e-05
0.0275,698.3,6.3e-05,5.887850467289719e-05
0.03,719.3,6.653e-05,6.217757009345794e-05
0.035,755.7,7.331e-05,6.851401869158878e-05
0.04,785.7,7.979e-05,7.457009345794391e-05
0.045,810.2,8.605e-05,8.042056074766355e-05
0.05,829.8,9.215e-05,8.61214953271028e-05
0.055,845.1,9.812e-05,9.170093457943923e-05
0.06,856.8,0.000104,9.719626168224298e-05
0.065,865.1,0.0001098,0.0001026168224299
0.07,870.6,0.0001156,0.0001080373831775
0.075,873.6,0.0001213,0.0001133644859813
0.08,874.5,0.000127,0.000118691588785
0.085,873.4,0.0001327,0.0001240186915887
0.09,870.7,0.0001385,0.0001294392523364
0.095,866.7,0.0001442,0.0001347663551401
0.1,861.4,0.00015,0.0001401869158878
0.125,823.3,0.0001796,0.0001678504672897
0.15,776.0,0.0002109,0.0001971028037383
0.175,727.9,0.0002442,0.0002282242990654
0.2,682.9,0.0002796,0.0002613084112149
0.225,643.8,0.0003174,0.0002966355140186
0.25,609.9,0.0003573,0.0003339252336448
0.275,580.1,0.0003993,0.0003731775700934
0.3,553.5,0.0004435,0.0004144859813084
0.35,507.9,0.0005379,0.0005027102803738
0.4,470.1,0.0006403,0.0005984112149532
0.45,438.1,0.0007505,0.0007014018691588
0.5,410.5,0.0008685,0.0008116822429906
0.55,386.5,0.0009941,0.0009290654205607
0.6,365.4,0.001127,0.0010532710280373
0.65,346.8,0.001268,0.0011850467289719
0.7,330.2,0.001416,0.0013233644859813
0.75,315.3,0.001571,0.0014682242990654
0.8,301.8,0.001733,0.0016196261682242
0.85,289.7,0.001902,0.0017775700934579
0.9,278.6,0.002078,0.0019420560747663
0.95,268.4,0.002261,0.0021130841121495
1.0,259.0,0.00245,0.0022897196261682
1.25,221.4,0.003498,0.0032691588785046
1.5,194.4,0.004706,0.0043981308411214
1.75,173.8,0.006069,0.0056719626168224
2.0,157.6,0.007581,0.0070850467289719
2.25,144.4,0.00924,0.0086355140186915
2.5,133.5,0.01104,0.0103177570093457
2.75,124.3,0.01298,0.0121308411214953
3.0,116.4,0.01506,0.0140747663551401
3.5,103.5,0.01963,0.0183457943925233
4.0,93.44,0.02472,0.0231028037383177
4.5,85.31,0.03032,0.0283364485981308
5.0,78.59,0.03644,0.0340560747663551
5.5,72.95,0.04304,0.0402242990654205
6.0,68.13,0.05014,0.0468598130841121
6.5,63.96,0.05772,0.0539439252336448
7.0,60.31,0.06578,0.0614766355140186
7.5,57.09,0.0743,0.0694392523364486
8.0,54.23,0.08329,0.0778411214953271
8.5,51.67,0.09274,0.0866728971962616
9.0,49.36,0.1026,0.0958878504672897
9.5,47.26,0.113,0.105607476635514
10.0,45.35,0.1238,0.1157009345794392
12.5,37.89,0.1844,0.1723364485981308
15.0,32.69,0.2557,0.2389719626168224
17.5,28.85,0.3372,0.3151401869158878
20.0,25.88,0.4289,0.4008411214953271
25.0,21.59,0.6414,0.5994392523364486
27.5,19.98,0.7619,0.7120560747663551
30.0,18.62,0.8916,0.8332710280373831
35.0,16.44,1.178,1.1009345794392522
40.0,14.77,1.499,1.4009345794392525
45.0,13.44,1.855,1.733644859813084
50.0,12.36,2.243,2.0962616822429903
55.0,11.46,2.664,2.4897196261682244
60.0,10.7,3.116,2.91214953271028
65.0,10.05,3.598,3.362616822429906
70.0,9.487,4.111,3.842056074766355
75.0,8.995,4.652,4.347663551401869
80.0,8.561,5.222,4.880373831775701
85.0,8.174,5.82,5.439252336448599
90.0,7.828,6.445,6.0233644859813085
95.0,7.516,7.097,6.632710280373832
100.0,7.234,7.775,7.266355140186916
125.0,6.145,11.54,10.78504672897196
150.0,5.403,15.89,14.850467289719626
175.0,4.866,20.78,19.42056074766355
200.0,4.458,26.16,24.44859813084112
225.0,4.138,31.98,29.88785046728972
250.0,3.881,38.23,35.72897196261682
275.0,3.67,44.86,41.92523364485981
300.0,3.493,51.85,48.45794392523364
350.0,3.216,66.79,62.42056074766355
400.0,3.009,82.89,77.46728971962617
450.0,2.849,99.98,93.4392523364486
500.0,2.722,118.0,110.28037383177568
550.0,2.62,136.7,127.75700934579436
600.0,2.536,156.1,145.8878504672897
650.0,2.466,176.1,164.57943925233644
700.0,2.407,196.6,183.73831775700933
750.0,2.357,217.6,203.3644859813084
800.0,2.315,239.0,223.3644859813084
850.0,2.278,260.8,243.73831775700936
900.0,2.246,282.9,264.39252336448595
950.0,2.217,305.3,285.3271028037383
1000.0,2.192,328.0,306.5420560747663
1500.0,2.05,565.3,528.3177570093458
2000.0,2.0,812.7,759.5327102803739
2500.0,1.983,1064.0,994.392523364486
3000.0,1.98,1316.0,1229.9065420560746
4000.0,1.991,1820.0,1700.9345794392525
5000.0,2.01,2321.0,2169.158878504673
6000.0,2.03,2816.0,2631.775700934579
7000.0,2.05,3306.0,3089.7196261682243
8000.0,2.069,3791.0,3542.990654205608
9000.0,2.087,4272.0,3992.523364485981
10000.0,2.104,4750.0,4439.252336448598
