Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,74.24,1.811e-05,2.0122222222222223e-05
0.0015,85.25,2.434e-05,2.7044444444444444e-05
0.002,94.74,2.989e-05,3.3211111111111114e-05
0.0025,103.3,3.494e-05,3.882222222222222e-05
0.003,111.1,3.961e-05,4.401111111111111e-05
0.004,125.2,4.807e-05,5.341111111111111e-05
0.005,137.9,5.567e-05,6.185555555555555e-05
0.006,149.5,6.264e-05,6.96e-05
0.007,160.2,6.909e-05,7.676666666666667e-05
0.008,170.3,7.514e-05,8.348888888888888e-05
0.009,179.8,8.086e-05,8.984444444444444e-05
0.01,188.9,8.628e-05,9.586666666666666e-05
0.0125,207.2,9.889e-05,0.0001098777777777
0.015,223.5,0.0001105,0.0001227777777777
0.0175,238.2,0.0001213,0.0001347777777777
0.02,251.7,0.0001315,0.0001461111111111
0.0225,264.2,0.0001412,0.0001568888888888
0.025,275.7,0.0001505,0.0001672222222222
0.0275,286.5,0.0001594,0.0001771111111111
0.03,296.6,0.000168,0.0001866666666666
0.035,314.9,0.0001843,0.0002047777777777
0.04,331.2,0.0001998,0.000222
0.045,345.7,0.0002145,0.0002383333333333
0.05,358.7,0.0002287,0.0002541111111111
0.055,370.2,0.0002425,0.0002694444444444
0.06,380.5,0.0002558,0.0002842222222222
0.065,389.7,0.0002688,0.0002986666666666
0.07,397.9,0.0002814,0.0003126666666666
0.075,405.1,0.0002939,0.0003265555555555
0.08,411.4,0.0003061,0.0003401111111111
0.085,417.0,0.0003182,0.0003535555555555
0.09,421.8,0.0003301,0.0003667777777777
0.095,425.9,0.0003419,0.0003798888888888
0.1,429.4,0.0003536,0.0003928888888888
0.125,438.9,0.0004111,0.0004567777777777
0.15,438.6,0.000468,0.00052
0.175,431.9,0.0005254,0.0005837777777777
0.2,421.4,0.0005839,0.0006487777777777
0.225,408.7,0.0006441,0.0007156666666666
0.25,395.0,0.0007063,0.0007847777777777
0.275,381.1,0.0007708,0.0008564444444444
0.3,367.5,0.0008376,0.0009306666666666
0.35,339.3,0.0009792,0.001088
0.4,314.1,0.001132,0.0012577777777777
0.45,293.6,0.001297,0.0014411111111111
0.5,277.5,0.001473,0.0016366666666666
0.55,264.6,0.001657,0.0018411111111111
