Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,148.9,9.363e-06,1.1587871287128713e-05
0.0015,173.9,1.244e-05,1.5396039603960393e-05
0.002,195.6,1.515e-05,1.875e-05
0.0025,214.9,1.758e-05,2.1757425742574257e-05
0.003,232.7,1.982e-05,2.452970297029703e-05
0.004,264.6,2.384e-05,2.95049504950495e-05
0.005,293.0,2.743e-05,3.394801980198019e-05
0.006,318.9,3.07e-05,3.799504950495049e-05
0.007,342.9,3.372e-05,4.1732673267326736e-05
0.008,365.4,3.654e-05,4.522277227722772e-05
0.009,386.5,3.92e-05,4.8514851485148506e-05
0.01,406.6,4.172e-05,5.163366336633663e-05
0.0125,446.1,4.758e-05,5.888613861386139e-05
0.015,480.6,5.297e-05,6.55569306930693e-05
0.0175,511.3,5.801e-05,7.179455445544554e-05
0.02,538.9,6.277e-05,7.768564356435643e-05
0.0225,563.8,6.731e-05,8.330445544554456e-05
0.025,586.4,7.165e-05,8.867574257425742e-05
0.0275,606.9,7.584e-05,9.386138613861386e-05
0.03,625.6,7.99e-05,9.888613861386138e-05
0.035,658.1,8.768e-05,0.0001085148514851
0.04,685.0,9.512e-05,0.0001177227722772
0.045,707.0,0.0001023,0.000126608910891
0.05,724.9,0.0001093,0.0001352722772277
0.055,739.1,0.0001161,0.0001436881188118
0.06,750.0,0.0001228,0.0001519801980198
0.065,758.2,0.0001295,0.0001602722772277
0.07,763.8,0.000136,0.0001683168316831
0.075,767.3,0.0001426,0.0001764851485148
0.08,768.9,0.0001491,0.0001845297029702
0.085,768.8,0.0001556,0.0001925742574257
0.09,767.2,0.0001621,0.0002006188118811
0.095,764.4,0.0001686,0.0002086633663366
0.1,760.6,0.0001752,0.0002168316831683
0.125,730.2,0.0002086,0.0002581683168316
0.15,690.6,0.0002438,0.0003017326732673
0.175,649.3,0.0002812,0.0003480198019801
0.2,609.7,0.0003209,0.0003971534653465
0.225,573.5,0.0003632,0.000449504950495
0.25,540.9,0.0004081,0.0005050742574257
0.275,512.1,0.0004556,0.0005638613861386
0.3,486.7,0.0005057,0.0006258663366336
0.35,443.8,0.0006135,0.0007592821782178
0.4,409.1,0.0007309,0.0009045792079207
0.45,380.4,0.0008578,0.0010616336633663
0.5,356.3,0.0009937,0.0012298267326732
0.55,335.6,0.001138,0.0014084158415841
0.6,317.5,0.001292,0.00159900990099
0.65,301.4,0.001453,0.0017982673267326
0.7,287.1,0.001623,0.0020086633663366
0.75,274.3,0.001802,0.0022301980198019
0.8,262.8,0.001988,0.0024603960396039
0.85,252.4,0.002182,0.0027004950495049
0.9,242.9,0.002384,0.0029504950495049
0.95,234.1,0.002594,0.0032103960396039
1.0,226.1,0.002811,0.0034789603960396
1.25,193.9,0.004009,0.0049616336633663
1.5,170.6,0.005387,0.0066670792079207
1.75,152.9,0.006938,0.0085866336633663
2.0,138.9,0.008657,0.010714108910891
2.25,127.4,0.01054,0.0130445544554455
2.5,118.0,0.01258,0.015569306930693
2.75,109.9,0.01478,0.0182920792079207
3.0,103.0,0.01713,0.0212004950495049
3.5,91.75,0.02228,0.0275742574257425
4.0,82.91,0.02802,0.0346782178217821
4.5,75.77,0.03434,0.0425
5.0,69.85,0.04121,0.0510024752475247
5.5,64.86,0.04865,0.0602103960396039
6.0,60.6,0.05663,0.0700866336633663
6.5,56.92,0.06515,0.0806311881188118
7.0,53.69,0.0742,0.0918316831683168
7.5,50.84,0.08377,0.1036757425742574
8.0,48.31,0.09386,0.1161633663366336
8.5,46.04,0.1045,0.1293316831683168
9.0,43.99,0.1156,0.143069306930693
9.5,42.14,0.1272,0.1574257425742574
10.0,40.44,0.1393,0.1724009900990099
12.5,33.82,0.2072,0.2564356435643564
15.0,29.2,0.287,0.3551980198019801
17.5,25.77,0.3784,0.4683168316831683
20.0,23.13,0.4809,0.5951732673267326
25.0,19.31,0.7186,0.8893564356435644
27.5,17.88,0.8533,1.0560643564356431
30.0,16.66,0.9982,1.2353960396039605
35.0,14.72,1.318,1.631188118811881
40.0,13.22,1.677,2.0754950495049505
45.0,12.03,2.074,2.5668316831683167
50.0,11.07,2.508,3.103960396039604
55.0,10.27,2.977,3.684405940594059
60.0,9.587,3.482,4.30940594059406
65.0,9.006,4.02,4.975247524752475
70.0,8.503,4.592,5.683168316831682
75.0,8.063,5.196,6.43069306930693
80.0,7.674,5.832,7.217821782178217
85.0,7.329,6.499,8.043316831683168
90.0,7.019,7.196,8.905940594059405
95.0,6.74,7.923,9.80569306930693
100.0,6.487,8.68,10.742574257425742
125.0,5.512,12.88,15.94059405940594
150.0,4.848,17.73,21.94306930693069
175.0,4.367,23.17,28.675742574257427
200.0,4.001,29.16,36.089108910891085
225.0,3.715,35.66,44.13366336633663
250.0,3.484,42.61,52.73514851485148
275.0,3.295,49.99,61.86881188118812
300.0,3.137,57.78,71.50990099009901
350.0,2.889,74.42,92.1039603960396
400.0,2.703,92.33,114.269801980198
450.0,2.56,111.4,137.87128712871288
500.0,2.446,131.4,162.6237623762376
550.0,2.354,152.2,188.3663366336633
600.0,2.279,173.8,215.0990099009901
650.0,2.216,196.1,242.69801980198017
700.0,2.164,218.9,270.9158415841584
750.0,2.119,242.3,299.8762376237624
800.0,2.081,266.1,329.33168316831683
850.0,2.048,290.3,359.2821782178217
900.0,2.02,314.9,389.7277227722772
950.0,1.995,339.8,420.5445544554455
1000.0,1.974,365.0,451.73267326732673
1500.0,1.86,627.5,776.6089108910891
2000.0,1.83,899.0,1112.6237623762377
2500.0,1.828,1173.0,1451.7326732673266
3000.0,1.838,1446.0,1789.6039603960394
4000.0,1.87,1985.0,2456.683168316832
5000.0,1.907,2515.0,3112.623762376237
6000.0,1.943,3034.0,3754.9504950495048
7000.0,1.976,3545.0,4387.376237623762
8000.0,2.007,4047.0,5008.663366336634
9000.0,2.035,4541.0,5620.049504950494
10000.0,2.062,5030.0,6225.247524752474
