Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,234.8,5.12e-06,4.491228070175439e-06
0.0015,269.0,7.094e-06,6.222807017543861e-06
0.002,299.8,8.853e-06,7.765789473684212e-06
0.0025,327.9,1.045e-05,9.166666666666668e-06
0.003,353.9,1.191e-05,1.0447368421052633e-05
0.004,396.9,1.458e-05,1.2789473684210527e-05
0.005,436.1,1.698e-05,1.4894736842105264e-05
0.006,472.0,1.918e-05,1.6824561403508774e-05
0.007,505.1,2.123e-05,1.862280701754386e-05
0.008,535.2,2.315e-05,2.030701754385965e-05
0.009,563.1,2.497e-05,2.1903508771929826e-05
0.01,589.2,2.67e-05,2.3421052631578947e-05
0.0125,641.5,3.076e-05,2.698245614035088e-05
0.015,685.8,3.453e-05,3.0289473684210533e-05
0.0175,724.5,3.807e-05,3.339473684210527e-05
0.02,758.8,4.144e-05,3.635087719298246e-05
0.0225,789.2,4.467e-05,3.918421052631579e-05
0.025,816.1,4.778e-05,4.191228070175439e-05
0.0275,839.9,5.08e-05,4.456140350877194e-05
0.03,861.1,5.374e-05,4.714035087719298e-05
0.035,898.0,5.942e-05,5.212280701754386e-05
0.04,928.9,6.49e-05,5.692982456140352e-05
0.045,954.1,7.02e-05,6.157894736842106e-05
0.05,973.8,7.539e-05,6.613157894736842e-05
0.055,988.4,8.048e-05,7.059649122807018e-05
0.06,998.7,8.551e-05,7.500877192982457e-05
0.065,1005.0,9.05e-05,7.938596491228072e-05
0.07,1009.0,9.547e-05,8.374561403508773e-05
0.075,1010.0,0.0001004,8.80701754385965e-05
0.08,1008.0,0.0001054,9.24561403508772e-05
0.085,1005.0,0.0001103,9.675438596491228e-05
0.09,999.4,0.0001153,0.0001011403508771
0.095,992.8,0.0001204,0.0001056140350877
0.1,985.1,0.0001254,0.00011
0.125,934.9,0.0001514,0.0001328070175438
0.15,876.5,0.000179,0.0001570175438596
0.175,818.5,0.0002085,0.0001828947368421
0.2,764.5,0.0002402,0.0002107017543859
0.225,715.8,0.000274,0.0002403508771929
0.25,672.5,0.00031,0.0002719298245614
0.275,634.2,0.0003483,0.0003055263157894
0.3,600.3,0.0003889,0.0003411403508771
0.35,543.4,0.0004765,0.0004179824561403
0.4,497.9,0.0005728,0.0005024561403508
0.45,460.8,0.0006773,0.0005941228070175
0.5,430.1,0.0007897,0.0006927192982456
0.55,404.1,0.0009097,0.0007979824561403
0.6,381.4,0.001037,0.000909649122807
0.65,361.5,0.001172,0.0010280701754385
0.7,343.9,0.001314,0.0011526315789473
0.75,328.2,0.001463,0.0012833333333333
0.8,314.0,0.001618,0.001419298245614
0.85,301.3,0.001781,0.0015622807017543
0.9,289.6,0.00195,0.0017105263157894
0.95,278.8,0.002126,0.0018649122807017
1.0,269.0,0.002309,0.0020254385964912
1.25,229.7,0.003319,0.0029114035087719
1.5,201.4,0.004484,0.0039333333333333
1.75,180.0,0.005799,0.0050868421052631
2.0,163.1,0.007261,0.006369298245614
2.25,149.3,0.008865,0.0077763157894736
2.5,138.0,0.01061,0.0093070175438596
2.75,128.4,0.01249,0.0109561403508771
3.0,120.2,0.0145,0.012719298245614
3.5,106.7,0.01893,0.0166052631578947
4.0,96.24,0.02387,0.020938596491228
4.5,87.78,0.02931,0.0257105263157894
5.0,80.81,0.03526,0.0309298245614035
5.5,74.95,0.04169,0.0365701754385964
6.0,69.95,0.0486,0.0426315789473684
6.5,65.63,0.05598,0.0491052631578947
7.0,61.86,0.06383,0.0559912280701754
7.5,58.53,0.07214,0.0632807017543859
8.0,55.58,0.08091,0.0709736842105263
8.5,52.93,0.09014,0.0790701754385965
9.0,50.55,0.0998,0.0875438596491228
9.5,48.39,0.1099,0.0964035087719298
10.0,46.42,0.1205,0.1057017543859649
12.5,38.73,0.1797,0.1576315789473684
15.0,33.39,0.2494,0.2187719298245614
17.5,29.44,0.3293,0.288859649122807
20.0,26.4,0.4192,0.367719298245614
25.0,22.0,0.6276,0.5505263157894738
27.5,20.36,0.7458,0.6542105263157896
30.0,18.97,0.8732,0.7659649122807018
35.0,16.74,1.154,1.012280701754386
40.0,15.03,1.47,1.2894736842105263
45.0,13.67,1.82,1.5964912280701755
50.0,12.56,2.202,1.9315789473684213
55.0,11.65,2.615,2.293859649122808
60.0,10.87,3.06,2.68421052631579
65.0,10.21,3.535,3.1008771929824563
70.0,9.638,4.039,3.542982456140351
75.0,9.136,4.572,4.010526315789474
80.0,8.694,5.133,4.502631578947369
85.0,8.3,5.722,5.019298245614036
90.0,7.947,6.338,5.559649122807018
95.0,7.63,6.98,6.1228070175438605
100.0,7.343,7.648,6.708771929824562
125.0,6.234,11.36,9.964912280701755
150.0,5.48,15.65,13.728070175438598
175.0,4.933,20.47,17.956140350877195
200.0,4.518,25.77,22.60526315789474
225.0,4.193,31.52,27.649122807017545
250.0,3.932,37.69,33.06140350877193
275.0,3.717,44.23,38.79824561403509
300.0,3.538,51.13,44.85087719298246
350.0,3.257,65.89,57.798245614035096
400.0,3.046,81.78,71.73684210526316
