Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,119.5,1.158e-05,1.0148992112182296e-05
0.0015,139.0,1.542e-05,1.3514460999123576e-05
0.002,155.8,1.881e-05,1.6485539000876425e-05
0.0025,170.9,2.187e-05,1.9167397020157755e-05
0.003,184.7,2.468e-05,2.1630148992112184e-05
0.004,209.6,2.976e-05,2.608238387379492e-05
0.005,231.8,3.429e-05,3.0052585451358457e-05
0.006,252.0,3.842e-05,3.367221735319895e-05
0.007,270.8,4.225e-05,3.702892199824715e-05
0.008,288.3,4.582e-05,4.015775635407537e-05
0.009,304.9,4.919e-05,4.311130587204207e-05
0.01,320.6,5.239e-05,4.591586327782647e-05
0.0125,351.8,5.982e-05,5.242769500438212e-05
0.015,379.3,6.666e-05,5.842243645924628e-05
0.0175,403.9,7.304e-05,6.401402278702892e-05
0.02,426.2,7.906e-05,6.929009640666082e-05
0.0225,446.5,8.479e-05,7.431200701139352e-05
0.025,465.0,9.027e-05,7.91148115687993e-05
0.0275,482.1,9.555e-05,8.374233128834356e-05
0.03,497.8,0.0001007,8.825591586327782e-05
0.035,525.5,0.0001104,9.67572304995618e-05
0.04,549.2,0.0001197,0.0001049079754601
0.045,569.3,0.0001287,0.0001127957931638
0.05,586.2,0.0001373,0.0001203330411919
0.055,600.4,0.0001457,0.0001276950043821
0.06,612.2,0.000154,0.0001349693251533
0.065,621.8,0.0001621,0.0001420683610867
0.07,629.4,0.0001701,0.0001490797546012
0.075,635.3,0.000178,0.0001560035056967
0.08,639.6,0.0001858,0.0001628396143733
0.085,642.5,0.0001936,0.0001696757230499
0.09,644.2,0.0002014,0.0001765118317265
0.095,644.8,0.0002091,0.0001832602979842
0.1,644.4,0.0002169,0.0001900964066608
0.125,631.4,0.000256,0.0002243645924627
0.15,607.4,0.0002963,0.0002596844872918
0.175,579.0,0.0003385,0.0002966695880806
0.2,549.7,0.0003828,0.0003354951796669
0.225,521.4,0.0004295,0.0003764241893076
0.25,495.1,0.0004787,0.0004195442594215
0.275,471.4,0.0005305,0.0004649430324276
0.3,450.1,0.0005848,0.000512532865907
0.35,413.6,0.0007008,0.0006141980718667
0.4,383.4,0.0008265,0.0007243645924627
0.45,358.1,0.0009615,0.0008426818580192
0.5,336.5,0.001106,0.0009693251533742
0.55,317.8,0.001259,0.0011034180543382
0.6,301.3,0.00142,0.0012445223488168
0.65,286.6,0.00159,0.0013935144609991
0.7,273.4,0.001769,0.0015503943908851
0.75,261.5,0.001956,0.0017142857142857
0.8,250.7,0.002152,0.00188606485539
0.85,241.0,0.002355,0.0020639789658194
0.9,232.1,0.002566,0.0022489044697633
0.95,223.8,0.002786,0.002441717791411
1.0,216.3,0.003013,0.0026406660823838
1.25,185.8,0.004265,0.003737949167397
1.5,163.8,0.005701,0.0049964943032427
1.75,146.8,0.007316,0.0064119193689745
2.0,133.5,0.009104,0.0079789658194566
2.25,122.6,0.01106,0.0096932515337423
2.5,113.6,0.01318,0.0115512708150744
2.75,105.9,0.01546,0.0135495179666958
3.0,99.34,0.0179,0.0156879929886064
3.5,88.57,0.02324,0.0203680981595092
4.0,80.11,0.02919,0.0255828220858895
4.5,73.26,0.03572,0.0313058720420683
5.0,67.6,0.04283,0.0375372480280455
5.5,62.84,0.05051,0.0442681858019281
6.0,58.75,0.05874,0.0514811568799298
6.5,55.21,0.06753,0.0591849255039439
7.0,52.11,0.07685,0.0673531989482909
7.5,49.36,0.08672,0.0760035056967572
8.0,46.93,0.09711,0.0851095530236634
8.5,44.74,0.108,0.0946538124452234
9.0,42.76,0.1195,0.1047326906222611
9.5,40.97,0.1314,0.1151621384750219
10.0,39.34,0.1439,0.1261174408413672
12.5,32.93,0.2136,0.1872042068361087
15.0,28.46,0.2955,0.2589833479404031
17.5,25.15,0.3892,0.3411042944785276
20.0,22.58,0.4943,0.433216476774759
25.0,18.87,0.7376,0.6464504820333041
27.5,17.48,0.8754,0.7672217353198948
30.0,16.29,1.024,0.8974583698510079
35.0,14.4,1.351,1.1840490797546013
40.0,12.94,1.718,1.5056967572304996
45.0,11.78,2.123,1.860648553900088
50.0,10.84,2.566,2.248904469763365
55.0,10.06,3.045,2.668711656441717
60.0,9.396,3.56,3.120070113935145
65.0,8.829,4.109,3.6012269938650308
70.0,8.338,4.692,4.112182296231376
75.0,7.908,5.308,4.652059596844873
80.0,7.528,5.957,5.220858895705521
85.0,7.19,6.636,5.815950920245399
90.0,6.887,7.347,6.43908851884312
95.0,6.614,8.088,7.088518843120069
100.0,6.367,8.859,7.764241893076249
125.0,5.413,13.14,11.516213847502192
150.0,4.763,18.08,15.845749342681856
175.0,4.291,23.62,20.701139351446106
200.0,3.933,29.71,26.038562664329536
225.0,3.652,36.32,31.83172655565293
250.0,3.426,43.39,38.02804557405784
275.0,3.241,50.9,44.6099912357581
300.0,3.086,58.81,51.54250657318142
