Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,283.8,4.125e-06,4.583333333333333e-06
0.0015,323.8,5.761e-06,6.401111111111111e-06
0.002,360.0,7.224e-06,8.026666666666665e-06
0.0025,393.4,8.552e-06,9.502222222222225e-06
0.003,424.3,9.774e-06,1.086e-05
0.004,475.0,1.2e-05,1.3333333333333332e-05
0.005,521.4,1.401e-05,1.5566666666666664e-05
0.006,563.9,1.585e-05,1.761111111111111e-05
0.007,603.1,1.756e-05,1.951111111111112e-05
0.008,638.7,1.917e-05,2.13e-05
0.009,671.5,2.07e-05,2.3e-05
0.01,702.1,2.215e-05,2.461111111111111e-05
0.0125,763.5,2.556e-05,2.84e-05
0.015,815.1,2.873e-05,3.192222222222222e-05
0.0175,859.9,3.171e-05,3.5233333333333334e-05
0.02,899.4,3.455e-05,3.8388888888888885e-05
0.0225,934.3,3.728e-05,4.142222222222222e-05
0.025,964.9,3.991e-05,4.434444444444445e-05
0.0275,991.7,4.247e-05,4.718888888888888e-05
0.03,1015.0,4.496e-05,4.995555555555556e-05
0.035,1056.0,4.978e-05,5.531111111111111e-05
0.04,1090.0,5.444e-05,6.048888888888889e-05
0.045,1118.0,5.897e-05,6.552222222222222e-05
0.05,1138.0,6.34e-05,7.044444444444444e-05
0.055,1153.0,6.776e-05,7.528888888888889e-05
0.06,1163.0,7.207e-05,8.007777777777778e-05
0.065,1168.0,7.636e-05,8.484444444444444e-05
0.07,1170.0,8.064e-05,8.96e-05
0.075,1169.0,8.491e-05,9.434444444444444e-05
0.08,1165.0,8.92e-05,9.911111111111112e-05
0.085,1159.0,9.35e-05,0.0001038888888888
0.09,1151.0,9.783e-05,0.0001087
0.095,1142.0,0.0001022,0.0001135555555555
0.1,1131.0,0.0001066,0.0001184444444444
0.125,1066.0,0.0001293,0.0001436666666666
0.15,993.7,0.0001536,0.0001706666666666
0.175,923.7,0.0001797,0.0001996666666666
0.2,859.6,0.0002078,0.0002308888888888
0.225,802.4,0.0002379,0.0002643333333333
0.25,751.9,0.0002701,0.0003001111111111
0.275,707.5,0.0003044,0.0003382222222222
0.3,668.5,0.0003408,0.0003786666666666
0.35,602.4,0.0004197,0.0004663333333333
0.4,549.4,0.0005067,0.000563
0.45,506.7,0.0006016,0.0006684444444444
0.5,471.8,0.0007039,0.0007821111111111
0.55,442.7,0.0008134,0.0009037777777777
0.6,417.3,0.0009298,0.0010331111111111
0.65,395.3,0.001053,0.0011699999999999
0.7,375.7,0.001183,0.0013144444444444
0.75,358.3,0.001319,0.0014655555555555
0.8,342.6,0.001462,0.0016244444444444
0.85,328.5,0.001611,0.00179
0.9,315.5,0.001766,0.0019622222222222
0.95,303.7,0.001928,0.0021422222222222
1.0,292.8,0.002096,0.0023288888888888
1.25,249.5,0.003024,0.00336
1.5,218.5,0.004098,0.0045533333333333
1.75,195.0,0.005311,0.0059011111111111
2.0,176.4,0.006661,0.0074011111111111
2.25,161.4,0.008144,0.0090488888888888
2.5,149.0,0.009757,0.0108411111111111
2.75,138.6,0.0115,0.0127777777777777
3.0,129.6,0.01337,0.0148555555555555
3.5,115.0,0.01747,0.0194111111111111
4.0,103.6,0.02206,0.0245111111111111
4.5,94.39,0.02712,0.0301333333333333
5.0,86.83,0.03265,0.0362777777777777
5.5,80.49,0.03864,0.0429333333333333
6.0,75.08,0.04507,0.0500777777777777
6.5,70.41,0.05195,0.0577222222222222
7.0,66.34,0.05927,0.0658555555555555
7.5,62.75,0.06703,0.0744777777777777
8.0,59.56,0.07521,0.0835666666666666
8.5,56.71,0.08381,0.0931222222222222
9.0,54.14,0.09284,0.1031555555555555
9.5,51.81,0.1023,0.1136666666666666
10.0,49.69,0.1121,0.1245555555555555
12.5,41.42,0.1675,0.1861111111111111
15.0,35.68,0.2327,0.2585555555555555
17.5,31.44,0.3076,0.3417777777777777
20.0,28.18,0.3917,0.4352222222222222
25.0,23.47,0.5871,0.6523333333333333
27.5,21.71,0.6979,0.7754444444444444
30.0,20.22,0.8173,0.9081111111111112
35.0,17.83,1.081,1.201111111111111
40.0,16.0,1.378,1.5311111111111109
45.0,14.55,1.706,1.895555555555556
50.0,13.37,2.065,2.2944444444444443
55.0,12.4,2.453,2.725555555555556
60.0,11.57,2.871,3.19
65.0,10.86,3.317,3.685555555555556
70.0,10.25,3.791,4.212222222222222
75.0,9.717,4.293,4.7700000000000005
80.0,9.245,4.82,5.355555555555556
85.0,8.825,5.374,5.971111111111111
90.0,8.449,5.953,6.614444444444445
95.0,8.111,6.557,7.285555555555556
100.0,7.805,7.186,7.984444444444444
125.0,6.624,10.68,11.866666666666664
150.0,5.82,14.72,16.355555555555554
175.0,5.238,19.26,21.4
200.0,4.797,24.25,26.944444444444443
225.0,4.451,29.67,32.96666666666667
250.0,4.173,35.47,39.41111111111111
275.0,3.945,41.64,46.266666666666666
300.0,3.754,48.14,53.48888888888889
350.0,3.454,62.05,68.94444444444444
400.0,3.231,77.04,85.60000000000001
450.0,3.058,92.96,103.28888888888888
500.0,2.921,109.7,121.88888888888889
550.0,2.81,127.2,141.33333333333334
600.0,2.719,145.3,161.44444444444446
650.0,2.643,163.9,182.11111111111111
700.0,2.577,183.1,203.44444444444443
750.0,2.521,202.7,225.2222222222222
800.0,2.473,222.7,247.44444444444443
850.0,2.431,243.1,270.1111111111111
900.0,2.395,263.9,293.2222222222222
950.0,2.362,284.9,316.55555555555554
1000.0,2.334,306.2,340.22222222222223
1500.0,2.175,529.4,588.2222222222222
2000.0,2.117,763.0,847.7777777777777
2500.0,2.096,1001.0,1112.2222222222222
3000.0,2.091,1240.0,1377.7777777777778
4000.0,2.1,1717.0,1907.7777777777776
5000.0,2.119,2191.0,2434.4444444444443
6000.0,2.14,2661.0,2956.6666666666665
7000.0,2.16,3126.0,3473.333333333333
8000.0,2.18,3587.0,3985.555555555556
9000.0,2.199,4043.0,4492.222222222222
10000.0,2.216,4496.0,4995.555555555556
