Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,70.27,1.948e-05,5.106159895150721e-06
0.0015,82.71,2.597e-05,6.807339449541285e-06
0.002,93.45,3.165e-05,8.296199213630406e-06
0.0025,103.1,3.674e-05,9.630406290956747e-06
0.003,111.8,4.139e-05,1.0849279161205768e-05
0.004,127.1,4.977e-05,1.3045871559633027e-05
0.005,140.7,5.724e-05,1.5003931847968546e-05
0.006,153.0,6.405e-05,1.6788990825688073e-05
0.007,164.4,7.035e-05,1.8440366972477064e-05
0.008,175.0,7.624e-05,1.998427260812581e-05
0.009,184.8,8.18e-05,2.1441677588466578e-05
0.01,194.1,8.707e-05,2.2823066841415468e-05
0.0125,212.6,9.935e-05,2.6041939711664484e-05
0.015,228.7,0.0001107,2.901703800786369e-05
0.0175,242.8,0.0001213,3.179554390563565e-05
0.02,255.5,0.0001313,3.441677588466579e-05
0.0225,266.9,0.0001409,3.693315858453473e-05
0.025,277.2,0.0001501,3.9344692005242464e-05
0.0275,286.4,0.0001589,4.1651376146788994e-05
0.03,294.8,0.0001675,4.390563564875492e-05
0.035,309.4,0.0001841,4.825688073394496e-05
0.04,321.5,0.0001999,5.239842726081258e-05
0.045,331.5,0.0002152,5.640891218872871e-05
0.05,339.5,0.0002301,6.031454783748362e-05
0.055,345.7,0.0002447,6.414154652686762e-05
0.06,350.4,0.0002591,6.791612057667103e-05
0.065,353.7,0.0002733,7.163826998689384e-05
0.07,356.0,0.0002874,7.533420707732634e-05
0.075,357.3,0.0003014,7.900393184796854e-05
0.08,357.7,0.0003154,8.267365661861076e-05
0.085,357.4,0.0003293,8.631716906946265e-05
0.09,356.4,0.0003434,9.001310615989514e-05
0.095,355.0,0.0003574,9.368283093053736e-05
0.1,353.1,0.0003715,9.737876802096983e-05
0.125,339.5,0.0004436,0.0001162778505897
0.15,322.8,0.0005191,0.0001360681520314
0.175,306.0,0.0005987,0.0001569331585845
0.2,290.3,0.0006826,0.0001789252948885
0.225,276.0,0.000771,0.0002020969855832
0.25,263.3,0.0008637,0.0002263958060288
0.275,252.0,0.0009608,0.0002518479685452
0.3,241.8,0.001062,0.000278374836173
0.35,224.6,0.001277,0.0003347313237221
0.4,210.5,0.001507,0.0003950196592398
0.45,198.5,0.001752,0.000459239842726
0.5,188.2,0.002011,0.0005271297509829
0.55,179.2,0.002283,0.0005984272608125
0.6,171.2,0.002569,0.0006733944954128
0.65,164.0,0.002867,0.0007515072083879
0.7,157.6,0.003178,0.0008330275229357
0.75,151.8,0.003501,0.0009176933158584
0.8,146.4,0.003837,0.0010057667103538
0.85,141.4,0.004184,0.0010967234600262
0.9,136.7,0.004544,0.0011910878112712
0.95,132.3,0.004916,0.0012885976408912
1.0,128.1,0.0053,0.0013892529488859
1.25,110.7,0.007406,0.0019412844036697
1.5,97.83,0.009813,0.0025722149410222
1.75,87.99,0.01251,0.0032791612057667
2.0,80.26,0.01549,0.0040602883355176
2.25,74.05,0.01874,0.0049121887287024
2.5,68.95,0.02224,0.005829619921363
2.75,64.69,0.02599,0.0068125819134993
3.0,61.08,0.02997,0.0078558322411533
3.5,55.23,0.03859,0.0101153342070773
4.0,50.57,0.04806,0.0125976408912188
4.5,46.72,0.05836,0.0152975098296199
5.0,43.51,0.06946,0.0182070773263433
5.5,40.77,0.08134,0.0213211009174311
6.0,38.38,0.09398,0.0246343381389252
6.5,36.3,0.1074,0.0281520314547837
7.0,34.45,0.1215,0.0318479685452162
7.5,32.82,0.1364,0.0357536041939711
8.0,31.35,0.152,0.0398427260812581
8.5,30.02,0.1683,0.0441153342070773
9.0,28.81,0.1853,0.0485714285714285
9.5,27.71,0.203,0.0532110091743119
10.0,26.71,0.2214,0.0580340760157273
12.5,22.69,0.3233,0.0847444298820445
15.0,19.84,0.4415,0.1157273918741808
