Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,232.3,5.235e-06,5.072674418604651e-06
0.0015,266.7,7.227e-06,7.002906976744186e-06
0.002,297.5,9e-06,8.720930232558139e-06
0.0025,325.6,1.061e-05,1.0281007751937984e-05
0.003,351.6,1.208e-05,1.1705426356589149e-05
0.004,392.7,1.477e-05,1.4312015503875969e-05
0.005,430.3,1.72e-05,1.6666666666666667e-05
0.006,464.8,1.943e-05,1.882751937984496e-05
0.007,496.5,2.151e-05,2.084302325581395e-05
0.008,525.0,2.347e-05,2.2742248062015506e-05
0.009,551.0,2.533e-05,2.4544573643410853e-05
0.01,575.2,2.71e-05,2.625968992248062e-05
0.0125,624.7,3.127e-05,3.0300387596899225e-05
0.015,666.3,3.514e-05,3.4050387596899225e-05
0.0175,702.4,3.879e-05,3.758720930232558e-05
0.02,734.5,4.227e-05,4.09593023255814e-05
0.0225,762.9,4.561e-05,4.4195736434108525e-05
0.025,787.8,4.883e-05,4.731589147286821e-05
0.0275,809.8,5.196e-05,5.034883720930232e-05
0.03,829.3,5.501e-05,5.3304263565891466e-05
0.035,863.8,6.091e-05,5.902131782945736e-05
0.04,893.5,6.66e-05,6.453488372093023e-05
0.045,918.4,7.212e-05,6.988372093023255e-05
0.05,938.2,7.75e-05,7.50968992248062e-05
0.055,953.0,8.279e-05,8.022286821705426e-05
0.06,963.5,8.8e-05,8.527131782945736e-05
0.065,970.4,9.317e-05,9.0281007751938e-05
0.07,974.4,9.831e-05,9.526162790697676e-05
0.075,975.8,0.0001034,0.0001001937984496
0.08,974.8,0.0001086,0.0001052325581395
0.085,971.9,0.0001137,0.0001101744186046
0.09,967.4,0.0001189,0.0001152131782945
0.095,961.5,0.000124,0.0001201550387596
0.1,954.4,0.0001293,0.0001252906976744
0.125,907.3,0.0001561,0.0001512596899224
0.15,851.7,0.0001845,0.0001787790697674
0.175,796.1,0.0002149,0.0002082364341085
0.2,744.1,0.0002474,0.0002397286821705
0.225,697.2,0.0002821,0.0002733527131782
0.25,655.4,0.0003191,0.0003092054263565
0.275,618.5,0.0003584,0.0003472868217054
0.3,585.9,0.0003999,0.0003875
0.35,531.3,0.0004897,0.0004745155038759
0.4,487.6,0.000588,0.0005697674418604
0.45,451.7,0.0006947,0.0006731589147286
0.5,421.8,0.0008093,0.0007842054263565
0.55,396.3,0.0009317,0.0009028100775193
0.6,374.0,0.001062,0.0010290697674418
0.65,354.7,0.001199,0.0011618217054263
0.7,337.5,0.001344,0.0013023255813953
0.75,322.2,0.001495,0.0014486434108527
0.8,308.4,0.001654,0.0016027131782945
0.85,295.9,0.001819,0.0017625968992248
0.9,284.5,0.001992,0.0019302325581395
0.95,274.0,0.002171,0.0021036821705426
1.0,264.3,0.002357,0.0022839147286821
1.25,225.9,0.003384,0.0032790697674418
1.5,198.3,0.004568,0.0044263565891472
1.75,177.2,0.005904,0.0057209302325581
2.0,160.6,0.007388,0.0071589147286821
2.25,147.2,0.009015,0.008735465116279
2.5,136.0,0.01078,0.0104457364341085
2.75,126.6,0.01269,0.0122965116279069
3.0,118.5,0.01473,0.0142732558139534
3.5,105.3,0.01922,0.0186240310077519
4.0,94.9,0.02423,0.0234786821705426
4.5,86.57,0.02975,0.0288275193798449
5.0,79.69,0.03578,0.0346705426356589
5.5,73.92,0.0423,0.0409883720930232
6.0,68.99,0.04931,0.0477810077519379
6.5,64.73,0.05679,0.0550290697674418
7.0,61.01,0.06475,0.0627422480620155
7.5,57.73,0.07318,0.0709108527131782
8.0,54.82,0.08207,0.0795251937984496
8.5,52.21,0.09142,0.0885852713178294
9.0,49.86,0.1012,0.0980620155038759
9.5,47.73,0.1115,0.1080426356589147
10.0,45.79,0.1222,0.1184108527131782
12.5,38.21,0.1822,0.1765503875968992
15.0,32.94,0.2529,0.2450581395348837
17.5,29.04,0.3339,0.3235465116279069
20.0,26.04,0.425,0.4118217054263565
25.0,21.71,0.6363,0.6165697674418604
27.5,20.08,0.7562,0.7327519379844961
30.0,18.71,0.8852,0.8577519379844961
35.0,16.51,1.17,1.133720930232558
40.0,14.82,1.491,1.4447674418604652
45.0,13.48,1.845,1.7877906976744184
50.0,12.39,2.232,2.162790697674419
55.0,11.49,2.651,2.568798449612403
60.0,10.73,3.102,3.005813953488372
65.0,10.07,3.583,3.4718992248062017
70.0,9.509,4.094,3.967054263565892
75.0,9.014,4.635,4.491279069767441
80.0,8.577,5.203,5.041666666666667
85.0,8.189,5.8,5.620155038759689
90.0,7.841,6.424,6.224806201550388
95.0,7.528,7.075,6.85562015503876
100.0,7.245,7.753,7.512596899224806
125.0,6.151,11.52,11.162790697674415
150.0,5.407,15.86,15.368217054263566
175.0,4.867,20.75,20.106589147286822
200.0,4.458,26.12,25.31007751937985
225.0,4.138,31.95,30.9593023255814
250.0,3.88,38.19,37.00581395348837
