Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,14.68,0.0001185,5.524475524475524e-06
0.0015,17.79,0.0001491,6.951048951048951e-06
0.002,20.41,0.0001753,8.172494172494172e-06
0.0025,22.7,0.0001985,9.254079254079256e-06
0.003,24.78,0.0002196,1.0237762237762238e-05
0.004,28.45,0.0002571,1.1986013986013989e-05
0.005,31.68,0.0002904,1.353846153846154e-05
0.006,34.6,0.0003206,1.4946386946386944e-05
0.007,37.28,0.0003484,1.6242424242424243e-05
0.008,39.78,0.0003743,1.744988344988345e-05
0.009,42.12,0.0003988,1.85920745920746e-05
0.01,44.34,0.0004219,1.966899766899767e-05
0.0125,48.86,0.0004755,2.2167832167832168e-05
0.015,52.87,0.0005246,2.4456876456876457e-05
0.0175,56.51,0.0005703,2.658741258741259e-05
0.02,59.85,0.0006133,2.85920745920746e-05
0.0225,62.94,0.000654,3.048951048951049e-05
0.025,65.82,0.0006929,3.23030303030303e-05
0.0275,68.52,0.0007301,3.403729603729604e-05
0.03,71.07,0.0007659,3.570629370629371e-05
0.035,75.74,0.000834,3.888111888111888e-05
0.04,79.95,0.0008982,4.187412587412588e-05
0.045,83.77,0.0009593,4.472261072261072e-05
0.05,87.23,0.001018,4.745920745920746e-05
0.055,90.39,0.001074,5.006993006993007e-05
0.06,93.27,0.001128,5.25874125874126e-05
0.065,95.9,0.001181,5.505827505827506e-05
0.07,98.29,0.001233,5.748251748251748e-05
0.075,100.5,0.001283,5.9813519813519815e-05
0.08,102.4,0.001332,6.20979020979021e-05
0.085,104.2,0.001381,6.438228438228439e-05
0.09,105.8,0.001428,6.657342657342658e-05
0.095,107.3,0.001475,6.876456876456876e-05
0.1,108.6,0.001522,7.095571095571096e-05
0.125,113.0,0.001747,8.144522144522146e-05
0.15,114.8,0.001966,9.165501165501163e-05
0.175,114.6,0.002184,0.0001018181818181
0.2,113.2,0.002403,0.0001120279720279
0.225,111.0,0.002626,0.0001224242424242
0.25,108.3,0.002854,0.0001330536130536
0.275,105.4,0.003088,0.0001439627039627
0.3,102.5,0.003328,0.0001551515151515
0.35,97.06,0.00383,0.0001785547785547
0.4,92.24,0.004358,0.0002031701631701
0.45,88.02,0.004914,0.0002290909090909
0.5,84.32,0.005494,0.0002561305361305
0.55,81.07,0.006099,0.0002843356643356
0.6,78.2,0.006727,0.000313613053613
0.65,75.64,0.007378,0.0003439627039627
0.7,73.34,0.008049,0.0003752447552447
0.75,71.25,0.008741,0.0004075058275058
0.8,69.33,0.009452,0.0004406526806526
0.85,67.57,0.01018,0.000474592074592
0.9,65.94,0.01093,0.0005095571095571
0.95,64.42,0.0117,0.0005454545454545
1.0,63.0,0.01248,0.0005818181818181
1.25,57.05,0.01666,0.0007766899766899
1.5,52.43,0.02124,0.0009902097902097
1.75,48.71,0.02619,0.001220979020979
2.0,45.61,0.0315,0.0014685314685314
2.25,42.97,0.03715,0.0017319347319347
2.5,40.69,0.04313,0.0020107226107226
2.75,38.69,0.04944,0.0023048951048951
3.0,36.93,0.05605,0.0026130536130536
3.5,33.93,0.0702,0.0032727272727272
4.0,31.47,0.08551,0.0039864801864801
4.5,29.41,0.102,0.0047552447552447
5.0,27.65,0.1195,0.0055710955710955
5.5,26.12,0.1381,0.0064382284382284
6.0,24.78,0.1578,0.0073566433566433
6.5,23.6,0.1785,0.0083216783216783
7.0,22.54,0.2001,0.0093286713286713
7.5,21.59,0.2228,0.0103869463869463
8.0,20.74,0.2465,0.0114918414918414
8.5,19.95,0.271,0.0126340326340326
9.0,19.24,0.2966,0.0138275058275058
9.5,18.58,0.323,0.015058275058275
10.0,17.97,0.3504,0.0163356643356643
12.5,15.52,0.5006,0.0233379953379953
15.0,13.73,0.6722,0.0313379953379953
17.5,12.36,0.8644,0.0402983682983682
20.0,11.28,1.076,0.0501631701631701
25.0,9.651,1.557,0.0725874125874125
27.5,9.023,1.826,0.0851282051282051
30.0,8.484,2.111,0.0984149184149184
35.0,7.602,2.735,0.1275058275058275
40.0,6.91,3.426,0.1597202797202797
45.0,6.352,4.182,0.1949650349650349
50.0,5.891,5.0,0.2331002331002331
55.0,5.503,5.879,0.274079254079254
60.0,5.172,6.816,0.3177622377622378
65.0,4.886,7.812,0.3641958041958042
70.0,4.636,8.863,0.4131934731934731
75.0,4.416,9.968,0.4647086247086247
80.0,4.221,11.13,0.518881118881119
85.0,4.046,12.34,0.5752913752913753
90.0,3.888,13.6,0.634032634032634
95.0,3.746,14.91,0.6951048951048951
100.0,3.616,16.27,0.7585081585081586
125.0,3.11,23.75,1.1072261072261074
150.0,2.76,32.31,1.5062937062937063
175.0,2.503,41.84,1.9505827505827509
200.0,2.307,52.26,2.4363636363636365
225.0,2.152,63.49,2.95990675990676
250.0,2.027,75.47,3.5184149184149183
275.0,1.923,88.14,4.109090909090909
300.0,1.837,101.5,4.731934731934732
350.0,1.7,129.8,6.051282051282052
400.0,1.598,160.2,7.468531468531468
450.0,1.518,192.3,8.965034965034965
500.0,1.456,226.0,10.536130536130536
550.0,1.405,260.9,12.163170163170165
600.0,1.364,297.1,13.850815850815852
650.0,1.329,334.2,15.58041958041958
700.0,1.3,372.3,17.356643356643357
750.0,1.276,411.1,19.16550116550117
800.0,1.255,450.6,21.00699300699301
850.0,1.237,490.8,22.881118881118883
900.0,1.222,531.5,24.778554778554778
950.0,1.208,572.6,26.69463869463869
1000.0,1.197,614.2,28.63403263403264
1500.0,1.139,1045.0,48.71794871794872
2000.0,1.126,1487.0,69.32400932400932
2500.0,1.129,1931.0,90.02331002331003
3000.0,1.138,2372.0,110.5827505827506
4000.0,1.161,3243.0,151.1888111888112
5000.0,1.185,4095.0,190.9090909090909
6000.0,1.208,4931.0,229.88344988344988
7000.0,1.229,5751.0,268.1118881118881
