Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,200.1,6.229e-06,5.190833333333334e-06
0.0015,230.6,8.537e-06,7.114166666666667e-06
0.002,257.6,1.059e-05,8.825000000000001e-06
0.0025,282.1,1.244e-05,1.0366666666666668e-05
0.003,304.7,1.414e-05,1.1783333333333336e-05
0.004,340.7,1.724e-05,1.4366666666666667e-05
0.005,373.5,2.004e-05,1.6700000000000003e-05
0.006,403.6,2.261e-05,1.8841666666666663e-05
0.007,431.4,2.501e-05,2.0841666666666667e-05
0.008,456.2,2.726e-05,2.271666666666667e-05
0.009,479.0,2.94e-05,2.45e-05
0.01,500.2,3.144e-05,2.62e-05
0.0125,543.8,3.623e-05,3.0191666666666664e-05
0.015,580.7,4.067e-05,3.389166666666667e-05
0.0175,612.7,4.486e-05,3.738333333333334e-05
0.02,641.4,4.885e-05,4.070833333333334e-05
0.0225,666.8,5.267e-05,4.389166666666667e-05
0.025,689.4,5.635e-05,4.695833333333333e-05
0.0275,709.4,5.993e-05,4.994166666666666e-05
0.03,727.4,6.341e-05,5.284166666666667e-05
0.035,759.2,7.013e-05,5.8441666666666666e-05
0.04,786.9,7.66e-05,6.383333333333334e-05
0.045,810.4,8.285e-05,6.904166666666666e-05
0.05,829.4,8.895e-05,7.4125e-05
0.055,844.0,9.492e-05,7.910000000000001e-05
0.06,855.0,0.0001008,8.4e-05
0.065,862.8,0.0001066,8.883333333333334e-05
0.07,867.9,0.0001124,9.366666666666666e-05
0.075,870.6,0.0001182,9.85e-05
0.08,871.3,0.0001239,0.00010325
0.085,870.2,0.0001296,0.000108
0.09,867.5,0.0001354,0.0001128333333333
0.095,863.6,0.0001412,0.0001176666666666
0.1,858.5,0.000147,0.0001225
0.125,821.6,0.0001767,0.00014725
0.15,775.5,0.000208,0.0001733333333333
0.175,728.1,0.0002413,0.0002010833333333
0.2,683.0,0.0002767,0.0002305833333333
0.225,641.8,0.0003145,0.0002620833333333
0.25,604.8,0.0003546,0.0002955
0.275,571.8,0.0003972,0.000331
0.3,542.5,0.0004421,0.0003684166666666
0.35,492.8,0.0005389,0.0004490833333333
0.4,452.5,0.0006449,0.0005374166666666
0.45,419.5,0.0007598,0.0006331666666666
0.5,392.2,0.0008832,0.000736
0.55,369.0,0.001015,0.0008458333333333
0.6,348.7,0.001154,0.0009616666666666
0.65,331.0,0.001301,0.0010841666666666
0.7,315.2,0.001456,0.0012133333333333
0.75,301.1,0.001619,0.0013491666666666
0.8,288.4,0.001788,0.00149
0.85,276.9,0.001965,0.0016375
0.9,266.3,0.00215,0.0017916666666666
0.95,256.7,0.002341,0.0019508333333333
1.0,247.8,0.002539,0.0021158333333333
1.25,212.1,0.003634,0.0030283333333333
1.5,186.5,0.004894,0.0040783333333333
1.75,166.9,0.006313,0.0052608333333333
2.0,151.4,0.007888,0.0065733333333333
2.25,138.8,0.009614,0.0080116666666666
