Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,182.8,6.92e-06,4.9534717251252685e-06
0.0015,211.0,9.443e-06,6.75948460987831e-06
0.002,235.9,1.168e-05,8.360773085182533e-06
0.0025,258.4,1.371e-05,9.813886900501071e-06
0.003,279.2,1.557e-05,1.1145311381531852e-05
0.004,312.6,1.894e-05,1.3557623478883324e-05
0.005,343.1,2.199e-05,1.574087329992842e-05
0.006,371.0,2.479e-05,1.7745168217609164e-05
0.007,396.7,2.74e-05,1.9613457408733e-05
0.008,419.8,2.985e-05,2.136721546170365e-05
0.009,441.1,3.217e-05,2.302791696492484e-05
0.01,461.0,3.439e-05,2.4617036506800287e-05
0.0125,501.7,3.958e-05,2.833214030064424e-05
0.015,536.3,4.439e-05,3.177523264137437e-05
0.0175,566.5,4.892e-05,3.501789549033643e-05
0.02,593.6,5.323e-05,3.810307802433786e-05
0.0225,617.8,5.736e-05,4.105941302791696e-05
0.025,639.3,6.134e-05,4.3908375089477457e-05
0.0275,658.5,6.519e-05,4.666428060128848e-05
0.03,675.8,6.893e-05,4.934144595561919e-05
0.035,706.6,7.617e-05,5.452397995705082e-05
0.04,733.3,8.311e-05,5.949176807444524e-05
0.045,756.0,8.982e-05,6.429491768074446e-05
0.05,774.6,9.635e-05,6.896921975662133e-05
0.055,789.2,0.0001027,7.351467430207587e-05
0.06,800.3,0.000109,7.802433786685755e-05
0.065,808.5,0.0001152,8.246241947029349e-05
0.07,814.2,0.0001214,8.690050107372942e-05
0.075,817.6,0.0001275,9.126700071581962e-05
0.08,819.1,0.0001336,9.56335003579098e-05
0.085,818.9,0.0001397,0.0001
0.09,817.3,0.0001459,0.0001044380816034
0.095,814.3,0.000152,0.0001088045812455
0.1,810.3,0.0001581,0.0001131710808876
0.125,778.7,0.0001896,0.0001357193987115
0.15,737.4,0.0002225,0.0001592698639942
0.175,694.2,0.0002575,0.0001843235504652
0.2,652.6,0.0002946,0.0002108804581245
0.225,614.3,0.0003341,0.0002391553328561
0.25,579.7,0.000376,0.0002691481746599
0.275,548.8,0.0004204,0.0003009305654974
0.3,521.2,0.0004671,0.0003343593414459
0.35,473.4,0.0005679,0.0004065139584824
0.4,434.4,0.0006783,0.0004855404438081
0.45,402.6,0.000798,0.000571224051539
0.5,376.5,0.0009265,0.0006632068718682
0.55,354.6,0.001063,0.0007609162491052
0.6,335.3,0.001209,0.00086542591267
0.65,318.5,0.001362,0.0009749463135289
0.7,303.5,0.001522,0.0010894774516821
0.75,290.0,0.001691,0.0012104509663564
0.8,277.9,0.001867,0.0013364352183249
0.85,266.9,0.002051,0.0014681460272011
0.9,256.8,0.002242,0.0016048675733715
0.95,247.6,0.00244,0.001746599856836
1.0,239.1,0.002646,0.0018940586972083
1.25,204.9,0.003779,0.0027050823192555
1.5,180.3,0.005083,0.003638511095204
1.75,161.5,0.006551,0.0046893342877594
2.0,146.6,0.008178,0.0058539727988546
2.25,134.5,0.00996,0.0071295633500357
2.5,124.4,0.01189,0.0085110952040085
2.75,115.9,0.01398,0.0100071581961345
3.0,108.6,0.01621,0.0116034359341445
3.5,96.67,0.0211,0.0151037938439513
4.0,87.29,0.02655,0.0190050107372942
4.5,79.73,0.03255,0.0232999284180386
5.0,73.47,0.03909,0.0279813886900501
5.5,68.21,0.04615,0.0330350751610594
6.0,63.72,0.05374,0.0384681460272011
6.5,59.83,0.06185,0.0442734430923407
7.0,56.43,0.07046,0.050436649964209
7.5,53.42,0.07957,0.056957766642806
8.0,50.75,0.08917,0.0638296349319971
8.5,48.36,0.09927,0.0710594130279169
9.0,46.21,0.1098,0.0785969935576234
9.5,44.25,0.1209,0.0865425912670007
10.0,42.47,0.1324,0.0947745168217609
12.5,35.49,0.1971,0.1410880458124552
15.0,30.63,0.2732,0.195561918396564
17.5,27.03,0.3603,0.2579098067287044
20.0,24.26,0.4581,0.3279169649248389
25.0,20.24,0.6848,0.4901932712956334
27.5,18.74,0.8133,0.5821760916249106
30.0,17.46,0.9516,0.6811739441660701
35.0,15.42,1.257,0.8997852541159627
40.0,13.85,1.6,1.145311381531854
45.0,12.61,1.979,1.416607015032212
50.0,11.59,2.393,1.712956335003579
55.0,10.75,2.841,2.033643521832498
