Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,239.0,4.716e-06,5.126086956521739e-06
0.0015,269.3,6.672e-06,7.252173913043478e-06
0.002,297.5,8.438e-06,9.171739130434782e-06
0.0025,323.6,1.005e-05,1.0923913043478262e-05
0.003,348.0,1.154e-05,1.2543478260869564e-05
0.004,392.6,1.424e-05,1.5478260869565217e-05
0.005,433.0,1.666e-05,1.810869565217392e-05
0.006,470.1,1.888e-05,2.052173913043478e-05
0.007,504.6,2.093e-05,2.275e-05
0.008,536.9,2.285e-05,2.4836956521739128e-05
0.009,567.5,2.466e-05,2.680434782608696e-05
0.01,596.5,2.638e-05,2.867391304347826e-05
0.0125,653.8,3.037e-05,3.301086956521739e-05
0.015,703.9,3.405e-05,3.701086956521739e-05
0.0175,748.4,3.75e-05,4.076086956521739e-05
0.02,788.3,4.075e-05,4.4293478260869565e-05
0.0225,824.2,4.385e-05,4.766304347826087e-05
0.025,856.6,4.682e-05,5.0891304347826087e-05
0.0275,886.0,4.969e-05,5.401086956521739e-05
0.03,912.5,5.247e-05,5.703260869565217e-05
0.035,958.0,5.781e-05,6.283695652173913e-05
0.04,994.9,6.293e-05,6.840217391304347e-05
0.045,1024.0,6.788e-05,7.378260869565217e-05
0.05,1047.0,7.271e-05,7.903260869565218e-05
0.055,1064.0,7.744e-05,8.417391304347826e-05
0.06,1076.0,8.212e-05,8.92608695652174e-05
0.065,1083.0,8.675e-05,9.429347826086956e-05
0.07,1087.0,9.135e-05,9.929347826086956e-05
0.075,1087.0,9.595e-05,0.0001042934782608
0.08,1085.0,0.0001006,0.0001093478260869
0.085,1080.0,0.0001052,0.0001143478260869
0.09,1074.0,0.0001098,0.0001193478260869
0.095,1065.0,0.0001145,0.0001244565217391
0.1,1056.0,0.0001192,0.0001295652173913
0.125,995.6,0.0001436,0.0001560869565217
0.15,929.1,0.0001695,0.0001842391304347
0.175,866.1,0.0001974,0.0002145652173913
0.2,809.9,0.0002273,0.0002470652173913
0.225,761.0,0.0002592,0.0002817391304347
0.25,718.7,0.000293,0.0003184782608695
0.275,682.2,0.0003287,0.0003572826086956
0.3,650.4,0.0003662,0.0003980434782608
0.35,591.9,0.0004469,0.0004857608695652
0.4,541.5,0.0005353,0.0005818478260869
0.45,499.7,0.0006315,0.0006864130434782
0.5,465.3,0.0007353,0.0007992391304347
0.55,436.7,0.0008463,0.0009198913043478
0.6,411.8,0.0009642,0.0010480434782608
0.65,390.1,0.001089,0.0011836956521739
0.7,370.9,0.001221,0.0013271739130434
0.75,353.8,0.001359,0.0014771739130434
0.8,338.4,0.001503,0.0016336956521739
0.85,324.4,0.001654,0.0017978260869565
0.9,311.7,0.001811,0.0019684782608695
0.95,300.0,0.001975,0.0021467391304347
1.0,289.3,0.002145,0.0023315217391304
1.25,246.6,0.003084,0.0033521739130434
1.5,216.0,0.00417,0.0045326086956521
1.75,192.9,0.005397,0.005866304347826
2.0,174.6,0.006761,0.0073489130434782
2.25,159.8,0.00826,0.0089782608695652
2.5,147.5,0.00989,0.01075
2.75,137.2,0.01165,0.0126630434782608
3.0,128.3,0.01353,0.0147065217391304
3.5,113.9,0.01768,0.0192173913043478
4.0,102.6,0.02231,0.0242499999999999
4.5,93.5,0.02743,0.0298152173913043
5.0,86.02,0.03301,0.0358804347826086
5.5,79.74,0.03905,0.042445652173913
6.0,74.39,0.04554,0.0494999999999999
6.5,69.77,0.05249,0.0570543478260869
7.0,65.74,0.05987,0.0650760869565217
7.5,62.18,0.0677,0.0735869565217391
8.0,59.03,0.07595,0.0825543478260869
8.5,56.21,0.08464,0.092
9.0,53.66,0.09374,0.101891304347826
9.5,51.36,0.1033,0.1122826086956521
10.0,49.26,0.1132,0.1230434782608695
12.5,41.07,0.1691,0.1838043478260869
15.0,35.38,0.2349,0.2553260869565217
17.5,31.18,0.3103,0.3372826086956522
20.0,27.95,0.3951,0.4294565217391304
25.0,23.28,0.5921,0.643586956521739
27.5,21.53,0.7039,0.7651086956521739
30.0,20.06,0.8243,0.8959782608695652
35.0,17.69,1.09,1.184782608695652
40.0,15.88,1.389,1.509782608695652
45.0,14.44,1.72,1.869565217391304
50.0,13.27,2.081,2.26195652173913
55.0,12.3,2.473,2.688043478260869
60.0,11.48,2.894,3.145652173913044
65.0,10.78,3.344,3.634782608695652
70.0,10.17,3.821,4.153260869565218
75.0,9.643,4.326,4.702173913043477
80.0,9.175,4.858,5.280434782608695
85.0,8.759,5.416,5.886956521739131
90.0,8.386,6.0,6.521739130434782
95.0,8.05,6.609,7.183695652173912
100.0,7.746,7.242,7.871739130434782
125.0,6.575,10.76,11.695652173913045
150.0,5.778,14.83,16.119565217391305
175.0,5.2,19.4,21.08695652173913
200.0,4.762,24.43,26.55434782608696
225.0,4.419,29.89,32.48913043478261
250.0,4.143,35.74,38.84782608695652
275.0,3.916,41.95,45.59782608695652
300.0,3.727,48.49,52.70652173913044
350.0,3.43,62.5,67.93478260869566
400.0,3.208,77.6,84.34782608695652
450.0,3.036,93.63,101.77173913043475
500.0,2.9,110.5,120.1086956521739
550.0,2.791,128.1,139.2391304347826
600.0,2.701,146.3,159.02173913043478
650.0,2.626,165.1,179.4565217391304
700.0,2.561,184.4,200.43478260869568
