Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,214.7,5.659e-06,3.058918918918919e-06
0.0015,246.3,7.816e-06,4.224864864864864e-06
0.002,274.6,9.737e-06,5.263243243243243e-06
0.0025,300.4,1.148e-05,6.205405405405405e-06
0.003,324.2,1.308e-05,7.07027027027027e-06
0.004,363.5,1.598e-05,8.637837837837837e-06
0.005,399.4,1.861e-05,1.0059459459459458e-05
0.006,432.2,2.101e-05,1.1356756756756756e-05
0.007,462.4,2.325e-05,1.2567567567567568e-05
0.008,489.9,2.535e-05,1.37027027027027e-05
0.009,515.3,2.734e-05,1.4778378378378378e-05
0.01,539.1,2.923e-05,1.5799999999999998e-05
0.0125,587.0,3.367e-05,1.82e-05
0.015,627.7,3.778e-05,2.0421621621621625e-05
0.0175,663.2,4.165e-05,2.251351351351352e-05
0.02,694.8,4.533e-05,2.45027027027027e-05
0.0225,722.9,4.886e-05,2.641081081081081e-05
0.025,747.9,5.226e-05,2.824864864864865e-05
0.0275,770.0,5.555e-05,3.0027027027027025e-05
0.03,789.8,5.876e-05,3.176216216216216e-05
0.035,824.4,6.495e-05,3.510810810810811e-05
0.04,853.7,7.091e-05,3.8329729729729725e-05
0.045,877.9,7.668e-05,4.144864864864865e-05
0.05,897.2,8.231e-05,4.449189189189189e-05
0.055,911.8,8.784e-05,4.748108108108108e-05
0.06,922.4,9.329e-05,5.042702702702702e-05
0.065,929.6,9.868e-05,5.334054054054054e-05
0.07,934.0,0.000104,5.621621621621621e-05
0.075,935.8,0.0001094,5.913513513513513e-05
0.08,935.5,0.0001147,6.199999999999999e-05
0.085,933.4,0.0001201,6.491891891891892e-05
0.09,929.6,0.0001255,6.783783783783783e-05
0.095,924.5,0.0001308,7.070270270270271e-05
0.1,918.3,0.0001363,7.367567567567568e-05
0.125,875.7,0.0001641,8.87027027027027e-05
0.15,824.3,0.0001935,0.0001045945945945
0.175,772.3,0.0002249,0.0001215675675675
0.2,723.2,0.0002583,0.0001396216216216
0.225,676.9,0.0002941,0.0001589729729729
