Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,251.6,4.539e-06,4.987912087912088e-06
0.0015,284.8,6.393e-06,7.025274725274725e-06
0.002,315.3,8.061e-06,8.858241758241758e-06
0.0025,343.6,9.578e-06,1.0525274725274724e-05
0.003,369.9,1.098e-05,1.2065934065934063e-05
0.004,417.9,1.352e-05,1.4857142857142857e-05
0.005,461.3,1.579e-05,1.735164835164835e-05
0.006,501.1,1.787e-05,1.9637362637362635e-05
0.007,538.0,1.98e-05,2.175824175824176e-05
0.008,572.7,2.16e-05,2.373626373626373e-05
0.009,605.4,2.33e-05,2.5604395604395604e-05
0.01,636.5,2.491e-05,2.737362637362637e-05
0.0125,697.2,2.865e-05,3.148351648351648e-05
0.015,749.9,3.21e-05,3.5274725274725275e-05
0.0175,796.6,3.534e-05,3.883516483516483e-05
0.02,838.3,3.839e-05,4.218681318681318e-05
0.0225,875.7,4.131e-05,4.53956043956044e-05
0.025,909.3,4.411e-05,4.847252747252748e-05
0.0275,939.6,4.681e-05,5.143956043956044e-05
0.03,967.0,4.944e-05,5.4329670329670326e-05
0.035,1014.0,5.448e-05,5.986813186813187e-05
0.04,1051.0,5.932e-05,6.518681318681318e-05
0.045,1081.0,6.401e-05,7.034065934065935e-05
0.05,1105.0,6.858e-05,7.536263736263736e-05
0.055,1122.0,7.307e-05,8.02967032967033e-05
0.06,1135.0,7.75e-05,8.516483516483516e-05
0.065,1143.0,8.189e-05,8.998901098901099e-05
0.07,1147.0,8.625e-05,9.478021978021978e-05
0.075,1149.0,9.061e-05,9.957142857142858e-05
0.08,1147.0,9.496e-05,0.0001043516483516
0.085,1143.0,9.933e-05,0.0001091538461538
0.09,1137.0,0.0001037,0.000113956043956
0.095,1129.0,0.0001081,0.0001187912087912
0.1,1120.0,0.0001126,0.0001237362637362
0.125,1061.0,0.0001355,0.000148901098901
0.15,993.0,0.0001598,0.0001756043956043
0.175,925.5,0.0001859,0.0002042857142857
0.2,863.0,0.0002139,0.0002350549450549
0.225,807.0,0.0002438,0.000267912087912
0.25,757.3,0.0002758,0.0003030769230769
0.275,713.6,0.0003099,0.0003405494505494
0.3,675.0,0.0003459,0.0003801098901098
0.35,606.0,0.0004241,0.0004660439560439
0.4,549.1,0.0005109,0.0005614285714285
0.45,503.8,0.0006061,0.0006660439560439
0.5,467.9,0.0007092,0.0007793406593406
0.55,439.1,0.0008196,0.0009006593406593
0.6,414.0,0.000937,0.0010296703296703
0.65,392.1,0.001061,0.001165934065934
0.7,372.8,0.001192,0.0013098901098901
0.75,355.5,0.001329,0.0014604395604395
0.8,340.0,0.001473,0.0016186813186813
0.85,326.0,0.001623,0.0017835164835164
0.9,313.1,0.00178,0.0019560439560439
0.95,301.4,0.001943,0.0021351648351648
1.0,290.6,0.002112,0.0023208791208791
1.25,247.7,0.003047,0.0033483516483516
1.5,216.9,0.004129,0.0045373626373626
1.75,193.6,0.005351,0.0058802197802197
2.0,175.2,0.00671,0.0073736263736263
2.25,160.3,0.008203,0.0090142857142857
2.5,148.0,0.009828,0.0107999999999999
2.75,137.6,0.01158,0.0127252747252747
3.0,128.7,0.01346,0.0147912087912087
3.5,114.2,0.01759,0.0193296703296703
4.0,102.9,0.02221,0.0244065934065934
4.5,93.79,0.02731,0.030010989010989
5.0,86.28,0.03287,0.0361208791208791
5.5,79.98,0.03889,0.0427362637362637
6.0,74.61,0.04537,0.0498571428571428
6.5,69.97,0.05229,0.0574615384615384
7.0,65.93,0.05966,0.0655604395604395
7.5,62.36,0.06746,0.0741318681318681
8.0,59.19,0.07569,0.0831758241758241
8.5,56.36,0.08435,0.0926923076923076
9.0,53.81,0.09343,0.1026703296703296
9.5,51.5,0.1029,0.113076923076923
10.0,49.39,0.1129,0.124065934065934
12.5,41.17,0.1685,0.1851648351648351
15.0,35.47,0.2342,0.2573626373626373
17.5,31.26,0.3094,0.34
20.0,28.01,0.3941,0.4330769230769231
25.0,23.33,0.5906,0.649010989010989
27.5,21.58,0.7021,0.7715384615384615
30.0,20.1,0.8222,0.9035164835164836
35.0,17.73,1.088,1.1956043956043956
40.0,15.91,1.386,1.523076923076923
45.0,14.47,1.716,1.8857142857142857
50.0,13.3,2.077,2.2824175824175823
55.0,12.33,2.467,2.710989010989011
60.0,11.51,2.888,3.173626373626373
65.0,10.8,3.336,3.665934065934066
70.0,10.19,3.813,4.19010989010989
75.0,9.663,4.317,4.743956043956044
80.0,9.193,4.848,5.327472527472527
85.0,8.776,5.405,5.93956043956044
90.0,8.402,5.987,6.579120879120879
95.0,8.066,6.595,7.247252747252746
100.0,7.761,7.227,7.941758241758242
125.0,6.587,10.74,11.802197802197805
150.0,5.789,14.8,16.263736263736263
175.0,5.21,19.36,21.27472527472528
200.0,4.771,24.39,26.802197802197803
225.0,4.427,29.83,32.780219780219774
250.0,4.15,35.67,39.1978021978022
275.0,3.923,41.87,46.01098901098901
300.0,3.734,48.41,53.19780219780219
350.0,3.436,62.39,68.56043956043956
400.0,3.213,77.46,85.12087912087911
450.0,3.041,93.47,102.71428571428572
500.0,2.905,110.3,121.2087912087912
550.0,2.795,127.9,140.54945054945054
600.0,2.705,146.1,160.54945054945054
650.0,2.63,164.8,181.0989010989011
700.0,2.565,184.1,202.3076923076923
750.0,2.509,203.8,223.956043956044
800.0,2.461,223.9,246.04395604395603
850.0,2.42,244.4,268.57142857142856
900.0,2.384,265.2,291.4285714285714
950.0,2.352,286.3,314.61538461538464
1000.0,2.324,307.7,338.1318681318681
1500.0,2.166,531.9,584.5054945054944
2000.0,2.108,766.4,842.1978021978022
2500.0,2.088,1005.0,1104.3956043956043
3000.0,2.083,1245.0,1368.131868131868
4000.0,2.093,1724.0,1894.5054945054944
5000.0,2.111,2200.0,2417.5824175824173
6000.0,2.132,2671.0,2935.164835164835
7000.0,2.153,3138.0,3448.351648351648
8000.0,2.173,3600.0,3956.043956043956
9000.0,2.191,4059.0,4460.43956043956
10000.0,2.209,4513.0,4959.340659340659
