Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,226.8,5.4e-06,5.192307692307692e-06
0.0015,260.6,7.439e-06,7.152884615384615e-06
0.002,290.9,9.254e-06,8.898076923076922e-06
0.0025,318.4,1.089e-05,1.0471153846153846e-05
0.003,343.9,1.24e-05,1.1923076923076925e-05
0.004,390.0,1.513e-05,1.4548076923076924e-05
0.005,431.5,1.756e-05,1.6884615384615386e-05
0.006,469.3,1.979e-05,1.902884615384616e-05
0.007,504.4,2.184e-05,2.1e-05
0.008,537.3,2.376e-05,2.2846153846153845e-05
0.009,568.3,2.557e-05,2.458653846153846e-05
0.01,597.7,2.728e-05,2.623076923076923e-05
0.0125,653.3,3.127e-05,3.0067307692307687e-05
0.015,700.7,3.497e-05,3.3625e-05
0.0175,742.0,3.843e-05,3.695192307692308e-05
0.02,778.0,4.172e-05,4.011538461538462e-05
0.0225,809.6,4.487e-05,4.314423076923077e-05
0.025,837.3,4.79e-05,4.6057692307692303e-05
0.0275,861.6,5.084e-05,4.8884615384615385e-05
0.03,882.8,5.371e-05,5.164423076923077e-05
0.035,917.1,5.926e-05,5.698076923076922e-05
0.04,942.4,6.463e-05,6.214423076923076e-05
0.045,960.2,6.989e-05,6.720192307692307e-05
0.05,971.7,7.506e-05,7.217307692307692e-05
0.055,978.1,8.019e-05,7.710576923076923e-05
0.06,980.3,8.529e-05,8.200961538461538e-05
0.065,979.0,9.04e-05,8.692307692307692e-05
0.07,974.8,9.551e-05,9.183653846153844e-05
0.075,968.5,0.0001007,9.682692307692308e-05
0.08,960.3,0.0001058,0.0001017307692307
0.085,950.7,0.0001111,0.0001068269230769
0.09,940.0,0.0001164,0.000111923076923
0.095,928.5,0.0001217,0.0001170192307692
0.1,916.4,0.0001271,0.0001222115384615
0.125,852.6,0.0001554,0.000149423076923
0.15,790.7,0.0001859,0.0001787499999999
0.175,735.1,0.0002187,0.0002102884615384
0.2,686.3,0.0002539,0.0002441346153846
0.225,643.7,0.0002915,0.0002802884615384
0.25,606.4,0.0003316,0.0003188461538461
0.275,573.6,0.000374,0.0003596153846153
0.3,544.5,0.0004187,0.0004025961538461
0.35,500.0,0.0005147,0.0004949038461538
0.4,465.7,0.0006185,0.0005947115384615
0.45,436.2,0.0007294,0.0007013461538461
0.5,409.4,0.0008478,0.0008151923076923
0.55,384.9,0.0009738,0.0009363461538461
0.6,363.5,0.001108,0.0010653846153846
0.65,344.9,0.001249,0.0012009615384615
0.7,328.4,0.001397,0.0013432692307692
0.75,313.6,0.001553,0.0014932692307692
0.8,300.3,0.001716,0.00165
0.85,288.3,0.001886,0.0018134615384615
0.9,277.2,0.002063,0.0019836538461538
0.95,267.0,0.002247,0.0021605769230769
1.0,257.7,0.002438,0.0023442307692307
1.25,220.5,0.00349,0.0033557692307692
1.5,193.7,0.004703,0.0045221153846153
1.75,173.3,0.00607,0.0058365384615384
2.0,157.2,0.007587,0.0072951923076923
2.25,144.0,0.00925,0.0088942307692307
2.5,133.2,0.01106,0.0106346153846153
2.75,123.9,0.013,0.0124999999999999
3.0,116.1,0.01509,0.0145096153846153
3.5,103.2,0.01967,0.0189134615384615
4.0,93.06,0.02478,0.023826923076923
4.5,84.92,0.03041,0.0292403846153846
5.0,78.2,0.03655,0.0351442307692307
5.5,72.54,0.0432,0.0415384615384615
6.0,67.72,0.05033,0.0483942307692307
6.5,63.56,0.05796,0.0557307692307692
7.0,59.91,0.06607,0.0635288461538461
7.5,56.7,0.07465,0.0717788461538461
8.0,53.84,0.0837,0.0804807692307692
8.5,51.29,0.09322,0.0896346153846153
9.0,48.99,0.1032,0.0992307692307692
9.5,46.9,0.1136,0.1092307692307692
10.0,45.0,0.1245,0.1197115384615384
12.5,37.56,0.1856,0.1784615384615384
15.0,32.39,0.2575,0.2475961538461538
17.5,28.57,0.3399,0.326826923076923
20.0,25.62,0.4324,0.4157692307692308
25.0,21.36,0.6472,0.6223076923076923
27.5,19.77,0.7689,0.739326923076923
30.0,18.42,0.9001,0.8654807692307692
35.0,16.26,1.19,1.1442307692307692
40.0,14.6,1.515,1.4567307692307692
45.0,13.28,1.874,1.801923076923077
50.0,12.21,2.268,2.1807692307692306
55.0,11.32,2.693,2.589423076923077
60.0,10.57,3.151,3.029807692307692
65.0,9.926,3.639,3.4990384615384613
70.0,9.369,4.158,3.998076923076923
75.0,8.882,4.706,4.525
80.0,8.452,5.284,5.080769230769231
85.0,8.07,5.889,5.6625
90.0,7.728,6.523,6.272115384615384
95.0,7.42,7.183,6.9067307692307685
100.0,7.14,7.87,7.5673076923076925
125.0,6.064,11.69,11.240384615384617
150.0,5.331,16.1,15.480769230769232
175.0,4.8,21.05,20.240384615384617
200.0,4.397,26.5,25.48076923076923
225.0,4.081,32.41,31.163461538461533
250.0,3.827,38.74,37.25
275.0,3.618,45.47,43.72115384615385
300.0,3.444,52.55,50.52884615384615
350.0,3.17,67.71,65.10576923076923
400.0,2.966,84.04,80.8076923076923
450.0,2.808,101.4,97.5
500.0,2.683,119.6,115.0
550.0,2.582,138.6,133.26923076923077
600.0,2.499,158.3,152.21153846153848
650.0,2.43,178.6,171.73076923076923
700.0,2.372,199.5,191.82692307692307
750.0,2.322,220.8,212.30769230769232
800.0,2.278,242.5,233.1730769230769
850.0,2.24,264.7,254.5192307692308
900.0,2.207,287.1,276.0576923076923
950.0,2.179,309.9,297.9807692307692
1000.0,2.153,333.0,320.1923076923077
1500.0,2.01,574.8,552.6923076923076
2000.0,1.96,827.2,795.3846153846154
2500.0,1.942,1084.0,1042.3076923076924
3000.0,1.939,1341.0,1289.423076923077
4000.0,1.951,1856.0,1784.6153846153843
5000.0,1.97,2366.0,2275.0
6000.0,1.991,2871.0,2760.576923076923
7000.0,2.011,3371.0,3241.346153846154
8000.0,2.031,3865.0,3716.346153846154
9000.0,2.049,4356.0,4188.461538461538
10000.0,2.066,4842.0,4655.769230769231
