Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,101.7,1.336e-05,6.072727272727273e-06
0.0015,117.8,1.789e-05,8.131818181818182e-06
0.002,131.7,2.19e-05,9.954545454545456e-06
0.0025,144.2,2.553e-05,1.1604545454545454e-05
0.003,155.7,2.886e-05,1.3118181818181818e-05
0.004,174.7,3.491e-05,1.586818181818182e-05
0.005,192.0,4.036e-05,1.8345454545454544e-05
0.006,207.8,4.537e-05,2.062272727272727e-05
0.007,222.4,5.001e-05,2.2731818181818177e-05
0.008,235.7,5.438e-05,2.471818181818181e-05
0.009,248.0,5.852e-05,2.66e-05
0.01,259.5,6.246e-05,2.839090909090909e-05
0.0125,283.5,7.166e-05,3.257272727272727e-05
0.015,304.3,8.016e-05,3.643636363636364e-05
0.0175,322.8,8.813e-05,4.005909090909091e-05
0.02,339.7,9.568e-05,4.349090909090909e-05
0.0225,355.0,0.0001029,4.677272727272727e-05
0.025,369.1,0.0001098,4.99090909090909e-05
0.0275,381.9,0.0001164,5.29090909090909e-05
0.03,393.8,0.0001229,5.586363636363637e-05
0.035,415.4,0.0001352,6.145454545454545e-05
0.04,434.7,0.000147,6.681818181818182e-05
0.045,451.9,0.0001583,7.195454545454545e-05
0.05,466.8,0.0001692,7.69090909090909e-05
0.055,479.6,0.0001797,8.168181818181817e-05
0.06,490.6,0.00019,8.636363636363636e-05
0.065,499.9,0.0002001,9.095454545454545e-05
0.07,507.8,0.00021,9.545454545454543e-05
0.075,514.3,0.0002198,9.99090909090909e-05
0.08,519.6,0.0002295,0.0001043181818181
0.085,523.9,0.0002391,0.0001086818181818
0.09,527.1,0.0002486,0.000113
0.095,529.5,0.000258,0.0001172727272727
0.1,531.0,0.0002675,0.0001215909090909
0.125,529.5,0.0003145,0.0001429545454545
0.15,517.4,0.0003622,0.0001646363636363
0.175,500.0,0.0004113,0.0001869545454545
0.2,480.1,0.0004624,0.0002101818181818
0.225,460.9,0.0005155,0.0002343181818181
0.25,442.8,0.0005709,0.0002595
0.275,425.8,0.0006284,0.0002856363636363
0.3,410.0,0.0006883,0.0003128636363636
0.35,381.5,0.0008148,0.0003703636363636
0.4,356.7,0.0009504,0.000432
0.45,334.9,0.001095,0.0004977272727272
0.5,315.6,0.001249,0.0005677272727272
0.55,298.5,0.001412,0.0006418181818181
0.6,283.3,0.001584,0.0007199999999999
0.65,269.8,0.001765,0.0008022727272727
0.7,257.6,0.001955,0.0008886363636363
0.75,246.7,0.002153,0.0009786363636363
0.8,236.7,0.00236,0.0010727272727272
0.85,227.6,0.002575,0.0011704545454545
0.9,219.3,0.002799,0.0012722727272727
0.95,211.6,0.003031,0.0013777272727272
1.0,204.6,0.003272,0.0014872727272727
1.25,176.0,0.004594,0.0020881818181818
1.5,155.3,0.006109,0.0027768181818181
1.75,139.3,0.007812,0.003550909090909
2.0,126.7,0.009696,0.0044072727272727
2.25,116.4,0.01176,0.0053454545454545
2.5,107.9,0.01399,0.0063590909090909
2.75,100.6,0.01639,0.0074499999999999
3.0,94.38,0.01896,0.0086181818181818
3.5,84.18,0.02458,0.0111727272727272
4.0,76.15,0.03083,0.0140136363636363
4.5,69.65,0.0377,0.0171363636363636
5.0,64.28,0.04518,0.0205363636363636
5.5,59.74,0.05326,0.0242090909090909
6.0,55.87,0.06192,0.0281454545454545
6.5,52.51,0.07115,0.032340909090909
7.0,49.57,0.08096,0.0368
7.5,46.97,0.09132,0.0415090909090909
8.0,44.66,0.1022,0.0464545454545454
8.5,42.58,0.1137,0.0516818181818181
9.0,40.71,0.1257,0.0571363636363636
9.5,39.0,0.1383,0.0628636363636363
10.0,37.45,0.1514,0.0688181818181818
12.5,31.36,0.2246,0.102090909090909
15.0,27.11,0.3106,0.1411818181818181
17.5,23.96,0.4089,0.1858636363636363
20.0,21.52,0.5192,0.236
25.0,17.99,0.7746,0.352090909090909
27.5,16.66,0.9191,0.4177727272727272
30.0,15.54,1.075,0.4886363636363636
35.0,13.73,1.418,0.6445454545454544
40.0,12.34,1.802,0.8190909090909091
45.0,11.24,2.227,1.0122727272727272
50.0,10.34,2.692,1.2236363636363636
55.0,9.596,3.194,1.4518181818181817
60.0,8.965,3.734,1.697272727272727
65.0,8.424,4.309,1.9586363636363635
70.0,7.956,4.92,2.2363636363636363
75.0,7.546,5.566,2.53
80.0,7.183,6.245,2.8386363636363634
85.0,6.861,6.958,3.1627272727272726
90.0,6.572,7.703,3.501363636363636
95.0,6.312,8.479,3.854090909090909
100.0,6.077,9.287,4.221363636363637
125.0,5.167,13.77,6.259090909090909
150.0,4.547,18.94,8.60909090909091
175.0,4.097,24.75,11.249999999999998
200.0,3.755,31.13,14.15
225.0,3.487,38.05,17.295454545454543
250.0,3.272,45.46,20.663636363636364
275.0,3.095,53.32,24.236363636363635
300.0,2.947,61.6,28.0
350.0,2.714,79.31,36.05
400.0,2.541,98.38,44.71818181818181
450.0,2.406,118.6,53.9090909090909
500.0,2.3,139.9,63.590909090909086
550.0,2.214,162.1,73.68181818181817
600.0,2.144,185.0,84.09090909090908
650.0,2.085,208.7,94.86363636363636
700.0,2.036,232.9,105.86363636363636
750.0,1.994,257.8,117.18181818181816
800.0,1.957,283.1,128.6818181818182
850.0,1.925,308.8,140.36363636363637
900.0,1.898,335.0,152.27272727272725
950.0,1.873,361.5,164.3181818181818
1000.0,1.852,388.4,176.54545454545453
1500.0,1.733,669.1,304.1363636363636
2000.0,1.692,961.6,437.09090909090907
2500.0,1.679,1259.0,572.2727272727273
3000.0,1.677,1557.0,707.7272727272726
4000.0,1.689,2151.0,977.7272727272726
5000.0,1.706,2740.0,1245.4545454545453
6000.0,1.725,3323.0,1510.4545454545453
7000.0,1.743,3900.0,1772.7272727272723
8000.0,1.76,4471.0,2032.272727272727
9000.0,1.776,5036.0,2289.090909090909
10000.0,1.791,5597.0,2544.090909090909
