Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,165.9,7.734e-06,5.604347826086958e-06
0.0015,192.8,1.05e-05,7.608695652173913e-06
0.002,216.5,1.295e-05,9.384057971014492e-06
0.0025,237.8,1.515e-05,1.0978260869565218e-05
0.003,257.3,1.717e-05,1.2442028985507247e-05
0.004,290.1,2.082e-05,1.5086956521739132e-05
0.005,319.7,2.41e-05,1.746376811594203e-05
0.006,346.7,2.71e-05,1.9637681159420293e-05
0.007,371.6,2.989e-05,2.165942028985508e-05
0.008,394.3,3.25e-05,2.355072463768116e-05
0.009,415.4,3.497e-05,2.534057971014493e-05
0.01,435.2,3.732e-05,2.704347826086957e-05
0.0125,474.8,4.281e-05,3.102173913043478e-05
0.015,508.5,4.789e-05,3.470289855072464e-05
0.0175,538.1,5.267e-05,3.816666666666667e-05
0.02,564.4,5.72e-05,4.1449275362318846e-05
0.0225,587.9,6.154e-05,4.459420289855072e-05
0.025,608.8,6.572e-05,4.762318840579711e-05
0.0275,627.3,6.976e-05,5.055072463768116e-05
0.03,644.0,7.369e-05,5.339855072463768e-05
0.035,672.9,8.128e-05,5.889855072463769e-05
0.04,696.9,8.858e-05,6.418840579710145e-05
0.045,716.5,9.565e-05,6.931159420289856e-05
0.05,731.9,0.0001026,7.434782608695653e-05
0.055,743.3,0.0001093,7.920289855072465e-05
0.06,751.4,0.000116,8.405797101449276e-05
0.065,756.7,0.0001226,8.884057971014493e-05
0.07,759.5,0.0001292,9.36231884057971e-05
0.075,760.1,0.0001358,9.840579710144928e-05
0.08,759.0,0.0001424,0.0001031884057971
0.085,756.3,0.000149,0.0001079710144927
0.09,752.3,0.0001556,0.0001127536231884
0.095,747.2,0.0001623,0.0001176086956521
0.1,741.2,0.000169,0.0001224637681159
0.125,702.3,0.0002036,0.000147536231884
0.15,657.6,0.0002404,0.0001742028985507
0.175,613.7,0.0002797,0.0002026811594202
0.2,573.3,0.0003219,0.0002332608695652
0.225,539.3,0.0003669,0.0002658695652173
0.25,510.4,0.0004146,0.0003004347826086
0.275,485.2,0.0004649,0.000336884057971
0.3,462.9,0.0005176,0.0003750724637681
0.35,424.6,0.0006305,0.000456884057971
0.4,392.8,0.0007531,0.0005457246376811
0.45,365.7,0.0008851,0.0006413768115942
0.5,342.1,0.001027,0.0007442028985507
0.55,321.4,0.001177,0.0008528985507246
0.6,303.1,0.001338,0.0009695652173913
0.65,287.5,0.001507,0.0010920289855072
0.7,273.8,0.001685,0.0012210144927536
0.75,261.5,0.001872,0.0013565217391304
0.8,250.3,0.002068,0.0014985507246376
0.85,240.3,0.002272,0.0016463768115942
0.9,231.2,0.002484,0.0018
0.95,222.9,0.002704,0.001959420289855
1.0,215.1,0.002933,0.0021253623188405
1.25,184.7,0.004192,0.0030376811594202
1.5,162.7,0.005637,0.0040847826086956
1.75,146.0,0.007262,0.0052623188405797
