Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,280.2,4.008e-06,0.0021094736842105
0.0015,316.1,5.676e-06,0.0029873684210526
0.002,349.4,7.18e-06,0.003778947368421
0.0025,380.3,8.551e-06,0.0045005263157894
0.003,409.2,9.817e-06,0.0051668421052631
0.004,462.1,1.211e-05,0.0063736842105263
0.005,509.9,1.417e-05,0.0074578947368421
0.006,553.8,1.605e-05,0.0084473684210526
0.007,594.6,1.779e-05,0.0093631578947368
0.008,632.8,1.942e-05,0.0102210526315789
0.009,669.0,2.096e-05,0.0110315789473684
0.01,703.3,2.242e-05,0.0118
0.0125,770.5,2.58e-05,0.013578947368421
0.015,828.5,2.893e-05,0.0152263157894736
0.0175,879.9,3.186e-05,0.0167684210526315
0.02,925.6,3.462e-05,0.0182210526315789
0.0225,966.6,3.727e-05,0.0196157894736842
0.025,1003.0,3.98e-05,0.0209473684210526
0.0275,1037.0,4.225e-05,0.0222368421052631
0.03,1066.0,4.463e-05,0.0234894736842105
0.035,1117.0,4.921e-05,0.0259
0.04,1158.0,5.36e-05,0.0282105263157894
0.045,1190.0,5.786e-05,0.0304526315789473
0.05,1214.0,6.202e-05,0.0326421052631578
0.055,1232.0,6.61e-05,0.0347894736842105
0.06,1245.0,7.014e-05,0.0369157894736842
0.065,1253.0,7.414e-05,0.0390210526315789
0.07,1257.0,7.813e-05,0.0411210526315789
0.075,1257.0,8.21e-05,0.0432105263157894
0.08,1254.0,8.609e-05,0.0453105263157894
0.085,1249.0,9.008e-05,0.0474105263157894
0.09,1241.0,9.41e-05,0.0495263157894736
0.095,1232.0,9.814e-05,0.0516526315789473
0.1,1222.0,0.0001022,0.0537894736842105
0.125,1155.0,0.0001232,0.0648421052631579
0.15,1079.0,0.0001456,0.0766315789473684
0.175,1006.0,0.0001696,0.0892631578947368
0.2,939.0,0.0001954,0.1028421052631579
0.225,877.9,0.0002229,0.1173157894736842
0.25,823.1,0.0002523,0.1327894736842105
0.275,774.4,0.0002836,0.1492631578947368
0.3,731.3,0.0003169,0.1667894736842105
0.35,659.0,0.000389,0.2047368421052631
0.4,601.2,0.0004686,0.2466315789473684
0.45,554.3,0.0005553,0.2922631578947368
0.5,515.5,0.0006489,0.3415263157894737
0.55,482.9,0.0007492,0.3943157894736842
0.6,454.6,0.0008559,0.4504736842105263
0.65,430.0,0.0009691,0.5100526315789473
0.7,408.3,0.001088,0.5726315789473684
0.75,388.9,0.001214,0.6389473684210526
0.8,371.6,0.001346,0.708421052631579
0.85,355.9,0.001483,0.7805263157894736
0.9,341.6,0.001626,0.8557894736842105
0.95,328.5,0.001776,0.9347368421052632
1.0,316.5,0.001931,1.0163157894736845
1.25,268.9,0.002791,1.4689473684210528
