Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,101.9,1.395e-05,5.264150943396227e-06
0.0015,119.1,1.844e-05,6.958490566037736e-06
0.002,133.8,2.24e-05,8.452830188679245e-06
0.0025,146.9,2.596e-05,9.79622641509434e-06
0.003,158.9,2.923e-05,1.1030188679245284e-05
0.004,180.4,3.513e-05,1.3256603773584904e-05
0.005,199.6,4.039e-05,1.5241509433962264e-05
0.006,217.1,4.519e-05,1.7052830188679244e-05
0.007,233.3,4.963e-05,1.872830188679245e-05
0.008,248.4,5.378e-05,2.029433962264151e-05
0.009,262.7,5.769e-05,2.176981132075472e-05
0.01,276.2,6.14e-05,2.316981132075472e-05
0.0125,302.8,7.003e-05,2.6426415094339625e-05
0.015,326.1,7.798e-05,2.942641509433962e-05
0.0175,346.9,8.54e-05,3.2226415094339624e-05
0.02,365.5,9.242e-05,3.487547169811321e-05
0.0225,382.4,9.91e-05,3.739622641509434e-05
0.025,397.8,0.0001055,3.9811320754716985e-05
0.0275,411.8,0.0001117,4.215094339622642e-05
0.03,424.6,0.0001177,4.441509433962264e-05
0.035,447.1,0.0001291,4.871698113207547e-05
0.04,465.9,0.0001401,5.286792452830189e-05
0.045,481.5,0.0001506,5.6830188679245286e-05
0.05,494.5,0.0001609,6.071698113207548e-05
0.055,505.2,0.0001709,6.449056603773585e-05
0.06,513.8,0.0001807,6.818867924528302e-05
0.065,520.6,0.0001903,7.181132075471698e-05
0.07,525.9,0.0001999,7.543396226415095e-05
0.075,529.8,0.0002094,7.90188679245283e-05
0.08,532.4,0.0002188,8.256603773584907e-05
0.085,534.1,0.0002282,8.61132075471698e-05
0.09,534.8,0.0002375,8.962264150943397e-05
0.095,534.7,0.0002469,9.316981132075472e-05
0.1,533.9,0.0002562,9.667924528301889e-05
0.125,522.7,0.0003035,0.0001145283018867
0.15,504.6,0.0003521,0.0001328679245283
0.175,484.1,0.0004027,0.0001519622641509
0.2,463.4,0.0004554,0.0001718490566037
0.225,443.4,0.0005106,0.000192679245283
0.25,424.6,0.0005682,0.0002144150943396
0.275,407.2,0.0006284,0.0002371320754716
0.3,391.0,0.000691,0.0002607547169811
0.35,359.2,0.0008245,0.0003111320754716
0.4,331.1,0.0009696,0.0003658867924528
0.45,307.9,0.001126,0.0004249056603773
0.5,289.2,0.001294,0.0004883018867924
0.55,273.8,0.001472,0.0005554716981132
0.6,260.1,0.001659,0.000626037735849
0.65,248.0,0.001856,0.0007003773584905
0.7,237.1,0.002063,0.0007784905660377
0.75,227.3,0.002278,0.0008596226415094
0.8,218.4,0.002502,0.0009441509433962
0.85,210.2,0.002736,0.0010324528301886
0.9,202.9,0.002978,0.0011237735849056
0.95,196.1,0.003229,0.0012184905660377
1.0,189.8,0.003488,0.0013162264150943
1.25,164.3,0.004908,0.0018520754716981
1.5,145.6,0.006528,0.002463396226415
1.75,131.2,0.00834,0.0031471698113207
2.0,119.6,0.01034,0.0039018867924528
2.25,110.2,0.01252,0.0047245283018867
2.5,102.3,0.01487,0.0056113207547169
2.75,95.65,0.0174,0.006566037735849
3.0,89.86,0.0201,0.0075849056603773
3.5,80.37,0.02599,0.0098075471698113
4.0,72.88,0.03254,0.0122792452830188
4.5,66.8,0.03971,0.0149849056603773
5.0,61.76,0.0475,0.0179245283018867
5.5,57.5,0.0559,0.0210943396226415
6.0,53.85,0.06489,0.0244867924528301
6.5,50.67,0.07447,0.0281018867924528
7.0,47.89,0.08462,0.0319320754716981
7.5,45.43,0.09535,0.0359811320754717
8.0,43.23,0.1066,0.0402264150943396
8.5,41.26,0.1185,0.0447169811320754
9.0,39.47,0.1309,0.0493962264150943
9.5,37.85,0.1438,0.0542641509433962
10.0,36.38,0.1573,0.0593584905660377
12.5,30.56,0.2326,0.0877735849056603
15.0,26.48,0.3208,0.1210566037735849
17.5,23.44,0.4213,0.1589811320754717
20.0,21.09,0.5339,0.2014716981132075
25.0,17.67,0.7941,0.2996603773584906
27.5,16.38,0.9412,0.3551698113207547
30.0,15.29,1.099,0.4147169811320755
35.0,13.53,1.448,0.5464150943396227
40.0,12.18,1.838,0.6935849056603774
45.0,11.1,2.268,0.8558490566037735
50.0,10.22,2.738,1.0332075471698114
55.0,9.493,3.246,1.2249056603773585
60.0,8.874,3.791,1.4305660377358491
65.0,8.344,4.373,1.6501886792452831
70.0,7.884,4.989,1.8826415094339624
75.0,7.481,5.641,2.1286792452830188
80.0,7.125,6.326,2.3871698113207547
85.0,6.808,7.044,2.65811320754717
90.0,6.524,7.795,2.9415094339622643
95.0,6.268,8.577,3.2366037735849056
100.0,6.036,9.39,3.5433962264150947
125.0,5.138,13.9,5.245283018867925
150.0,4.526,19.1,7.207547169811321
175.0,4.081,24.93,9.407547169811322
200.0,3.744,31.33,11.822641509433964
225.0,3.478,38.27,14.441509433962263
250.0,3.265,45.69,17.241509433962264
275.0,3.09,53.57,20.21509433962264
300.0,2.943,61.87,23.34716981132076
350.0,2.713,79.6,30.0377358490566
400.0,2.54,98.67,37.23396226415095
450.0,2.407,118.9,44.86792452830189
500.0,2.302,140.2,52.90566037735849
550.0,2.217,162.3,61.24528301886793
600.0,2.147,185.2,69.88679245283019
650.0,2.089,208.8,78.79245283018868
700.0,2.04,233.1,87.9622641509434
750.0,1.998,257.8,97.28301886792454
800.0,1.962,283.1,106.8301886792453
850.0,1.93,308.8,116.52830188679246
900.0,1.903,334.9,126.37735849056604
950.0,1.88,361.3,136.33962264150944
1000.0,1.859,388.1,146.45283018867926
1500.0,1.745,667.3,251.81132075471697
2000.0,1.709,957.4,361.2830188679245
2500.0,1.7,1251.0,472.0754716981132
3000.0,1.702,1545.0,583.0188679245283
4000.0,1.72,2130.0,803.7735849056604
5000.0,1.743,2708.0,1021.8867924528304
6000.0,1.765,3278.0,1236.9811320754718
7000.0,1.787,3841.0,1449.433962264151
8000.0,1.807,4397.0,1659.245283018868
9000.0,1.825,4948.0,1867.169811320755
10000.0,1.842,5493.0,2072.8301886792456
