Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,116.9,1.34e-05,5.75107296137339e-06
0.0015,139.3,1.728e-05,7.416309012875536e-06
0.002,158.3,2.064e-05,8.858369098712445e-06
0.0025,175.0,2.364e-05,1.0145922746781117e-05
0.003,190.3,2.638e-05,1.1321888412017168e-05
0.004,217.4,3.128e-05,1.342489270386266e-05
0.005,241.4,3.564e-05,1.529613733905579e-05
0.006,263.3,3.961e-05,1.7e-05
0.007,283.4,4.326e-05,1.8566523605150216e-05
0.008,302.2,4.668e-05,2.0034334763948497e-05
0.009,319.9,4.989e-05,2.141201716738197e-05
0.01,336.6,5.294e-05,2.272103004291845e-05
0.0125,368.6,6.002e-05,2.575965665236052e-05
0.015,396.1,6.656e-05,2.856652360515021e-05
0.0175,419.9,7.268e-05,3.11931330472103e-05
0.02,440.8,7.849e-05,3.368669527896996e-05
0.0225,459.1,8.404e-05,3.6068669527897e-05
0.025,475.1,8.939e-05,3.836480686695279e-05
0.0275,489.0,9.458e-05,4.059227467811159e-05
0.03,501.1,9.963e-05,4.275965665236052e-05
0.035,520.4,0.0001094,4.695278969957082e-05
0.04,534.2,0.0001189,5.103004291845493e-05
0.045,543.3,0.0001282,5.502145922746781e-05
0.05,548.5,0.0001373,5.892703862660944e-05
0.055,550.7,0.0001464,6.283261802575107e-05
0.06,550.4,0.0001555,6.67381974248927e-05
0.065,548.0,0.0001646,7.064377682403433e-05
0.07,544.2,0.0001737,7.454935622317596e-05
0.075,539.2,0.000183,7.854077253218884e-05
0.08,533.3,0.0001923,8.253218884120172e-05
0.085,526.7,0.0002017,8.656652360515022e-05
0.09,519.8,0.0002113,9.068669527896996e-05
0.095,512.6,0.000221,9.484978540772532e-05
0.1,505.3,0.0002308,9.905579399141632e-05
0.125,469.5,0.0002821,0.0001210729613733
0.15,437.9,0.0003373,0.0001447639484978
0.175,411.3,0.0003963,0.0001700858369098
0.2,388.9,0.0004588,0.0001969098712446
0.225,369.9,0.0005247,0.0002251931330472
0.25,353.5,0.0005939,0.0002548927038626
0.275,339.1,0.0006661,0.0002858798283261
0.3,326.3,0.0007413,0.0003181545064377
0.35,304.5,0.0009001,0.0003863090128755
0.4,286.2,0.00107,0.0004592274678111
0.45,270.6,0.001249,0.0005360515021459
0.5,256.9,0.001439,0.0006175965665236
0.55,245.4,0.001638,0.0007030042918454
0.6,235.3,0.001846,0.0007922746781115
0.65,226.1,0.002063,0.0008854077253218
0.7,217.4,0.002289,0.0009824034334763
0.75,209.1,0.002523,0.0010828326180257
0.8,201.2,0.002767,0.0011875536480686
0.85,193.8,0.00302,0.0012961373390557
0.9,187.2,0.003283,0.0014090128755364
0.95,181.1,0.003555,0.0015257510729613
1.0,175.4,0.003835,0.0016459227467811
1.25,152.4,0.005369,0.0023042918454935
1.5,135.5,0.007112,0.0030523605150214
1.75,122.3,0.009057,0.0038871244635193
2.0,111.8,0.0112,0.0048068669527896
2.25,103.1,0.01353,0.0058068669527896
2.5,95.86,0.01605,0.0068884120171673
2.75,89.68,0.01874,0.0080429184549356
