Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,31.9,5.358e-05,5.102857142857143e-06
0.0015,38.57,6.767e-05,6.444761904761904e-06
0.002,44.16,7.976e-05,7.596190476190476e-06
0.0025,49.08,9.048e-05,8.617142857142857e-06
0.003,53.52,0.0001002,9.542857142857142e-06
0.004,61.4,0.0001176,1.12e-05
0.005,68.33,0.000133,1.2666666666666668e-05
0.006,74.6,0.000147,1.4e-05
0.007,80.36,0.00016,1.523809523809524e-05
0.008,85.73,0.000172,1.638095238095238e-05
0.009,90.77,0.0001833,1.745714285714286e-05
0.01,95.54,0.0001941,1.848571428571429e-05
0.0125,105.1,0.000219,2.0857142857142857e-05
0.015,113.4,0.0002418,2.302857142857143e-05
0.0175,120.9,0.0002632,2.506666666666667e-05
0.02,127.7,0.0002833,2.698095238095238e-05
0.0225,133.9,0.0003024,2.88e-05
0.025,139.5,0.0003207,3.054285714285714e-05
0.0275,144.7,0.0003382,3.220952380952381e-05
0.03,149.5,0.0003552,3.382857142857143e-05
0.035,157.9,0.0003878,3.693333333333333e-05
0.04,165.1,0.0004187,3.987619047619047e-05
0.045,171.3,0.0004484,4.270476190476191e-05
0.05,176.4,0.0004772,4.544761904761905e-05
0.055,180.8,0.0005051,4.81047619047619e-05
0.06,184.4,0.0005325,5.071428571428572e-05
0.065,187.3,0.0005594,5.327619047619048e-05
0.07,189.7,0.0005859,5.58e-05
0.075,191.6,0.0006122,5.830476190476191e-05
0.08,193.1,0.0006381,6.077142857142857e-05
0.085,194.1,0.000664,6.323809523809524e-05
0.09,194.9,0.0006897,6.568571428571428e-05
0.095,195.3,0.0007153,6.812380952380952e-05
0.1,195.5,0.0007409,7.056190476190476e-05
0.125,193.8,0.0008691,8.277142857142857e-05
0.15,189.7,0.0009994,9.518095238095236e-05
0.175,184.7,0.001133,0.0001079047619047
0.2,179.5,0.00127,0.0001209523809523
0.225,174.4,0.001412,0.0001344761904761
0.25,169.6,0.001557,0.0001482857142857
0.275,165.0,0.001706,0.0001624761904761
0.3,160.7,0.00186,0.0001771428571428
0.35,152.9,0.002179,0.0002075238095238
0.4,145.9,0.002514,0.0002394285714285
0.45,139.6,0.002864,0.0002727619047619
0.5,133.9,0.00323,0.000307619047619
0.55,128.8,0.003611,0.0003439047619047
0.6,124.0,0.004007,0.000381619047619
0.65,119.6,0.004417,0.0004206666666666
0.7,115.6,0.004843,0.000461238095238
0.75,111.8,0.005283,0.0005031428571428
0.8,108.2,0.005737,0.0005463809523809
0.85,104.9,0.006207,0.0005911428571428
0.9,101.8,0.00669,0.0006371428571428
0.95,98.82,0.007189,0.0006846666666666
1.0,96.06,0.007702,0.0007335238095238
1.25,84.56,0.01048,0.0009980952380952
1.5,75.98,0.01361,0.0012961904761904
1.75,69.35,0.01706,0.0016247619047619
2.0,64.09,0.02081,0.0019819047619047
2.25,59.81,0.02485,0.0023666666666666
2.5,56.22,0.02917,0.0027780952380952
2.75,53.11,0.03374,0.0032133333333333
3.0,50.41,0.03858,0.0036742857142857
3.5,45.89,0.04899,0.0046657142857142
4.0,42.24,0.06036,0.0057485714285714
4.5,39.21,0.07266,0.00692
5.0,36.68,0.08585,0.0081761904761904
5.5,34.49,0.09992,0.0095161904761904
6.0,32.58,0.1148,0.0109333333333333
6.5,30.89,0.1306,0.0124380952380952
7.0,29.39,0.1472,0.0140190476190476
7.5,28.07,0.1646,0.0156761904761904
8.0,26.87,0.1828,0.0174095238095238
8.5,25.78,0.2018,0.0192190476190476
9.0,24.79,0.2216,0.0211047619047619
9.5,23.88,0.2422,0.0230666666666666
10.0,23.05,0.2635,0.025095238095238
12.5,19.72,0.3812,0.0363047619047619
15.0,17.32,0.5168,0.0492190476190476
17.5,15.5,0.6696,0.0637714285714285
20.0,14.07,0.8391,0.0799142857142857
25.0,11.95,1.226,0.1167619047619047
27.5,11.14,1.443,0.1374285714285714
30.0,10.45,1.675,0.1595238095238095
35.0,9.325,2.182,0.2078095238095238
40.0,8.447,2.746,0.2615238095238095
45.0,7.742,3.365,0.3204761904761904
50.0,7.163,4.038,0.3845714285714286
55.0,6.677,4.761,0.4534285714285714
60.0,6.264,5.535,0.5271428571428571
65.0,5.908,6.357,0.6054285714285714
70.0,5.598,7.227,0.6882857142857143
75.0,5.325,8.143,0.7755238095238096
80.0,5.083,9.105,0.8671428571428572
85.0,4.867,10.11,0.9628571428571427
90.0,4.672,11.16,1.062857142857143
95.0,4.497,12.25,1.1666666666666667
100.0,4.337,13.38,1.2742857142857145
125.0,3.716,19.64,1.8704761904761904
150.0,3.289,26.81,2.553333333333333
175.0,2.976,34.81,3.3152380952380955
200.0,2.737,43.59,4.151428571428572
225.0,2.549,53.06,5.053333333333334
250.0,2.397,63.19,6.0180952380952375
275.0,2.271,73.91,7.0390476190476186
300.0,2.166,85.19,8.113333333333333
350.0,2.001,109.2,10.4
400.0,1.877,135.1,12.866666666666664
450.0,1.781,162.5,15.476190476190476
500.0,1.705,191.2,18.20952380952381
550.0,1.643,221.1,21.057142857142857
600.0,1.593,252.0,24.0
650.0,1.551,283.8,27.02857142857143
700.0,1.516,316.4,30.133333333333333
750.0,1.486,349.8,33.31428571428572
800.0,1.46,383.7,36.54285714285714
850.0,1.438,418.2,39.82857142857143
900.0,1.419,453.2,43.16190476190476
950.0,1.403,488.7,46.54285714285714
1000.0,1.389,524.5,49.95238095238095
1500.0,1.315,896.6,85.39047619047619
2000.0,1.296,1280.0,121.9047619047619
2500.0,1.296,1666.0,158.66666666666666
3000.0,1.305,2051.0,195.3333333333333
4000.0,1.329,2811.0,267.7142857142857
5000.0,1.355,3556.0,338.6666666666667
6000.0,1.379,4287.0,408.2857142857143
7000.0,1.402,5006.0,476.7619047619048
8000.0,1.423,5714.0,544.1904761904761
9000.0,1.442,6412.0,610.6666666666666
10000.0,1.459,7101.0,676.2857142857143
