Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,44.66,3.644e-05,9.929155313351496e-06
0.0015,53.65,4.654e-05,1.2681198910081744e-05
0.002,61.23,5.525e-05,1.505449591280654e-05
0.0025,67.92,6.3e-05,1.7166212534059946e-05
0.003,73.98,7.004e-05,1.908446866485013e-05
0.004,84.75,8.264e-05,2.251771117166213e-05
0.005,94.27,9.381e-05,2.556130790190736e-05
0.006,102.9,0.000104,2.8337874659400544e-05
0.007,110.8,0.0001133,3.0871934604904633e-05
0.008,118.2,0.000122,3.32425068119891e-05
0.009,125.2,0.0001303,3.550408719346049e-05
0.01,131.8,0.000138,3.760217983651226e-05
0.0125,145.0,0.0001561,4.253405994550409e-05
0.015,156.7,0.0001727,4.705722070844687e-05
0.0175,167.1,0.0001881,5.125340599455041e-05
0.02,176.7,0.0002026,5.520435967302452e-05
0.0225,185.4,0.0002165,5.899182561307902e-05
0.025,193.4,0.0002297,6.258855585831062e-05
0.0275,200.8,0.0002423,6.602179836512263e-05
0.03,207.7,0.0002546,6.93732970027248e-05
0.035,219.9,0.000278,7.574931880108992e-05
0.04,230.5,0.0003001,8.177111716621252e-05
0.045,239.7,0.0003214,8.757493188010899e-05
0.05,247.5,0.0003419,9.31607629427793e-05
0.055,254.2,0.0003618,9.858310626702998e-05
0.06,259.9,0.0003813,0.0001038964577656
0.065,264.7,0.0004003,0.0001090735694822
0.07,268.6,0.0004191,0.0001141961852861
0.075,271.7,0.0004376,0.0001192370572207
0.08,274.1,0.0004559,0.0001242234332425
0.085,275.9,0.0004741,0.0001291825613079
0.09,277.2,0.0004922,0.0001341144414168
0.095,277.9,0.0005102,0.0001390190735694
0.1,278.1,0.0005282,0.000143923705722
0.125,274.1,0.0006185,0.0001685286103542
0.15,264.6,0.0007112,0.00019378746594
0.175,252.6,0.0008079,0.000220136239782
0.2,240.0,0.0009094,0.0002477929155313
0.225,227.8,0.001016,0.0002768392370572
0.25,216.5,0.001129,0.0003076294277929
0.275,206.1,0.001247,0.0003397820163487
0.3,196.8,0.001371,0.0003735694822888
0.35,180.9,0.001637,0.0004460490463215
0.4,168.0,0.001924,0.0005242506811989
0.45,157.5,0.002232,0.0006081743869209
0.5,148.7,0.002559,0.0006972752043596
0.55,141.2,0.002904,0.0007912806539509
0.6,134.8,0.003266,0.0008899182561307
0.65,129.2,0.003645,0.0009931880108991
0.7,124.2,0.00404,0.001100817438692
0.75,119.8,0.00445,0.0012125340599455
0.8,115.8,0.004875,0.0013283378746594
0.85,112.0,0.005314,0.0014479564032697
0.9,108.5,0.005767,0.0015713896457765
0.95,105.1,0.006236,0.0016991825613079
1.0,102.0,0.006718,0.0018305177111716
1.25,88.86,0.009352,0.0025482288828337
1.5,79.05,0.01234,0.0033623978201634
1.75,71.53,0.01567,0.0042697547683923
2.0,65.59,0.01933,0.005267029972752
2.25,60.79,0.02329,0.0063460490463215
2.5,56.84,0.02755,0.0075068119891008
2.75,53.52,0.03208,0.0087411444141689
3.0,50.7,0.03688,0.0100490463215258
3.5,46.09,0.04724,0.0128719346049046
4.0,42.36,0.05857,0.015959128065395
4.5,39.28,0.07084,0.0193024523160762
5.0,36.68,0.08402,0.0228937329700272
5.5,34.46,0.0981,0.0267302452316076
6.0,32.52,0.113,0.0307901907356948
6.5,30.84,0.1288,0.0350953678474114
7.0,29.34,0.1455,0.0396457765667574
7.5,28.0,0.1629,0.0443869209809264
8.0,26.78,0.1812,0.0493732970027247
8.5,25.69,0.2002,0.054550408719346
9.0,24.68,0.2201,0.0599727520435967
9.5,23.77,0.2408,0.0656130790190735
10.0,22.94,0.2622,0.0714441416893733
12.5,19.59,0.3805,0.1036784741144414
15.0,17.19,0.5171,0.1408991825613079
17.5,15.38,0.6711,0.1828610354223433
20.0,13.95,0.842,0.2294277929155313
25.0,11.84,1.233,0.3359673024523161
27.5,11.03,1.452,0.3956403269754768
30.0,10.35,1.686,0.4594005449591281
35.0,9.227,2.198,0.5989100817438692
40.0,8.355,2.769,0.7544959128065396
45.0,7.656,3.395,0.9250681198910082
50.0,7.081,4.074,1.11008174386921
55.0,6.6,4.806,1.3095367847411443
60.0,6.191,5.589,1.5228882833787467
65.0,5.838,6.421,1.749591280653951
70.0,5.531,7.302,1.9896457765667568
75.0,5.261,8.229,2.242234332425068
80.0,5.021,9.202,2.5073569482288827
85.0,4.808,10.22,2.784741144414169
90.0,4.615,11.28,3.0735694822888284
95.0,4.442,12.39,3.3760217983651226
100.0,4.284,13.53,3.6866485013623977
