Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,217.8,5.669e-06,5.844329896907217e-06
0.0015,250.7,7.791e-06,8.0319587628866e-06
0.002,279.9,9.676e-06,9.975257731958764e-06
0.0025,306.5,1.138e-05,1.1731958762886598e-05
0.003,331.1,1.295e-05,1.3350515463917526e-05
0.004,369.5,1.58e-05,1.6288659793814436e-05
0.005,404.7,1.839e-05,1.8958762886597936e-05
0.006,436.9,2.076e-05,2.1402061855670105e-05
0.007,466.5,2.298e-05,2.3690721649484536e-05
0.008,493.0,2.506e-05,2.583505154639176e-05
0.009,517.0,2.704e-05,2.787628865979381e-05
0.01,539.4,2.893e-05,2.982474226804124e-05
0.0125,585.7,3.337e-05,3.44020618556701e-05
0.015,624.5,3.75e-05,3.8659793814432987e-05
0.0175,658.1,4.14e-05,4.2680412371134016e-05
0.02,688.0,4.511e-05,4.650515463917526e-05
0.0225,714.6,4.868e-05,5.018556701030929e-05
0.025,738.0,5.212e-05,5.37319587628866e-05
0.0275,758.6,5.546e-05,5.717525773195877e-05
0.03,777.0,5.871e-05,6.052577319587629e-05
0.035,809.6,6.501e-05,6.702061855670104e-05
0.04,838.2,7.108e-05,7.327835051546393e-05
0.045,862.4,7.696e-05,7.9340206185567e-05
0.05,881.8,8.269e-05,8.524742268041236e-05
0.055,896.6,8.831e-05,9.104123711340206e-05
0.06,907.4,9.385e-05,9.675257731958764e-05
0.065,914.8,9.934e-05,0.000102412371134
0.07,919.4,0.0001048,0.0001080412371134
0.075,921.4,0.0001102,0.0001136082474226
0.08,921.3,0.0001156,0.0001191752577319
0.085,919.3,0.0001211,0.0001248453608247
0.09,915.8,0.0001265,0.000130412371134
0.095,910.8,0.000132,0.0001360824742268
0.1,904.7,0.0001375,0.0001417525773195
0.125,862.7,0.0001658,0.0001709278350515
0.15,811.7,0.0001956,0.000201649484536
0.175,760.1,0.0002275,0.0002345360824742
0.2,711.6,0.0002615,0.0002695876288659
0.225,667.9,0.0002977,0.0003069072164948
0.25,629.0,0.0003363,0.0003467010309278
0.275,594.6,0.0003772,0.0003888659793814
0.3,564.0,0.0004204,0.0004334020618556
0.35,512.3,0.0005136,0.0005294845360824
0.4,470.6,0.0006155,0.0006345360824742
0.45,436.3,0.000726,0.0007484536082474
0.5,407.6,0.0008446,0.0008707216494845
0.55,383.1,0.0009712,0.001001237113402
0.6,361.7,0.001106,0.001140206185567
0.65,343.2,0.001248,0.0012865979381443
0.7,326.7,0.001397,0.001440206185567
0.75,311.9,0.001554,0.0016020618556701
0.8,298.6,0.001718,0.0017711340206185
0.85,286.7,0.001888,0.0019463917525773
0.9,275.6,0.002066,0.0021298969072164
0.95,265.5,0.002251,0.002320618556701
1.0,256.3,0.002443,0.0025185567010309
1.25,219.2,0.003502,0.0036103092783505
1.5,192.5,0.004722,0.0048680412371134
1.75,172.2,0.006097,0.0062855670103092
2.0,156.2,0.007624,0.0078597938144329
2.25,143.1,0.009298,0.0095855670103092
2.5,132.3,0.01112,0.0114639175257731
2.75,123.1,0.01308,0.0134845360824742
3.0,115.3,0.01518,0.0156494845360824
3.5,102.5,0.01978,0.0203917525773195
4.0,92.44,0.02493,0.025701030927835
4.5,84.35,0.0306,0.0315463917525773
5.0,77.67,0.03678,0.0379175257731958
5.5,72.05,0.04347,0.0448144329896907
6.0,67.26,0.05066,0.0522268041237113
6.5,63.12,0.05834,0.0601443298969072
7.0,59.5,0.0665,0.0685567010309278
7.5,56.31,0.07514,0.0774639175257732
8.0,53.47,0.08426,0.0868659793814433
8.5,50.94,0.09384,0.0967422680412371
9.0,48.65,0.1039,0.1071134020618556
9.5,46.57,0.1144,0.1179381443298969
10.0,44.68,0.1254,0.1292783505154639
12.5,37.3,0.1869,0.192680412371134
15.0,32.16,0.2593,0.267319587628866
17.5,28.36,0.3423,0.3528865979381443
20.0,25.44,0.4355,0.4489690721649484
25.0,21.21,0.6518,0.671958762886598
27.5,19.62,0.7745,0.7984536082474226
30.0,18.28,0.9066,0.934639175257732
35.0,16.14,1.198,1.2350515463917526
40.0,14.49,1.526,1.5731958762886598
45.0,13.18,1.888,1.94639175257732
50.0,12.12,2.284,2.354639175257732
55.0,11.23,2.713,2.7969072164948456
60.0,10.49,3.174,3.272164948453608
65.0,9.851,3.666,3.779381443298969
70.0,9.298,4.189,4.318556701030928
75.0,8.815,4.742,4.888659793814433
80.0,8.388,5.323,5.487628865979382
85.0,8.009,5.933,6.116494845360824
90.0,7.669,6.572,6.775257731958763
95.0,7.363,7.237,7.460824742268041
100.0,7.086,7.93,8.175257731958762
125.0,6.017,11.78,12.144329896907216
150.0,5.29,16.22,16.721649484536083
175.0,4.762,21.21,21.8659793814433
200.0,4.363,26.71,27.53608247422681
225.0,4.049,32.66,33.6701030927835
250.0,3.797,39.04,40.24742268041237
275.0,3.59,45.82,47.23711340206186
300.0,3.417,52.96,54.5979381443299
350.0,3.145,68.24,70.35051546391752
400.0,2.942,84.7,87.31958762886599
450.0,2.786,102.2,105.36082474226804
500.0,2.661,120.6,124.3298969072165
550.0,2.561,139.7,144.020618556701
600.0,2.479,159.6,164.53608247422682
650.0,2.41,180.0,185.5670103092784
700.0,2.353,201.0,207.21649484536084
750.0,2.304,222.5,229.3814432989691
800.0,2.261,244.4,251.95876288659795
850.0,2.223,266.7,274.9484536082474
900.0,2.191,289.4,298.35051546391753
950.0,2.162,312.4,322.06185567010306
1000.0,2.137,335.6,345.979381443299
1500.0,1.996,579.2,597.1134020618557
2000.0,1.946,833.3,859.0721649484536
2500.0,1.929,1092.0,1125.7731958762886
3000.0,1.926,1351.0,1392.7835051546392
4000.0,1.938,1869.0,1926.8041237113405
5000.0,1.957,2383.0,2456.701030927836
6000.0,1.978,2891.0,2980.4123711340208
7000.0,1.998,3394.0,3498.969072164949
8000.0,2.018,3892.0,4012.371134020618
9000.0,2.036,4385.0,4520.618556701031
10000.0,2.053,4874.0,5024.742268041237
