Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,34.27,5.045e-05,6.9109589041095895e-06
0.0015,41.54,6.355e-05,8.705479452054795e-06
0.002,47.65,7.476e-05,1.024109589041096e-05
0.0025,53.03,8.47e-05,1.1602739726027396e-05
0.003,57.88,9.371e-05,1.2836986301369865e-05
0.004,66.49,0.0001098,1.5041095890410958e-05
0.005,74.07,0.000124,1.6986301369863014e-05
0.006,80.92,0.0001369,1.8753424657534246e-05
0.007,87.22,0.0001488,2.0383561643835617e-05
0.008,93.08,0.0001599,2.190410958904109e-05
0.009,98.59,0.0001704,2.3342465753424656e-05
0.01,103.8,0.0001802,2.468493150684932e-05
0.0125,114.3,0.0002031,2.782191780821918e-05
0.015,123.6,0.0002241,3.06986301369863e-05
0.0175,131.9,0.0002437,3.3383561643835615e-05
0.02,139.5,0.0002621,3.5904109589041096e-05
0.0225,146.4,0.0002796,3.83013698630137e-05
0.025,152.8,0.0002963,4.058904109589041e-05
0.0275,158.8,0.0003124,4.279452054794521e-05
0.03,164.3,0.0003278,4.49041095890411e-05
0.035,174.1,0.0003574,4.895890410958904e-05
0.04,182.7,0.0003854,5.2794520547945206e-05
0.045,190.2,0.0004122,5.646575342465754e-05
0.05,196.6,0.000438,6e-05
0.055,202.2,0.0004631,6.343835616438356e-05
0.06,206.9,0.0004875,6.678082191780822e-05
0.065,210.9,0.0005115,7.006849315068494e-05
0.07,214.3,0.000535,7.328767123287671e-05
0.075,217.0,0.0005582,7.646575342465754e-05
0.08,219.2,0.0005811,7.96027397260274e-05
0.085,220.9,0.0006038,8.27123287671233e-05
0.09,222.1,0.0006264,8.58082191780822e-05
0.095,222.9,0.0006488,8.887671232876713e-05
0.1,223.3,0.0006713,9.195890410958904e-05
0.125,221.0,0.0007835,0.0001073287671232
0.15,214.2,0.0008983,0.0001230547945205
0.175,205.2,0.001017,0.0001393150684931
0.2,195.6,0.001142,0.0001564383561643
0.225,186.3,0.001273,0.0001743835616438
0.25,177.6,0.001411,0.0001932876712328
0.275,169.6,0.001555,0.0002130136986301
0.3,162.5,0.001705,0.0002335616438356
0.35,150.3,0.002026,0.0002775342465753
0.4,140.4,0.00237,0.0003246575342465
0.45,132.4,0.002737,0.0003749315068493
0.5,125.7,0.003125,0.0004280821917808
0.55,119.9,0.003533,0.0004839726027397
0.6,114.8,0.003959,0.0005423287671232
0.65,110.3,0.004404,0.0006032876712328
0.7,106.2,0.004866,0.0006665753424657
0.75,102.5,0.005345,0.0007321917808219
0.8,99.23,0.005841,0.0008001369863013
0.85,96.2,0.006353,0.0008702739726027
0.9,93.42,0.00688,0.0009424657534246
0.95,90.85,0.007423,0.0010168493150684
1.0,88.47,0.007981,0.0010932876712328
1.25,78.75,0.01098,0.001504109589041
1.5,71.52,0.01432,0.0019616438356164
1.75,65.75,0.01797,0.0024616438356164
2.0,60.84,0.02193,0.003004109589041
2.25,56.9,0.02618,0.003586301369863
2.5,53.49,0.03071,0.0042068493150684
2.75,50.5,0.03553,0.0048671232876712
3.0,47.97,0.04061,0.0055630136986301
3.5,43.69,0.05155,0.0070616438356164
4.0,40.23,0.06349,0.0086972602739726
4.5,37.36,0.0764,0.0104657534246575
5.0,34.93,0.09025,0.0123630136986301
5.5,32.86,0.105,0.0143835616438356
6.0,31.06,0.1207,0.0165342465753424
6.5,29.47,0.1372,0.0187945205479452
7.0,28.05,0.1546,0.0211780821917808
7.5,26.78,0.1728,0.0236712328767123
8.0,25.63,0.1919,0.0262876712328767
8.5,24.61,0.2118,0.0290136986301369
9.0,23.67,0.2326,0.0318630136986301
9.5,22.81,0.2541,0.0348082191780821
10.0,22.02,0.2764,0.0378630136986301
12.5,18.84,0.3996,0.0547397260273972
15.0,16.56,0.5415,0.0741780821917808
17.5,14.83,0.7013,0.0960684931506849
20.0,13.47,0.8785,0.1203424657534246
25.0,11.45,1.283,0.1757534246575342
27.5,10.67,1.509,0.2067123287671232
30.0,10.01,1.751,0.2398630136986301
35.0,8.936,2.281,0.3124657534246575
40.0,8.097,2.87,0.3931506849315069
45.0,7.424,3.515,0.4815068493150685
50.0,6.869,4.216,0.5775342465753425
55.0,6.405,4.97,0.6808219178082192
60.0,6.01,5.777,0.7913698630136987
65.0,5.669,6.634,0.9087671232876712
70.0,5.372,7.54,1.0328767123287672
75.0,5.111,8.495,1.1636986301369865
80.0,4.879,9.497,1.300958904109589
85.0,4.672,10.54,1.443835616438356
90.0,4.486,11.64,1.5945205479452056
95.0,4.318,12.77,1.7493150684931509
